Source,Target,Weight
ACM Kwanza Sul: Young Christian Association,Ame Naame Omuno Association (YEAR) (I am also a person),1
ACM Kwanza Sul: Young Christian Association,Association of Mutual Support for Angola (AMPA),1
"Development, Reintegration and Community Solidarity Action (ADRSC)",There are no Orphans of GOD Association (ANOD),1
"Development, Reintegration and Community Solidarity Action (ADRSC)",The Lutheran World Federation (LWF) Geneva (Switzerland),1
"Development, Reintegration and Community Solidarity Action (ADRSC)",Mãos Livres (Lawyers Association),1
"Development, Reintegration and Community Solidarity Action (ADRSC)","MBAKITA: The Kubango Agricultural Charity Mission, Inclusion, Technologies and Environment",1
Community Action for the Development of Angola (ACDA),and the Jesuit Refugee Services (JRS),1
Community Action for the Development of Angola (ACDA),Women and Children Association (AMC),1
Community Action for the Development of Angola (ACDA),There are no Orphans of GOD Association (ANOD),1
Community Action for the Development of Angola (ACDA),The Lutheran World Federation (LWF) Geneva (Switzerland),1
Community Action for the Development of Angola (ACDA),Mãos Livres (Lawyers Association),1
Community Action for the Development of Angola (ACDA),"MBAKITA: The Kubango Agricultural Charity Mission, Inclusion, Technologies and Environment",1
Community Action for the Development of Angola (ACDA),"Development, Reintegration and Community Solidarity Action (ADRSC)",1
Co-operation for the Development of the Emerging Country (COSPE),and the Jesuit Refugee Services (JRS),1
Co-operation for the Development of the Emerging Country (COSPE),Women and Children Association (AMC),1
Co-operation for the Development of the Emerging Country (COSPE),There are no Orphans of GOD Association (ANOD),1
Co-operation for the Development of the Emerging Country (COSPE),The Lutheran World Federation (LWF) Geneva (Switzerland),1
Co-operation for the Development of the Emerging Country (COSPE),Mãos Livres (Lawyers Association),1
Co-operation for the Development of the Emerging Country (COSPE),"MBAKITA: The Kubango Agricultural Charity Mission, Inclusion, Technologies and Environment",1
Co-operation for the Development of the Emerging Country (COSPE),"Development, Reintegration and Community Solidarity Action (ADRSC)",1
Co-operation for the Development of the Emerging Country (COSPE),Community Action for the Development of Angola (ACDA),1
"Development, Reintegration and Community Solidarity Action (ADRSC)",Women and Children Association (AMC),1
"Development, Reintegration and Community Solidarity Action (ADRSC)",and the Jesuit Refugee Services (JRS),1
"ECPAT International, 10 GE.19-14075 Bangkok (Thailand)",SCARJoV Association,1
Mãos Livres (Lawyers Association),There are no Orphans of GOD Association (ANOD),1
There are no Orphans of GOD Association (ANOD),and the Jesuit Refugee Services (JRS),1
There are no Orphans of GOD Association (ANOD),Women and Children Association (AMC),1
The Lutheran World Federation (LWF) Geneva (Switzerland),and the Jesuit Refugee Services (JRS),1
The Lutheran World Federation (LWF) Geneva (Switzerland),Women and Children Association (AMC),1
The Lutheran World Federation (LWF) Geneva (Switzerland),There are no Orphans of GOD Association (ANOD),1
"The Advocates for Human Rights, Minneapolis (United States of America)",and the World Coalition Against the Death Penalty,1
Mãos Livres (Lawyers Association),and the Jesuit Refugee Services (JRS),1
Mãos Livres (Lawyers Association),Women and Children Association (AMC),1
Mãos Livres (Lawyers Association),The Lutheran World Federation (LWF) Geneva (Switzerland),1
Instituto para Cidadania,and Observatorio de Genéro Angolano,1
"MBAKITA: The Kubango Agricultural Charity Mission, Inclusion, Technologies and Environment",and the Jesuit Refugee Services (JRS),1
"MBAKITA: The Kubango Agricultural Charity Mission, Inclusion, Technologies and Environment",Women and Children Association (AMC),1
"MBAKITA: The Kubango Agricultural Charity Mission, Inclusion, Technologies and Environment",There are no Orphans of GOD Association (ANOD),1
"MBAKITA: The Kubango Agricultural Charity Mission, Inclusion, Technologies and Environment",The Lutheran World Federation (LWF) Geneva (Switzerland),1
"MBAKITA: The Kubango Agricultural Charity Mission, Inclusion, Technologies and Environment",Mãos Livres (Lawyers Association),1
"Istituto Internazionale Maria Ausiliatrice, Veyrier (Switzerland)","VIDES International – International Volunteerism Organization for Women, Education and Development",1
Iris Angola Association,Women at heart: Transgender women group,1
"International Service for Human Rights, Geneva (Switzerland)","and Associação Justiça, Paz e Democracia (AJPD)",1
Building Communities Association (ACC),and the Jesuit Refugee Services (JRS),1
Building Communities Association (ACC),Women and Children Association (AMC),1
Building Communities Association (ACC),There are no Orphans of GOD Association (ANOD),1
ACM Kwanza Sul: Young Christian Association,and the Jesuit Refugee Services (JRS),1
Ame Naame Omuno Association (YEAR) (I am also a person),The Lutheran World Federation (LWF) Geneva (Switzerland),1
Ame Naame Omuno Association (YEAR) (I am also a person),Mãos Livres (Lawyers Association),1
Ame Naame Omuno Association (YEAR) (I am also a person),"MBAKITA: The Kubango Agricultural Charity Mission, Inclusion, Technologies and Environment",1
Ame Naame Omuno Association (YEAR) (I am also a person),"Development, Reintegration and Community Solidarity Action (ADRSC)",1
Ame Naame Omuno Association (YEAR) (I am also a person),Community Action for the Development of Angola (ACDA),1
Ame Naame Omuno Association (YEAR) (I am also a person),Co-operation for the Development of the Emerging Country (COSPE),1
Ame Naame Omuno Association (YEAR) (I am also a person),Building Communities Association (ACC),1
Ame Naame Omuno Association (YEAR) (I am also a person),Association of Mutual Support for Angola (AMPA),1
ACM Kwanza Sul: Young Christian Association,Women and Children Association (AMC),1
Ame Naame Omuno Association (YEAR) (I am also a person),Women and Children Association (AMC),1
ACM Kwanza Sul: Young Christian Association,There are no Orphans of GOD Association (ANOD),1
ACM Kwanza Sul: Young Christian Association,The Lutheran World Federation (LWF) Geneva (Switzerland),1
ACM Kwanza Sul: Young Christian Association,Mãos Livres (Lawyers Association),1
ACM Kwanza Sul: Young Christian Association,"MBAKITA: The Kubango Agricultural Charity Mission, Inclusion, Technologies and Environment",1
ACM Kwanza Sul: Young Christian Association,"Development, Reintegration and Community Solidarity Action (ADRSC)",1
ACM Kwanza Sul: Young Christian Association,Community Action for the Development of Angola (ACDA),1
ACM Kwanza Sul: Young Christian Association,Co-operation for the Development of the Emerging Country (COSPE),1
ACM Kwanza Sul: Young Christian Association,Building Communities Association (ACC),1
Ame Naame Omuno Association (YEAR) (I am also a person),There are no Orphans of GOD Association (ANOD),1
Ame Naame Omuno Association (YEAR) (I am also a person),and the Jesuit Refugee Services (JRS),1
Building Communities Association (ACC),The Lutheran World Federation (LWF) Geneva (Switzerland),1
Association of Mutual Support for Angola (AMPA),Women and Children Association (AMC),1
Building Communities Association (ACC),Mãos Livres (Lawyers Association),1
Building Communities Association (ACC),"MBAKITA: The Kubango Agricultural Charity Mission, Inclusion, Technologies and Environment",1
Building Communities Association (ACC),"Development, Reintegration and Community Solidarity Action (ADRSC)",1
Building Communities Association (ACC),Community Action for the Development of Angola (ACDA),1
Building Communities Association (ACC),Co-operation for the Development of the Emerging Country (COSPE),1
"Associação Justiça, Paz e Democracia (AJPD) Luanda (Angola), Mosaiko",and Observatorio de Genéro Angolano,1
"Associação Justiça, Paz e Democracia (AJPD) Luanda (Angola), Mosaiko",Instituto para Cidadania,1
Association of Mutual Support for Angola (AMPA),and the Jesuit Refugee Services (JRS),1
Association of Mutual Support for Angola (AMPA),There are no Orphans of GOD Association (ANOD),1
"Arquivo de Identidade Angolano, Geneva (Switzerland)",Iris Angola Association,1
Association of Mutual Support for Angola (AMPA),The Lutheran World Federation (LWF) Geneva (Switzerland),1
Association of Mutual Support for Angola (AMPA),Mãos Livres (Lawyers Association),1
Association of Mutual Support for Angola (AMPA),"MBAKITA: The Kubango Agricultural Charity Mission, Inclusion, Technologies and Environment",1
Association of Mutual Support for Angola (AMPA),"Development, Reintegration and Community Solidarity Action (ADRSC)",1
Association of Mutual Support for Angola (AMPA),Community Action for the Development of Angola (ACDA),1
Association of Mutual Support for Angola (AMPA),Co-operation for the Development of the Emerging Country (COSPE),1
Association of Mutual Support for Angola (AMPA),Building Communities Association (ACC),1
"Arquivo de Identidade Angolano, Geneva (Switzerland)",Women at heart: Transgender women group,1
Women and Children Association (AMC),and the Jesuit Refugee Services (JRS),1
