Source,Target,Weight
Abogados y Abogadas del Noroeste Argentino en Derechos Humanos y Estudios Sociales — ANDHES (Argentina),Centro de Estudios Legales y Sociales — CELS (Argentina),2
Abogados y Abogadas del Noroeste Argentino en Derechos Humanos y Estudios Sociales — ANDHES (Argentina),Comisión Argentina para Refugiados y Migrantes — CAREF (Argentina),2
Asamblea Permanente por los Derechos Humanos — APDH (Argentina),Centro de Estudios Legales y Sociales — CELS (Argentina),2
APDH - La Matanza (Argentina),Agrupación H.I.J.O.S Regional — Capital Federal (Argentina),1
Centro de la Mujer - CEDEM (Argentina),Fundación para Estudio e Investigación de la Mujer - FEIM (Argentina),1
"Colectivo Cordobés por los Derechos de Niños, Niñas y Jóvenes (Argentina)",Surcos (Argentina),1
"Colectivo Cordobés por los Derechos de Niños, Niñas y Jóvenes (Argentina)",Fundación de Ayuda Integral a Discapacidad e Infancia - FAIDI (Argentina),1
"Colectivo Cordobés por los Derechos de Niños, Niñas y Jóvenes (Argentina)",Fundación Emmanuel (Argentina),1
"Colectivo Cordobés por los Derechos de Niños, Niñas y Jóvenes (Argentina)",Fundación Ayuda a la Niñez y Juventud Che Pibe (Argentina),1
"Colectivo Cordobés por los Derechos de Niños, Niñas y Jóvenes (Argentina)",Foro por la Niñez La Pampa (Argentina),1
"Colectivo Cordobés por los Derechos de Niños, Niñas y Jóvenes (Argentina)",Colectivo de Derechos de Infancia y Adolescencia: Asociación para la Promoción y Protección de los Derechos Humanos — XUMEK (Argentina),1
"Colectivo Cordobés por los Derechos de Niños, Niñas y Jóvenes (Argentina)",Colectivo de Derechos de Infancia y Adolescencia (Argentina),1
Centro de la Mujer - CEDEM (Argentina),Observatorio de Violencia de Género de la Defensoría del Pueblo de la Provincia de Buenos Aires - OVG (Argentina),1
Centro de la Mujer - CEDEM (Argentina),"Mujeres por Mujeres, Mujeres Autoconvocadas de Trelew (Argentina)",1
Centro de la Mujer - CEDEM (Argentina),Lesbianas y Feministas por la descriminalización del Aborto (Argentina),1
Centro de la Mujer - CEDEM (Argentina),"Instituto de Genero, Derecho y Desarrollo - INSGENAR (Argentina)",1
Centro de la Mujer - CEDEM (Argentina),Equipo Latinoamericano de Justicia y Género - ELA (Argentina),1
Centro de Justicia y Derechos Humanos de la Universidad Nacional de Lanús (Argentina),Comisión Argentina para Refugiados y Migrantes — CAREF (Argentina),1
Centro de la Mujer - CEDEM (Argentina),Comité de América Latina y el Caribe para la Defensa de los Derechos de las Mujeres - CLADEM (Argentina),1
Centro de integración Monteagudo (Argentina),"Revelares, observatorio de personas en situación de calle (Argentina)",1
Centro de integración Monteagudo (Argentina),Maestría de Derechos Humanos de la Facultad de Humanidades de la Universidad Nacional de Salta (Argentina),1
Centro de integración Monteagudo (Argentina),Fundación Markani (Argentina),1
Centro de integración Monteagudo (Argentina),Fundación Manos Abiertas (Argentina),1
Centro de integración Monteagudo (Argentina),Comisión de Derechos Humanos -Colegio de Abogados de la Provincia de Salta (Argentina),1
