Source,Target,Weight
"Armavir Development Center, Armavir (Armenia)","Spitak Helsinki Group Human Rights NGO, Spitak (Armenia)",2
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Mission Armenia NGO, Yerevan (Armenia)",2
"Armavir Development Center, Armavir (Armenia)","Mission Armenia NGO, Yerevan (Armenia)",2
"Armavir Development Center, Armavir (Armenia)","New Generation Humanitarian NGO, Yerevan (Armenia)",2
"Armavir Development Center, Armavir (Armenia)","Open Society Foundations–Armenia, Yerevan (Armenia)",2
"Open Society Foundations–Armenia, Yerevan (Armenia)","Transparency International Anticorruption Center, Yerevan (Armenia)",2
"Open Society Foundations–Armenia, Yerevan (Armenia)","Spitak Helsinki Group Human Rights NGO, Spitak (Armenia)",2
"Armavir Development Center, Armavir (Armenia)","Transparency International Anticorruption Center, Yerevan (Armenia)",2
"Human Rights Research Center NGO, Yerevan (Armenia)","Spitak Helsinki Group Human Rights NGO, Spitak (Armenia)",2
"Armavir Development Center, Armavir (Armenia)","We Plus Social NGO, Gyumri (Armenia)",2
"Human Rights Research Center NGO, Yerevan (Armenia)","Transparency International Anticorruption Center, Yerevan (Armenia)",2
"Human Rights Research Center NGO, Yerevan (Armenia)","We Plus Social NGO, Gyumri (Armenia)",2
"New Generation Humanitarian NGO, Yerevan (Armenia)","We Plus Social NGO, Gyumri (Armenia)",2
"New Generation Humanitarian NGO, Yerevan (Armenia)","Transparency International Anticorruption Center, Yerevan (Armenia)",2
"New Generation Humanitarian NGO, Yerevan (Armenia)","Spitak Helsinki Group Human Rights NGO, Spitak (Armenia)",2
"New Generation Humanitarian NGO, Yerevan (Armenia)","Open Society Foundations–Armenia, Yerevan (Armenia)",2
"Institute of Public Policy, Yerevan (Armenia)","Journalists' Club Asparez, Gyumri (Armenia)",2
"Human Rights Research Center NGO, Yerevan (Armenia)","Open Society Foundations–Armenia, Yerevan (Armenia)",2
"Open Society Foundations–Armenia, Yerevan (Armenia)","We Plus Social NGO, Gyumri (Armenia)",2
"Armavir Development Center, Armavir (Armenia)","Khoran Ard Intellectual NGO, Gyumri (Armenia)",2
"Human Rights Research Center NGO, Yerevan (Armenia)","Journalists' Club Asparez, Gyumri (Armenia)",2
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Open Society Foundations–Armenia, Yerevan (Armenia)",2
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Spitak Helsinki Group Human Rights NGO, Spitak (Armenia)",2
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Transparency International Anticorruption Center, Yerevan (Armenia)",2
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","We Plus Social NGO, Gyumri (Armenia)",2
"Armavir Development Center, Armavir (Armenia)","Center for Rights Development NGO, Yerevan (Armenia)",2
"Human Rights Research Center NGO, Yerevan (Armenia)","Institute of Public Policy, Yerevan (Armenia)",2
"Human Rights Research Center NGO, Yerevan (Armenia)","Khoran Ard Intellectual NGO, Gyumri (Armenia)",2
"Armavir Development Center, Armavir (Armenia)","Journalists' Club Asparez, Gyumri (Armenia)",2
"Armavir Development Center, Armavir (Armenia)","Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)",2
"Armavir Development Center, Armavir (Armenia)","Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)",2
"Armavir Development Center, Armavir (Armenia)","Human Rights Research Center NGO, Yerevan (Armenia)",2
"Human Rights Research Center NGO, Yerevan (Armenia)","Mission Armenia NGO, Yerevan (Armenia)",2
"Armavir Development Center, Armavir (Armenia)","Institute of Public Policy, Yerevan (Armenia)",2
"Human Rights Research Center NGO, Yerevan (Armenia)","New Generation Humanitarian NGO, Yerevan (Armenia)",2
"Institute of Public Policy, Yerevan (Armenia)","Khoran Ard Intellectual NGO, Gyumri (Armenia)",2
"Institute of Public Policy, Yerevan (Armenia)","Mission Armenia NGO, Yerevan (Armenia)",2
"Mission Armenia NGO, Yerevan (Armenia)","We Plus Social NGO, Gyumri (Armenia)",2
"Journalists' Club Asparez, Gyumri (Armenia)","Spitak Helsinki Group Human Rights NGO, Spitak (Armenia)",2
"Journalists' Club Asparez, Gyumri (Armenia)","Mission Armenia NGO, Yerevan (Armenia)",2
"Journalists' Club Asparez, Gyumri (Armenia)","New Generation Humanitarian NGO, Yerevan (Armenia)",2
"Journalists' Club Asparez, Gyumri (Armenia)","Open Society Foundations–Armenia, Yerevan (Armenia)",2
"Center for Rights Development NGO, Yerevan (Armenia)","Spitak Helsinki Group Human Rights NGO, Spitak (Armenia)",2
"Center for Rights Development NGO, Yerevan (Armenia)","Transparency International Anticorruption Center, Yerevan (Armenia)",2
"Center for Rights Development NGO, Yerevan (Armenia)","We Plus Social NGO, Gyumri (Armenia)",2
"Journalists' Club Asparez, Gyumri (Armenia)","Transparency International Anticorruption Center, Yerevan (Armenia)",2
"Center for Rights Development NGO, Yerevan (Armenia)","New Generation Humanitarian NGO, Yerevan (Armenia)",2
"Journalists' Club Asparez, Gyumri (Armenia)","We Plus Social NGO, Gyumri (Armenia)",2
"Khoran Ard Intellectual NGO, Gyumri (Armenia)","We Plus Social NGO, Gyumri (Armenia)",2
"Khoran Ard Intellectual NGO, Gyumri (Armenia)","Transparency International Anticorruption Center, Yerevan (Armenia)",2
"Khoran Ard Intellectual NGO, Gyumri (Armenia)","Spitak Helsinki Group Human Rights NGO, Spitak (Armenia)",2
"Khoran Ard Intellectual NGO, Gyumri (Armenia)","Mission Armenia NGO, Yerevan (Armenia)",2
"Khoran Ard Intellectual NGO, Gyumri (Armenia)","New Generation Humanitarian NGO, Yerevan (Armenia)",2
"Center for Rights Development NGO, Yerevan (Armenia)","Open Society Foundations–Armenia, Yerevan (Armenia)",2
"Center for Rights Development NGO, Yerevan (Armenia)","Mission Armenia NGO, Yerevan (Armenia)",2
"Institute of Public Policy, Yerevan (Armenia)","New Generation Humanitarian NGO, Yerevan (Armenia)",2
"Institute of Public Policy, Yerevan (Armenia)","Transparency International Anticorruption Center, Yerevan (Armenia)",2
"Mission Armenia NGO, Yerevan (Armenia)","Transparency International Anticorruption Center, Yerevan (Armenia)",2
