Source,Target,Weight
Dreikönigsation – Hilfswerk der Katholischen Jungschar - DKA (Austria),and FIAN Österreich (Austria),2
"International Centre for the Promotion of Human Rights at the Local and Regional Levels and UNESCO Chair in Human Rights and Human Security, Universität Graz (Austria)",Ludwig Boltzmann Institut für Menschenrechte – BIM (Austria),1
Integration Tirol (Austria),Ludwig Boltzmann Institut für Menschenrechte – BIM (Austria),1
Integration Tirol (Austria),Netzwerk Kinderrechte (Austria),1
Integration Tirol (Austria),SOS Menschenrechte Österreich (Austria),1
Integration Tirol (Austria),Zivilcourage und Anti-Rassismus-Arbeit – ZARA (Austria),1
Integration Tirol (Austria),Zusammenschluss österreichischer Frauenhäuser – ZÖF (Austria),1
Integration Tirol (Austria),Österreichischer Behindertenrat (Austria),1
Integration Tirol (Austria),Österreichischer Gehörlosenbund – OGLB (Austria),1
Integration Tirol (Austria),Österreichischer Liga für Menschenrechte (Austria),1
"International Centre for the Promotion of Human Rights at the Local and Regional Levels and UNESCO Chair in Human Rights and Human Security, Universität Graz (Austria)",Klagsverband zur Durchsetzung der Rechte von Diskriminierung (Austria),1
"International Centre for the Promotion of Human Rights at the Local and Regional Levels and UNESCO Chair in Human Rights and Human Security, Universität Graz (Austria)",LICHT für die Welt (Austria),1
"International Centre for the Promotion of Human Rights at the Local and Regional Levels and UNESCO Chair in Human Rights and Human Security, Universität Graz (Austria)",Lobby4kids – Kinderlobby (Austria),1
Asylkoordination Österreich (Austria),Austrian League for Human Rights / Österreichische Liga für Menschenrechte – JS-LIGA (Austria) (Integrated by: Global Responsibility – Austrian Platform for Development and Humanitarian Aid (Austria),1
Integration Tirol (Austria),LICHT für die Welt (Austria),1
"International Centre for the Promotion of Human Rights at the Local and Regional Levels and UNESCO Chair in Human Rights and Human Security, Universität Graz (Austria)",Netzwerk Kinderrechte (Austria),1
"International Centre for the Promotion of Human Rights at the Local and Regional Levels and UNESCO Chair in Human Rights and Human Security, Universität Graz (Austria)",SOS Menschenrechte Österreich (Austria),1
"International Centre for the Promotion of Human Rights at the Local and Regional Levels and UNESCO Chair in Human Rights and Human Security, Universität Graz (Austria)",Zivilcourage und Anti-Rassismus-Arbeit – ZARA (Austria),1
"International Centre for the Promotion of Human Rights at the Local and Regional Levels and UNESCO Chair in Human Rights and Human Security, Universität Graz (Austria)",Zusammenschluss österreichischer Frauenhäuser – ZÖF (Austria),1
"International Centre for the Promotion of Human Rights at the Local and Regional Levels and UNESCO Chair in Human Rights and Human Security, Universität Graz (Austria)",Österreichischer Behindertenrat (Austria),1
"International Centre for the Promotion of Human Rights at the Local and Regional Levels and UNESCO Chair in Human Rights and Human Security, Universität Graz (Austria)",Österreichischer Gehörlosenbund – OGLB (Austria),1
"International Centre for the Promotion of Human Rights at the Local and Regional Levels and UNESCO Chair in Human Rights and Human Security, Universität Graz (Austria)",Österreichischer Liga für Menschenrechte (Austria),1
Klagsverband zur Durchsetzung der Rechte von Diskriminierung (Austria),LICHT für die Welt (Austria),1
Klagsverband zur Durchsetzung der Rechte von Diskriminierung (Austria),Lobby4kids – Kinderlobby (Austria),1
Klagsverband zur Durchsetzung der Rechte von Diskriminierung (Austria),Ludwig Boltzmann Institut für Menschenrechte – BIM (Austria),1
