Source,Target,Weight
Acid Survivors Foundation (ASF),Ain o Shalish Kendra (ASK) – Forum Secretariat,1
"Child Rights Advocacy Coalition in Bangladesh (CRAC,B), Dhaka (Bangladesh)","and Save the Children, London (United Kingdom)",1
"CIVICUS Global Alliance, Johannesburg (South Africa)","and World Organization Against Torture (OMCT), Geneva (Switzerland)",1
"CIVICUS Global Alliance, Johannesburg (South Africa)","Robert F. Kennedy Human Rights, Washington DC (United States of America)",1
"CIVICUS Global Alliance, Johannesburg (South Africa)","Odhikar, Dhaka (Bangladesh)",1
"CIVICUS Global Alliance, Johannesburg (South Africa)","International Federation for Human Rights (FIDH), Paris (France)",1
Bangladesh Institute of Labor Studies (BILS),"and Transparency International Bangladesh (TIB), Dhaka (Bangladesh)",1
Bangladesh Institute of Labor Studies (BILS),Nijera Kori,1
Bangladesh Institute of Labor Studies (BILS),Nagorik Uddyog,1
Bangladesh Institute of Labor Studies (BILS),Manusher Jonno Foundation (MJF),1
"Bangladesh Dalit and Excluded Rights Movement (BDERM), Dhaka (Bangladesh)","and International Dalit Solidarity Network (IDSN), Copenhagen (Denmark)",1
"Bangladesh Dalit and Excluded Rights Movement (BDERM), Dhaka (Bangladesh)","Nagorik Uddyog (Citizen’s Initiative), Dhaka (Bangladesh)",1
Bangladesh Dalit and Excluded Rights Movement (BDERM),"and Transparency International Bangladesh (TIB), Dhaka (Bangladesh)",1
Bangladesh Dalit and Excluded Rights Movement (BDERM),Nijera Kori,1
Bangladesh Dalit and Excluded Rights Movement (BDERM),Nagorik Uddyog,1
Bangladesh Dalit and Excluded Rights Movement (BDERM),Manusher Jonno Foundation (MJF),1
Bangladesh Dalit and Excluded Rights Movement (BDERM),Bangladesh Institute of Labor Studies (BILS),1
Bangladesh Adivasi Forum,"and Transparency International Bangladesh (TIB), Dhaka (Bangladesh)",1
Bangladesh Adivasi Forum,Nijera Kori,1
Bangladesh Adivasi Forum,Nagorik Uddyog,1
Bangladesh Adivasi Forum,Manusher Jonno Foundation (MJF),1
"Center for Social Activism (CSA), New York (United States of America)","and Association for Progressive Communication (APC), Melville (South Africa)",1
"Council of Minorities, Dhaka (Bangladesh)","and NAMATI, Washington (United States of America)",1
Acid Survivors Foundation (ASF),Association of Land Reforms and Development (ALRD),1
"Cultural Survival, Cambridge (United States of America)","and American Indian Law Clinic, Colorado (United States of America)",1
"Robert F. Kennedy Human Rights, Washington DC (United States of America)","and World Organization Against Torture (OMCT), Geneva (Switzerland)",1
"PEN International, London (United Kingdom)","and PEN Bangladesh, Dhaka (Bangladesh)",1
"Odhikar, Dhaka (Bangladesh)","and World Organization Against Torture (OMCT), Geneva (Switzerland)",1
"Odhikar, Dhaka (Bangladesh)","Robert F. Kennedy Human Rights, Washington DC (United States of America)",1
Nijera Kori,"and Transparency International Bangladesh (TIB), Dhaka (Bangladesh)",1
"Nagorik Uddyog (Citizen’s Initiative), Dhaka (Bangladesh)","and International Dalit Solidarity Network (IDSN), Copenhagen (Denmark)",1
Nagorik Uddyog,"and Transparency International Bangladesh (TIB), Dhaka (Bangladesh)",1
Nagorik Uddyog,Nijera Kori,1
Manusher Jonno Foundation (MJF),"and Transparency International Bangladesh (TIB), Dhaka (Bangladesh)",1
Manusher Jonno Foundation (MJF),Nijera Kori,1
Manusher Jonno Foundation (MJF),Nagorik Uddyog,1
"International Federation for Human Rights (FIDH), Paris (France)","and World Organization Against Torture (OMCT), Geneva (Switzerland)",1
"International Federation for Human Rights (FIDH), Paris (France)","Robert F. Kennedy Human Rights, Washington DC (United States of America)",1
"International Federation for Human Rights (FIDH), Paris (France)","Odhikar, Dhaka (Bangladesh)",1
"Freemuse, Copemhagen (Denmark)","and PEN Bangladesh, Dhaka (Bangladesh)",1
"Freemuse, Copemhagen (Denmark)","PEN International, London (United Kingdom)",1
"Drik Picture Library, Dhaka (Bangladesh)","and PEN Bangladesh, Dhaka (Bangladesh)",1
"Drik Picture Library, Dhaka (Bangladesh)","PEN International, London (United Kingdom)",1
"Drik Picture Library, Dhaka (Bangladesh)","Freemuse, Copemhagen (Denmark)",1
Bangladesh Adivasi Forum,Bangladesh Institute of Labor Studies (BILS),1
Bangladesh Adivasi Forum,Bangladesh Dalit and Excluded Rights Movement (BDERM),1
Association of Land Reforms and Development (ALRD),"and Transparency International Bangladesh (TIB), Dhaka (Bangladesh)",1
Association of Land Reforms and Development (ALRD),Nijera Kori,1
"Asian Federation Against Involuntary Disappearances (AFAD), Quezon City (Philippines)","Asian Forum for Human Rights and Development (FORUM-ASIA), Bangkok (Thailand)",1
"Article 19, England (United Kingdom)","and Research Initiatives Bangladesh, Dhaka (Bangladesh)",1
Ain o Shalish Kendra (ASK) – Forum Secretariat,"and Transparency International Bangladesh (TIB), Dhaka (Bangladesh)",1
Ain o Shalish Kendra (ASK) – Forum Secretariat,Nijera Kori,1
Ain o Shalish Kendra (ASK) – Forum Secretariat,Nagorik Uddyog,1
Ain o Shalish Kendra (ASK) – Forum Secretariat,Manusher Jonno Foundation (MJF),1
Ain o Shalish Kendra (ASK) – Forum Secretariat,Bangladesh Institute of Labor Studies (BILS),1
Ain o Shalish Kendra (ASK) – Forum Secretariat,Bangladesh Dalit and Excluded Rights Movement (BDERM),1
Ain o Shalish Kendra (ASK) – Forum Secretariat,Bangladesh Adivasi Forum,1
Ain o Shalish Kendra (ASK) – Forum Secretariat,Association of Land Reforms and Development (ALRD),1
"Actionaid, Dhaka (Bangladesh)","and Save the Children, London (United Kingdom)",1
"Actionaid, Dhaka (Bangladesh)","Child Rights Advocacy Coalition in Bangladesh (CRAC,B), Dhaka (Bangladesh)",1
Acid Survivors Foundation (ASF),"and Transparency International Bangladesh (TIB), Dhaka (Bangladesh)",1
Acid Survivors Foundation (ASF),Nijera Kori,1
Acid Survivors Foundation (ASF),Nagorik Uddyog,1
Acid Survivors Foundation (ASF),Manusher Jonno Foundation (MJF),1
Acid Survivors Foundation (ASF),Bangladesh Institute of Labor Studies (BILS),1
Acid Survivors Foundation (ASF),Bangladesh Dalit and Excluded Rights Movement (BDERM),1
Acid Survivors Foundation (ASF),Bangladesh Adivasi Forum,1
"Asian Federation Against Involuntary Disappearances (AFAD), Quezon City (Philippines)","Asian Legal Resource Centre (ALRC), Hong Kong (China)",1
"Asian Federation Against Involuntary Disappearances (AFAD), Quezon City (Philippines)","CIVICUS Global Alliance, Johannesburg (South Africa)",1
"Asian Federation Against Involuntary Disappearances (AFAD), Quezon City (Philippines)","International Federation for Human Rights (FIDH), Paris (France)",1
"Asian Legal Resource Centre (ALRC), Hong Kong (China)","International Federation for Human Rights (FIDH), Paris (France)",1
Association of Land Reforms and Development (ALRD),Nagorik Uddyog,1
Association of Land Reforms and Development (ALRD),Manusher Jonno Foundation (MJF),1
Association of Land Reforms and Development (ALRD),Bangladesh Institute of Labor Studies (BILS),1
Association of Land Reforms and Development (ALRD),Bangladesh Dalit and Excluded Rights Movement (BDERM),1
Association of Land Reforms and Development (ALRD),Bangladesh Adivasi Forum,1
