Source,Target,Weight
"Assembly of Pro- Democratic Non-governmental Organizations of Belarus, Vilnius (Lithuania)","Legal Transformation Center “Lawtrend”, Minsk (Belarus)",1
"Legal Initiative, Minsk (Belarus)","Legal Transformation Center “Lawtrend”, Minsk (Belarus)",1
FORB Initiative,"Legal Transformation Center “Lawtrend”, Minsk (Belarus)",1
FORB Initiative,Office for the Rights of Persons with Disabilities,1
FORB Initiative,"The Barys Zvozskau Belarusian Human Rights House, Vilnius (Lithuania)",1
FORB Initiative,"The Belarusian Documentation Center, Vilnius (Lithuania)",1
FORB Initiative,The Initiative Group “Identity and Law”,1
Helsinki Foundation for Human Rights,World Organisation Against Torture,1
Helsinki Foundation for Human Rights,joined by International Federation for Human Rights and International Partnership for Human Rights,1
"Human Constanta, Minsk (Belarus)","Legal Initiative, Minsk (Belarus)",1
"Human Constanta, Minsk (Belarus)","Legal Transformation Center “Lawtrend”, Minsk (Belarus)",1
"Human Constanta, Minsk (Belarus)",Office for the Rights of Persons with Disabilities,1
"Human Constanta, Minsk (Belarus)","The Barys Zvozskau Belarusian Human Rights House, Vilnius (Lithuania)",1
"Human Constanta, Minsk (Belarus)","The Belarusian Documentation Center, Vilnius (Lithuania)",1
"Human Constanta, Minsk (Belarus)",The Initiative Group “Identity and Law”,1
"Legal Initiative, Minsk (Belarus)",Office for the Rights of Persons with Disabilities,1
"Assembly of Pro-Democratic Non-governmental Organizations of Belarus, Vilnius (Lithuania)","Belarusian Association of Journalists, Minsk (Belarus)",1
"Legal Initiative, Minsk (Belarus)","The Barys Zvozskau Belarusian Human Rights House, Vilnius (Lithuania)",1
"Legal Initiative, Minsk (Belarus)","The Belarusian Documentation Center, Vilnius (Lithuania)",1
"Legal Initiative, Minsk (Belarus)",The Initiative Group “Identity and Law”,1
"Legal Transformation Center “Lawtrend”, Minsk (Belarus)",Office for the Rights of Persons with Disabilities,1
"Legal Transformation Center “Lawtrend”, Minsk (Belarus)","The Barys Zvozskau Belarusian Human Rights House, Vilnius (Lithuania)",1
"Legal Transformation Center “Lawtrend”, Minsk (Belarus)","The Belarusian Documentation Center, Vilnius (Lithuania)",1
"Legal Transformation Center “Lawtrend”, Minsk (Belarus)",The Initiative Group “Identity and Law”,1
Office for the Rights of Persons with Disabilities,"The Barys Zvozskau Belarusian Human Rights House, Vilnius (Lithuania)",1
Office for the Rights of Persons with Disabilities,"The Belarusian Documentation Center, Vilnius (Lithuania)",1
Office for the Rights of Persons with Disabilities,The Initiative Group “Identity and Law”,1
"The Barys Zvozskau Belarusian Human Rights House, Vilnius (Lithuania)","The Belarusian Documentation Center, Vilnius (Lithuania)",1
"The Barys Zvozskau Belarusian Human Rights House, Vilnius (Lithuania)",The Initiative Group “Identity and Law”,1
"The Belarusian Documentation Center, Vilnius (Lithuania)",The Initiative Group “Identity and Law”,1
FORB Initiative,"Legal Initiative, Minsk (Belarus)",1
FORB Initiative,"Human Constanta, Minsk (Belarus)",1
