Source,Target,Weight
Belize Youth Empowerment for Change – BYEC (Belize),Empower Yourself Belize Movement – EYBM (Belize),1
Belize Youth Empowerment for Change – BYEC (Belize),Our Circle (Belize),1
"Trans In Action – TIA (Belize). 2 For the relevant recommendations, see A/HRC/25/13, paras. 98.5, 99.1- 99.6, 99.11, 99.18- 99.21, 99.23, 99.24, 99.42. 3 UPR recommendation 99.1 (Brazil, Paraguay). For the full text of the recommendation, see A/HRC/25/13. 4 See IHRC-OU, p. 1. See also BFLA, p. 3",and,1
"Trans In Action – TIA (Belize). 2 For the relevant recommendations, see A/HRC/25/13, paras. 98.5, 99.1- 99.6, 99.11, 99.18- 99.21, 99.23, 99.24, 99.42. 3 UPR recommendation 99.1 (Brazil, Paraguay). For the full text of the recommendation, see A/HRC/25/13. 4 See IHRC-OU, p. 1. See also BFLA, p. 3",United Belize Advocacy Movement – UniBAM (Belize),1
Promoting Empowerment Through Awareness for Les/Bi Women – PETAL (Belize),and,1
Promoting Empowerment Through Awareness for Les/Bi Women – PETAL (Belize),United Belize Advocacy Movement – UniBAM (Belize),1
Promoting Empowerment Through Awareness for Les/Bi Women – PETAL (Belize),"Trans In Action – TIA (Belize). 2 For the relevant recommendations, see A/HRC/25/13, paras. 98.5, 99.1- 99.6, 99.11, 99.18- 99.21, 99.23, 99.24, 99.42. 3 UPR recommendation 99.1 (Brazil, Paraguay). For the full text of the recommendation, see A/HRC/25/13. 4 See IHRC-OU, p. 1. See also BFLA, p. 3",1
Our Circle (Belize),and,1
Our Circle (Belize),United Belize Advocacy Movement – UniBAM (Belize),1
Our Circle (Belize),"Trans In Action – TIA (Belize). 2 For the relevant recommendations, see A/HRC/25/13, paras. 98.5, 99.1- 99.6, 99.11, 99.18- 99.21, 99.23, 99.24, 99.42. 3 UPR recommendation 99.1 (Brazil, Paraguay). For the full text of the recommendation, see A/HRC/25/13. 4 See IHRC-OU, p. 1. See also BFLA, p. 3",1
Our Circle (Belize),Promoting Empowerment Through Awareness for Les/Bi Women – PETAL (Belize),1
Maya Leaders Alliance (Belize),"p. 2. 5 See IHRC-OU, p. 4. 6 See IHRC-OU, p. 3. 7 See IHRC-OU, p. 1. 8 UPR recommendation 99.42 (Honduras). For the full text of the recommendation, see A/HRC/25/13. 9 See IHRC-OU, pp. 4 and 5. 10 See ICAN, p. 1. 11 See IHRC-OU, pp. 2 and 4",1
Empower Yourself Belize Movement – EYBM (Belize),and,1
Empower Yourself Belize Movement – EYBM (Belize),United Belize Advocacy Movement – UniBAM (Belize),1
Empower Yourself Belize Movement – EYBM (Belize),"Trans In Action – TIA (Belize). 2 For the relevant recommendations, see A/HRC/25/13, paras. 98.5, 99.1- 99.6, 99.11, 99.18- 99.21, 99.23, 99.24, 99.42. 3 UPR recommendation 99.1 (Brazil, Paraguay). For the full text of the recommendation, see A/HRC/25/13. 4 See IHRC-OU, p. 1. See also BFLA, p. 3",1
Empower Yourself Belize Movement – EYBM (Belize),Promoting Empowerment Through Awareness for Les/Bi Women – PETAL (Belize),1
Empower Yourself Belize Movement – EYBM (Belize),Our Circle (Belize),1
Cultural survival (United States of America),"p. 2. 5 See IHRC-OU, p. 4. 6 See IHRC-OU, p. 3. 7 See IHRC-OU, p. 1. 8 UPR recommendation 99.42 (Honduras). For the full text of the recommendation, see A/HRC/25/13. 9 See IHRC-OU, pp. 4 and 5. 10 See ICAN, p. 1. 11 See IHRC-OU, pp. 2 and 4",1
Cultural survival (United States of America),Maya Leaders Alliance (Belize),1
Belize Youth Empowerment for Change – BYEC (Belize),and,1
Belize Youth Empowerment for Change – BYEC (Belize),United Belize Advocacy Movement – UniBAM (Belize),1
Belize Youth Empowerment for Change – BYEC (Belize),"Trans In Action – TIA (Belize). 2 For the relevant recommendations, see A/HRC/25/13, paras. 98.5, 99.1- 99.6, 99.11, 99.18- 99.21, 99.23, 99.24, 99.42. 3 UPR recommendation 99.1 (Brazil, Paraguay). For the full text of the recommendation, see A/HRC/25/13. 4 See IHRC-OU, p. 1. See also BFLA, p. 3",1
Belize Youth Empowerment for Change – BYEC (Belize),Promoting Empowerment Through Awareness for Les/Bi Women – PETAL (Belize),1
United Belize Advocacy Movement – UniBAM (Belize),and,1
