Source,Target,Weight
Action des Chrétiens pour l’Abolition de la Torture (ACAT-Bénin),Amnesty International Bénin,1
Fondation Regard d’Amour (FRA),ONG Œil d’Aujourd’hui,1
Enfants Solidaires d’Afrique et du Monde (ESAM),Franciscains Bénin (FB),1
Enfants Solidaires d’Afrique et du Monde (ESAM),Franciscans International (FI),1
Enfants Solidaires d’Afrique et du Monde (ESAM),Plan Bénin,1
Enfants solidaires d’Afrique et du monde (ESAM),Franciscans Bénin,1
Fondation Regard d’Amour (FRA),Forum des Organisation de Défense des Droits de l’Enfant au Bénin (FODDEB),1
Fondation Regard d’Amour (FRA),Franciscain-Bénin,1
Fondation Regard d’Amour (FRA),Groupe d’Actions pour le Progrès et la Paix (GAPP-Bénin),1
Fondation Regard d’Amour (FRA),ONG Femme et Vie,1
Fondation Regard d’Amour (FRA),REDSFECO-Bénin,1
Droits de l’Homme Paix et Développement (DHPD-ONG),Secours Populaire Bénin,1
Fondation Regard d’Amour (FRA),Réseau des Organisations de Défense des Droits de l’Homme (RODDH-Bénin),1
Fondation Regard d’Amour (FRA),Réseau pour l’Intégration des Femmes des ONG et Associations africaines (RIFONGABénin),1
Fondation Regard d’Amour (FRA),Secours Populaire Bénin,1
Fondation Regard d’Amour (FRA),Women in Law and Developpement in Africa-Benin (WILDAF-Bénin),1
Forum des Organisation de Défense des Droits de l’Enfant au Bénin (FODDEB),Franciscain-Bénin,1
Forum des Organisation de Défense des Droits de l’Enfant au Bénin (FODDEB),Groupe d’Actions pour le Progrès et la Paix (GAPP-Bénin),1
Forum des Organisation de Défense des Droits de l’Enfant au Bénin (FODDEB),ONG Femme et Vie,1
Forum des Organisation de Défense des Droits de l’Enfant au Bénin (FODDEB),ONG Œil d’Aujourd’hui,1
Droits de l’Homme Paix et Développement (DHPD-ONG),Women in Law and Developpement in Africa-Benin (WILDAF-Bénin),1
Droits de l’Homme Paix et Développement (DHPD-ONG),Réseau pour l’Intégration des Femmes des ONG et Associations africaines (RIFONGABénin),1
Changement Social Bénin (CSB),Women in Law and Developpement in Africa-Benin (WILDAF-Bénin),1
Droits de l’Homme Paix et Développement,Réseau pour l’Intégration des Femmes des ONG et Associations africaines (RIFONGABénin),1
Droits de l’Homme Paix et Développement,Fondation Regard d’Amour (FRA),1
Droits de l’Homme Paix et Développement,Forum des Organisation de Défense des Droits de l’Enfant au Bénin (FODDEB),1
