Source,Target,Weight
Centro de Investigación y Promoción del Campesinado – CIPCA (Plurinational State of Bolivia),Coordinadora Andina de Organizaciones Indígenas – CAOI (Plurinational State of Bolivia),3
Colectivo Wasi Pacha (Plurinational State of Bolivia),Ecotambo – Tejiendo Transiciones – ECOTAMBO (Plurinational State of Bolivia),2
Colectivo de Coordinación de Acciones Socio Ambientales – Colectivo Casa (Plurinational State of Bolivia),Ecotambo – Tejiendo Transiciones – ECOTAMBO (Plurinational State of Bolivia),2
Comunidad de Derechos Humanos (Plurinational State of Bolivia),Equipo de Comunicación Alternativa con Mujeres – ECAM (Plurinational State of Bolivia),2
Colectivo de Coordinación de Acciones Socio Ambientales – Colectivo Casa (Plurinational State of Bolivia),El Q’epi del Trueque Bolivia (Plurinational State of Bolivia),2
Colectivo de Coordinación de Acciones Socio Ambientales – Colectivo Casa (Plurinational State of Bolivia),Escuela de Lideres Ambientales – ELA (Plurinational State of Bolivia),2
Colectivo de Coordinación de Acciones Socio Ambientales – Colectivo Casa (Plurinational State of Bolivia),Fundación Jubileo (Plurinational State of Bolivia),2
Comité Impulsor de la Agenda Política y Legislativa desde las Mujeres – CIAPLM (Plurinational State of Bolivia),Federación Nacional de Trabajadoras Asalariadas del Hogar de Bolivia – FENATRAHOB (Plurinational State of Bolivia),2
Apoyo para el Campesino e Indígena del Oriente Boliviano – APCOB (Plurinational State of Bolivia),Centro de Ecología y Pueblos Andinos – CEPA (Plurinational State of Bolivia),2
Apoyo para el Campesino e Indígena del Oriente Boliviano – APCOB (Plurinational State of Bolivia),Centro de Documentación e Información Bolivia – CEDIB (Plurinational State of Bolivia),2
Comité de Defensa Valle de Tucabaca – CDVT (Plurinational State of Bolivia),Fundación Jubileo (Plurinational State of Bolivia),2
Comité de Defensa Valle de Tucabaca – CDVT (Plurinational State of Bolivia),Escuela de Lideres Ambientales – ELA (Plurinational State of Bolivia),2
Comité de Defensa Valle de Tucabaca – CDVT (Plurinational State of Bolivia),El Q’epi del Trueque Bolivia (Plurinational State of Bolivia),2
Comunidad de Derechos Humanos (Plurinational State of Bolivia),Federación Nacional de Trabajadoras Asalariadas del Hogar de Bolivia – FENATRAHOB (Plurinational State of Bolivia),2
Comité de Defensa Valle de Tucabaca – CDVT (Plurinational State of Bolivia),Ecotambo – Tejiendo Transiciones – ECOTAMBO (Plurinational State of Bolivia),2
Metamorfosis (Plurinational State of Bolivia),Red Trebol (Plurinational State of Bolivia),2
Capitanía Comunal Takovo Mora – CTM (Plurinational State of Bolivia),Caritas Pastoral Social Tarija (Plurinational State of Bolivia),2
Comunidad de Derechos Humanos (Plurinational State of Bolivia),Fondo de Mujeres Bolivia – Apthapi Jopueti (Plurinational State of Bolivia),2
Capitanía Comunal Takovo Mora – CTM (Plurinational State of Bolivia),Centro de Comunicación y Desarrollo Andino – CENDA (Plurinational State of Bolivia),2
Capitanía Comunal Takovo Mora – CTM (Plurinational State of Bolivia),Centro de Documentación e Información Bolivia – CEDIB (Plurinational State of Bolivia),2
Capitanía Comunal Takovo Mora – CTM (Plurinational State of Bolivia),Centro de Ecología y Pueblos Andinos – CEPA (Plurinational State of Bolivia),2
Capitanía Comunal Takovo Mora – CTM (Plurinational State of Bolivia),Centro de Investigación y Promoción del Campesinado – CIPCA (Plurinational State of Bolivia),2
Capitanía Comunal Takovo Mora – CTM (Plurinational State of Bolivia),Centros de Estudios y Apoyo al Desarrollo Local – CEADL (Plurinational State of Bolivia),2
Comité de Defensa Valle de Tucabaca – CDVT (Plurinational State of Bolivia),Coordinadora para la Defensa de la Amazonia – CODA (Plurinational State of Bolivia),2
Comité Impulsor de la Agenda Política y Legislativa desde las Mujeres – CIAPLM (Plurinational State of Bolivia),Equipo de Comunicación Alternativa con Mujeres – ECAM (Plurinational State of Bolivia),2
Comité de Defensa Valle de Tucabaca – CDVT (Plurinational State of Bolivia),Coordinadora en defensa de la autodeterminación de los pueblos y el medio ambiente – CODAPMA (Plurinational State of Bolivia),2
Comunidad de Derechos Humanos (Plurinational State of Bolivia),Fundación Colectivo Cabildeo (Plurinational State of Bolivia),2
Apoyo para el Campesino e Indígena del Oriente Boliviano – APCOB (Plurinational State of Bolivia),Centro de Comunicación y Desarrollo Andino – CENDA (Plurinational State of Bolivia),2
Apoyo para el Campesino e Indígena del Oriente Boliviano – APCOB (Plurinational State of Bolivia),Caritas Pastoral Social Tarija (Plurinational State of Bolivia),2
Comunidad de Derechos Humanos (Plurinational State of Bolivia),Equidad (Plurinational State of Bolivia),2
Colectivo de Coordinación de Acciones Socio Ambientales – Colectivo Casa (Plurinational State of Bolivia),Coordinadora para la Defensa de la Amazonia – CODA (Plurinational State of Bolivia),2
Comité de Defensa Valle de Tucabaca – CDVT (Plurinational State of Bolivia),Consejo Continental Guaraní (Paraguay),2
Colectivo de Coordinación de Acciones Socio Ambientales – Colectivo Casa (Plurinational State of Bolivia),Coordinadora en defensa de la autodeterminación de los pueblos y el medio ambiente – CODAPMA (Plurinational State of Bolivia),2
Colectivo Wasi Pacha (Plurinational State of Bolivia),Coordinadora en defensa de la autodeterminación de los pueblos y el medio ambiente – CODAPMA (Plurinational State of Bolivia),2
Colectivo Wasi Pacha (Plurinational State of Bolivia),Coordinadora para la Defensa de la Amazonia – CODA (Plurinational State of Bolivia),2
Comité de Gestión Reserva Vida Silvestre Tucabaca – CGAP/UCPNT (Plurinational State of Bolivia),Consejo Continental Guaraní (Paraguay),2
Colectivo Wasi Pacha (Plurinational State of Bolivia),El Q’epi del Trueque Bolivia (Plurinational State of Bolivia),2
Colectivo Wasi Pacha (Plurinational State of Bolivia),Escuela de Lideres Ambientales – ELA (Plurinational State of Bolivia),2
Colectivo Wasi Pacha (Plurinational State of Bolivia),Fundación Jubileo (Plurinational State of Bolivia),2
Asamblea Permanente de Derechos Humanos de La Paz – APDH-LP (Plurinational State of Bolivia),Coordinadora Nacional de Defensa de Territorios Indígenas Originarios Campesinos y Áreas Protegidas – CONTIOCAP (Plurinational State of Bolivia),2
Apoyo para el Campesino e Indígena del Oriente Boliviano – APCOB (Plurinational State of Bolivia),Coordinadora Nacional de Defensa de Territorios Indígenas Originarios Campesinos y Áreas Protegidas – CONTIOCAP (Plurinational State of Bolivia),2
Comité Impulsor de la Agenda Política y Legislativa desde las Mujeres – CIAPLM (Plurinational State of Bolivia),Fundación Ñañope (Plurinational State of Bolivia),2
Apoyo para el Campesino e Indígena del Oriente Boliviano – APCOB (Plurinational State of Bolivia),Coordinadora Andina de Organizaciones Indígenas – CAOI (Plurinational State of Bolivia),2
Apoyo para el Campesino e Indígena del Oriente Boliviano – APCOB (Plurinational State of Bolivia),Consorcio TICCA Bolivia (Plurinational State of Bolivia),2
Federación Nacional de Trabajadoras Asalariadas del Hogar de Bolivia – FENATRAHOB (Plurinational State of Bolivia),Fundación Ñañope (Plurinational State of Bolivia),2
Apoyo para el Campesino e Indígena del Oriente Boliviano – APCOB (Plurinational State of Bolivia),Comunidad Caigua área de influencia directa del Parque Nacional Aguaragüe (Plurinational State of Bolivia),2
Comité Impulsor de la Agenda Política y Legislativa desde las Mujeres – CIAPLM (Plurinational State of Bolivia),Fundación Colectivo Cabildeo (Plurinational State of Bolivia),2
Federación Nacional de Trabajadoras Asalariadas del Hogar de Bolivia – FENATRAHOB (Plurinational State of Bolivia),Instituto de Investigaciones Médico Sociales – IIMS (Plurinational State of Bolivia),2
Comunidad de Derechos Humanos (Plurinational State of Bolivia),Consorcio Boliviano de Juventudes – CONBOJUV (Plurinational State of Bolivia),2
Consorcio TICCA Bolivia (Plurinational State of Bolivia),Coordinadora Nacional de Defensa de Territorios Indígenas Originarios Campesinos y Áreas Protegidas – CONTIOCAP (Plurinational State of Bolivia),2
Consorcio TICCA Bolivia (Plurinational State of Bolivia),Coordinadora Andina de Organizaciones Indígenas – CAOI (Plurinational State of Bolivia),2
Colectivo de Coordinación de Acciones Socio Ambientales – Colectivo Casa (Plurinational State of Bolivia),Colectivo Árbol Santa Cruz (Plurinational State of Bolivia),2
Colectivo de Coordinación de Acciones Socio Ambientales – Colectivo Casa (Plurinational State of Bolivia),Comité de Defensa Valle de Tucabaca – CDVT (Plurinational State of Bolivia),2
Colectivo de Coordinación de Acciones Socio Ambientales – Colectivo Casa (Plurinational State of Bolivia),Comité de Gestión Reserva Vida Silvestre Tucabaca – CGAP/UCPNT (Plurinational State of Bolivia),2
Colectivo de Coordinación de Acciones Socio Ambientales – Colectivo Casa (Plurinational State of Bolivia),Consejo Continental Guaraní (Paraguay),2
Comité Impulsor de la Agenda Política y Legislativa desde las Mujeres – CIAPLM (Plurinational State of Bolivia),Fondo de Mujeres Bolivia – Apthapi Jopueti (Plurinational State of Bolivia),2
Apoyo para el Campesino e Indígena del Oriente Boliviano – APCOB (Plurinational State of Bolivia),Centros de Estudios y Apoyo al Desarrollo Local – CEADL (Plurinational State of Bolivia),2
Apoyo para el Campesino e Indígena del Oriente Boliviano – APCOB (Plurinational State of Bolivia),Centro de Investigación y Promoción del Campesinado – CIPCA (Plurinational State of Bolivia),2
Apoyo para el Campesino e Indígena del Oriente Boliviano – APCOB (Plurinational State of Bolivia),Capitanía Comunal Takovo Mora – CTM (Plurinational State of Bolivia),2
Apoyo para el Campesino e Indígena del Oriente Boliviano – APCOB (Plurinational State of Bolivia),Ayllu Fundo Rustico Acre Antequera (Plurinational State of Bolivia),2
Federación Nacional de Trabajadoras Asalariadas del Hogar de Bolivia – FENATRAHOB (Plurinational State of Bolivia),Fundación Colectivo Cabildeo (Plurinational State of Bolivia),2
Red Eclesial Panamazónica – Mojos (Plurinational State of Bolivia),Taller de Iniciativas de Estudios Rurales y Agrarios – TIERRA (Plurinational State of Bolivia),2
Red Eclesial de la Amazonia Boliviana – REPAM Bolivia (Plurinational State of Bolivia),Warmis en Resistencia – Espacio de Mujeres (Plurinational State of Bolivia),2
Red Eclesial de la Amazonia Boliviana – REPAM Bolivia (Plurinational State of Bolivia),Veeduría Ciudadana de Derechos Humanos – VCDDHH (Plurinational State of Bolivia),2
Red Eclesial de la Amazonia Boliviana – REPAM Bolivia (Plurinational State of Bolivia),Taller de Iniciativas de Estudios Rurales y Agrarios – TIERRA (Plurinational State of Bolivia),2
Red Eclesial de la Amazonia Boliviana – REPAM Bolivia (Plurinational State of Bolivia),Sub Central Tariquía (Plurinational State of Bolivia),2
Red Eclesial de la Amazonia Boliviana – REPAM Bolivia (Plurinational State of Bolivia),Sub Central Cabildos Indigenales región Isiboro-Secure TIPNIS (Plurinational State of Bolivia),2
Asamblea del Pueblo Guaraní – APG (Plurinational State of Bolivia),Consejo Continental de la Nación Guaraní – CCNAGUA (Plurinational State of Bolivia),2
Red Eclesial de la Amazonia Boliviana – REPAM Bolivia (Plurinational State of Bolivia),Somos Sur (Plurinational State of Bolivia),2
