Source,Target,Weight
AMAAIC — Associação do Movimento dos Agentes Agroflorestais Indígenas do Acre,APIB — Articulação dos Povos Indígenas do Brasil,1
Fórum das ONG-AIDS do Estado de São Paulo,RNP+/PI — Network of People Living with HIV/AIDS Piauí,1
Fórum das ONG-AIDS do Estado de São Paulo,GIV — Grupo de Incentivo à Vida (Incentive to Life Group),1
Fórum das ONG-AIDS do Estado de São Paulo,GRAB — Grupo de Resistência Asa Branca (Resistance Group Asa Branca),1
Fórum das ONG-AIDS do Estado de São Paulo,"Gestos — Soropositividade, Comunicação e Gênero (GESTOS — HIV+, Communication and Gender)",1
Fórum das ONG-AIDS do Estado de São Paulo,Grupo Pela Vidda/RJ (Group for Life in Rio de Janeiro),1
Fórum das ONG-AIDS do Estado de São Paulo,Grupo Pela Vidda/SP (Group for Life in São Paulo),1
Fórum das ONG-AIDS do Estado de São Paulo,Grupo de Trabalho sobre Propriedade Intelectual: ABIA — Associação Brasileira Interdisciplinar de AIDS (Brazilian Interdisciplinary AIDS Association),1
Fórum das ONG-AIDS do Estado de São Paulo,IDEC— Instituto Brasileiro de Defesa do Consumidor (Brazilian Institute for Consumers Protection),1
Fórum das ONG-AIDS do Estado de São Paulo,RNP+/MA — Network of People Living with HIV/AIDS Maranhão,1
Fórum das ONG-AIDS do Estado de São Paulo,UAEM Brasil — Universidades Aliadas por Medicamentos Essenciais (Universities Allied for Essential Medicines Brazil) (Brazil),1
FIAN Brazil,Indigenous Missionary Council (CIMI),1
Fórum das ONG-AIDS do Estado do Maranhão,Fórum das ONG-AIDS do Estado do Rio Grande do Sul,1
Fórum das ONG-AIDS do Estado do Maranhão,GAPA/BA — Grupo de Apoio à Prevenção à AIDS da Bahia (Support Group for AIDS Prevention in Bahia),1
Fórum das ONG-AIDS do Estado do Maranhão,GAPA/RS — Grupo de Apoio à Prevenção à AIDS do Rio Grande do Sul (Support Group for AIDS Prevention in Rio Grande do Sul),1
Fórum das ONG-AIDS do Estado do Maranhão,GAPA/SP—Grupo de Apoio à Prevenção à AIDS de São Paulo (Support Group for AIDS Prevention in São Paulo),1
Fórum das ONG-AIDS do Estado do Maranhão,GIV — Grupo de Incentivo à Vida (Incentive to Life Group),1
Fórum das ONG-AIDS do Estado do Maranhão,GRAB — Grupo de Resistência Asa Branca (Resistance Group Asa Branca),1
Fórum das ONG-AIDS do Estado do Maranhão,"Gestos — Soropositividade, Comunicação e Gênero (GESTOS — HIV+, Communication and Gender)",1
Fórum das ONG-AIDS do Estado do Maranhão,Grupo Pela Vidda/RJ (Group for Life in Rio de Janeiro),1
Fórum das ONG-AIDS do Estado de São Paulo,GAPA/SP—Grupo de Apoio à Prevenção à AIDS de São Paulo (Support Group for AIDS Prevention in São Paulo),1
Fórum das ONG-AIDS do Estado de São Paulo,GAPA/RS — Grupo de Apoio à Prevenção à AIDS do Rio Grande do Sul (Support Group for AIDS Prevention in Rio Grande do Sul),1
Fórum das ONG-AIDS do Estado de São Paulo,GAPA/BA — Grupo de Apoio à Prevenção à AIDS da Bahia (Support Group for AIDS Prevention in Bahia),1
Fórum das ONG-AIDS do Estado de São Paulo,Fórum das ONG-AIDS do Estado do Rio Grande do Sul,1
FIAN Brazil,and Association of Judges for Democracy (Brazil),1
FOIRN — Federação das Organizações Indígenas do GE.17-01936 11 Rio Negro,HAY — Associação Yanomami,1
FOIRN — Federação das Organizações Indígenas do GE.17-01936 11 Rio Negro,IEB — Instituto Internacional de Educação do Brasil,1
FOIRN — Federação das Organizações Indígenas do GE.17-01936 11 Rio Negro,ISA — Instituto Socioambiental,1
FOIRN — Federação das Organizações Indígenas do GE.17-01936 11 Rio Negro,Iepé — Instituto de Pesquisa e Formação Indígena,1
FOIRN — Federação das Organizações Indígenas do GE.17-01936 11 Rio Negro,Justiça Global (Brazil),1
FOIRN — Federação das Organizações Indígenas do GE.17-01936 11 Rio Negro,OGM — Organização Geral Mayuruna,1
FOIRN — Federação das Organizações Indígenas do GE.17-01936 11 Rio Negro,OPIAC — Organização dos Professores Indígenas do Acre,1
FOIRN — Federação das Organizações Indígenas do GE.17-01936 11 Rio Negro,"Plataforma de Direitos Humanos — DHesca Brasil: APOINME — Articulação dos Povos e Organizações Indígenas do Nordeste, Minas Gerais e Espírito Santo",1
FOIRN — Federação das Organizações Indígenas do GE.17-01936 11 Rio Negro,RCA — Rede de Cooperação Amazônica,1
FOIRN — Federação das Organizações Indígenas do GE.17-01936 11 Rio Negro,Wyty-Catë — Associação Wyty-Catë dos Povos Indígenas Timbira do Maranhão e Tocantins,1
Feminist Network of Jurist (deFEMde) (Brazil),Geledes — Black Women’s Institute,1
Feminist Network of Jurist (deFEMde) (Brazil),Institute for Development and Human Rights (IDDH),1
