Source,Target,Weight
Asociación Pro Derechos Humanos (APRODEH),EarthRights International (ERI),2
EarthRights International (ERI),"Federación Nacional de Trabajadores Mineros, Metalúrgicos y Siderúrgicos del Perú (FNTMMSP)",2
CooperAcción,Coordinadora Nacional de Derechos Humanos (CNDDHH),2
Asociación Pro Derechos Humanos (APRODEH),"Red Muqui, red de propuesta y acción (Muqui)",2
Asociación Pro Derechos Humanos (APRODEH),Coordinadora Nacional de Derechos Humanos (CNDDHH),2
Asociación Pro Derechos Humanos (APRODEH),CooperAcción,2
EarthRights International (ERI),"Red Muqui, red de propuesta y acción (Muqui)",2
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Gastroenterología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Farmacología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Medicina Bioenergética y Naturalista,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Investigaciones Filosóficas,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Inmunología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Informática Médica,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Imagenología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Educadores en Ciencias de la Salud Sociedad Cubana de Endocrinología y Enfermedades Metabólicas,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Historia de la Medicina,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Enfermería,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Higiene y Epidemiología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Hematología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Gerontología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Medicina Familiar,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Geología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Estomatología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Estudios Ortodóncicos,1
(CUBASOLAR),Asociación Cubana de Esperanto,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Medicina Interna,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Medicina Física y Rehabilitación,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Oncología y Radiobiología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Psiquiatría,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Psicología de la Salud,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Prótesis Estomatológica,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Periodontología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Pediatría,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Patología Clínica,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Otorrinolaringología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Ortopedia y Traumatología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Oftalmología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Medicina Intensiva y de Emergencia,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Obstetricia y Ginecología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Nutrición Clínica,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Neurociencias,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Neumología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Nefrología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Microbiología y Parasitología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Medicina Legal,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Coloproctología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Dermatología,1
Sociedad Cubana de Cirugía,Unión Árabe de Cuba,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Cirugía Plástica y Caumatología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Cirugía Pediátrica,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Psicología de la Salud,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Prótesis Estomatológica,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Periodontología,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Pediatría,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Patología Clínica,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Otorrinolaringología,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Ortopedia y Traumatología,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Oncología y Radiobiología,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Oftalmología,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Obstetricia y Ginecología,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Nutrición Clínica,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Neurociencias,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Neumología,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Nefrología,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Microbiología y Parasitología,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Medicina Legal,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Medicina Interna,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Psiquiatría,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Reumatología,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Salud Pública,1
Sociedad Cubana de Cirugía,Sociedad Nacional de la Cruz Roja Cubana,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Cirugía Maxilo- Facial,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Salud Pública,1
Sociedad Cubana de Cirugía,Unión de Periodistas de Cuba,1
Sociedad Cubana de Cirugía,Unión de Informáticos de Cuba,1
Sociedad Cubana de Cirugía,Unión de Escritores y Artistas de Cuba,1
Sociedad Cubana de Cirugía,Unión Nacional de Juristas de Cuba,1
Sociedad Cubana de Cirugía,Unión Nacional de Arquitectos e Ingenieros de la Construcción de Cuba,1
Sociedad Cubana de Cirugía,Sociedad Meteorológica de Cuba,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Sociedad Cubana de Retinosis Pigmentaria,1
Sociedad Cubana de Cirugía,Sociedad Económica Amigos del País,1
Sociedad Cubana de Cirugía,Sociedad Cultural José Martí,1
Sociedad Cubana de Cirugía,Sociedad Cubana para la Promoción de las Fuentes Renovables de Energía y el respeto ambiental,1
Sociedad Cubana de Cirugía,Sociedad Cubana para el Estudio Multidisciplinario de la Sexualidad,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Urología,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Trabajadores Sociales de la Salud,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Toxicología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Reumatología,1
