Source,Target,Weight
ABColombia,ACAT,1
Fruit of the Ariari – Goal,Union of Workers and Employees of Public Services,1
Fruit of the Ariari – Goal,Sovereignty and Nature Collective,1
Fruit of the Ariari – Goal,Social Movement for Life and Defense of the Territory (MOVETE),1
Fruit of the Ariari – Goal,Social Clamor for Peace,1
Fruit of the Ariari – Goal,Single Union of Workers Of Construction Materials (SUTIMAC),1
Fruit of the Ariari – Goal,Rio la Ceiba Civic Committee,1
Fruit of the Ariari – Goal,Regional Assembly of the 2 ANPP,1
Fruit of the Ariari – Goal,Regional Assembly Suroccidente 2 ANPP,1
Fruit of the Ariari – Goal,Regional Assembly Norte de Santander 2 ANPP,1
Fruit of the Ariari – Goal,Regional Assembly Arauca 2 ANPP,1
Fruit of the Ariari – Goal,Putumayo Regional Assembly 2 ANPP,1
Fruit of the Ariari – Goal,Pueblo Camtsa del Alto Putumayo,1
Fruit of the Ariari – Goal,Presbyterian Church,1
Fruit of the Ariari – Goal,Political and Social Movement Of the Centro Oriente,1
Fruit of the Ariari – Goal,"Platform for Human Rights, Democracy and Development (DESCA)",1
Fruit of the Ariari – Goal,Permanent Committee for the Defense of Human Rights (CPDH Boyacá),1
Fruit of the Ariari – Goal,"Subdirectiva USO Orito, Putumayo Subdirective USO (Goal)",1
Fruit of the Ariari – Goal,Union of Workers of Chivor (Sintrachivor/Sintrae),1
GE.18-03745 13,LAWG,1
Fruit of the Ariari – Goal,Union of Workers of ISA (SINTRAISA),1
Fundación Sueca para los Derechos Humanos,Health and Human Rights Info,1
Fundación Sueca para los Derechos Humanos,GE.18-03745 13,1
Fundación Karisma,Privacy International – (United Kingdom of Great Britain and Northern Ireland),1
Fundación Karisma,"Plataforma Colombiana de Derechos Humanos, Democracia y Desarrollo (PCDHDD) – (Colombia)",1
Fundación Karisma,Lutheran World Federation,1
Fundación Karisma,"La Alianza de Organizaciones Sociales y Afines, Organización Nacional Indígena de Colombia (ONIC)",1
Fundación Karisma,JUSTAPAZ,1
Fundación Creciendo Unidos (FCU) y el Servicio Jesuita a Refugiados Colombia (SJR Colombia),Paz y Acción No Violencia (Justapaz),1
Fundación Creciendo Unidos (FCU) y el Servicio Jesuita a Refugiados Colombia (SJR Colombia),Humanidad Vigente Corporación Jurídica,1
Fruit of the Ariari – Goal,"Women’s Force Wayú, Meta Water Table",1
Fruit of the Ariari – Goal,VIVOS vzw BE -Union of Workers of the Energy of Colombia (SINTRAELECOL),1
Fruit of the Ariari – Goal,United Communities of Colombia (COUNCO),1
Fruit of the Ariari – Goal,Unitary Agricultural Union Federation (Fensuagro Boyacá),1
Fruit of the Ariari – Goal,Union of Workers of the Company Cerromatoso S.A. (SINTRACERROMATOSO),1
Fruit of the Ariari – Goal,Union of Workers of the Coal Industry (SINTRACARBÓN),1
Fruit of the Ariari – Goal,Peasants Environmental Association of Tolima,1
Fruit of the Ariari – Goal,Peace and Democracy Foundation,1
Fruit of the Ariari – Goal,Occidental Environmental Belt (COA),1
Fruit of the Ariari – Goal,Network of Universities for Peace Chapter Antioquia/Chocó,1
Fruit of the Ariari – Goal,Gramalote Project,1
Fruit of the Ariari – Goal,"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",1
Forum Syd,Terre des Hommes Suisse – (Belgium),1
Forum Syd,Taula Catalana per la Pau i els Drets Humans a Colòmbia,1
Forum Syd,Swefor,1
Forum Syd,Solidarité Socialiste,1
Forum Syd,Solidar,1
Forum Syd,Rete italiana di Solidarietà,1
Forum Syd,Red Francia Colombia Solidaridades (RFCS),1
Forum Syd,Red Flamenca de Solidaridad con la Comunidad de Paz de San José de Apartadó,1
Forum Syd,Protection International,1
Forum Syd,Plataforma Suiza por Colombia,1
Forum Syd,Peace Brigades International,1
Forum Syd,Pax Christi- Deutsche Sektion e.V,1
Forum Syd,Pachakuti,1
Fruit of the Ariari – Goal,Group of Extractive and Environmental Studies Of Barrancabermeja,1
Fruit of the Ariari – Goal,I Decentralized and Territorial Governments of Colombia (Sintraemsdes),1
Fruit of the Ariari – Goal,IndustriALL Global Union (Industriall),1
Fruit of the Ariari – Goal,National Assembly for Peace -2 ANPP,1
Fruit of the Ariari – Goal,"National Union of Workers of the Chemical, Agrochemical, Gases, Related Branches and Derivatives (Sintrainquigas)",1
Fruit of the Ariari – Goal,National Union of Workers of ISAGEN (SINTRAISAGEN),1
Fruit of the Ariari – Goal,National Union of Workers of Colombia sectional department of Meta,1
Fruit of the Ariari – Goal,National Secretariat of Social Pastoral (Caritas Colombia),1
Fruit of the Ariari – Goal,National Fermentation of Arroceros sectional municipality of Granada (Meta),1
Fruit of the Ariari – Goal,National Energy Mining Coordinator (CORDINAME),1
Fruit of the Ariari – Goal,Municipal Council of Plateaus department of Meta,1
Fruit of the Ariari – Goal,Integration Committee Of the Colombian Massif (MIMA),1
Fruit of the Ariari – Goal,Minga Corporation,1
Fruit of the Ariari – Goal,Minga Bakata Urbana,1
Fruit of the Ariari – Goal,Meta,1
Fruit of the Ariari – Goal,Mesa Pro Defense of the Guaviare Water Resource,1
Fruit of the Ariari – Goal,Magdalena Medio Regional Assembly 2 ANPP,1
Fruit of the Ariari – Goal,Magdalena Medio Peace Program (PDPMM),1
Fundación Sueca para los Derechos Humanos,Iglesia Sueca,1
Fundación Sueca para los Derechos Humanos,International Action for Peace,1
Fundación Sueca para los Derechos Humanos,Kolko – Menschenrechte für Kolumbien e.V.,1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",National Union of Workers of Colombia sectional department of Meta,1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Regional Assembly of the 2 ANPP,1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Regional Assembly Suroccidente 2 ANPP,1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Regional Assembly Norte de Santander 2 ANPP,1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Regional Assembly Arauca 2 ANPP,1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Putumayo Regional Assembly 2 ANPP,1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Pueblo Camtsa del Alto Putumayo,1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Presbyterian Church,1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Political and Social Movement Of the Centro Oriente,1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)","Platform for Human Rights, Democracy and Development (DESCA)",1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Permanent Committee for the Defense of Human Rights (CPDH Boyacá),1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Peasants Environmental Association of Tolima,1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Peace and Democracy Foundation,1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Occidental Environmental Belt (COA),1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Network of Universities for Peace Chapter Antioquia/Chocó,1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)","National Union of Workers of the Chemical, Agrochemical, Gases, Related Branches and Derivatives (Sintrainquigas)",1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Rio la Ceiba Civic Committee,1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Single Union of Workers Of Construction Materials (SUTIMAC),1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Social Clamor for Peace,1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Unitary Agricultural Union Federation (Fensuagro Boyacá),1
GE.18-03745 13,International Action for Peace,1
GE.18-03745 13,Iglesia Sueca,1
GE.18-03745 13,Health and Human Rights Info,1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)","Women’s Force Wayú, Meta Water Table",1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",VIVOS vzw BE -Union of Workers of the Energy of Colombia (SINTRAELECOL),1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",United Communities of Colombia (COUNCO),1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Union of Workers of the Company Cerromatoso S.A. (SINTRACERROMATOSO),1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Social Movement for Life and Defense of the Territory (MOVETE),1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Union of Workers of the Coal Industry (SINTRACARBÓN),1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Union of Workers of ISA (SINTRAISA),1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Union of Workers of Chivor (Sintrachivor/Sintrae),1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Union of Workers and Employees of Public Services,1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)","Subdirectiva USO Orito, Putumayo Subdirective USO (Goal)",1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",Sovereignty and Nature Collective,1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",National Union of Workers of ISAGEN (SINTRAISAGEN),1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",National Secretariat of Social Pastoral (Caritas Colombia),1
Fundación Sueca para los Derechos Humanos,LAWG,1
"GE.18-03745 11 National Union of the Mining Industry, Petrochemical, Agrofuels and Energy (SINTRAMIENÉRTICA)",National Fermentation of Arroceros sectional municipality of Granada (Meta),1
Fundación Sueca para los Derechos Humanos,Solidar,1
Fundación Sueca para los Derechos Humanos,Rete italiana di Solidarietà,1
Fundación Sueca para los Derechos Humanos,Red Francia Colombia Solidaridades (RFCS),1
Fundación Sueca para los Derechos Humanos,Red Flamenca de Solidaridad con la Comunidad de Paz de San José de Apartadó,1
Fundación Sueca para los Derechos Humanos,Protection International,1
Fundación Sueca para los Derechos Humanos,Plataforma Suiza por Colombia,1
Fundación Sueca para los Derechos Humanos,Peace Brigades International,1
Fundación Sueca para los Derechos Humanos,Pax Christi- Deutsche Sektion e.V,1
Fundación Sueca para los Derechos Humanos,Pachakuti,1
Fundación Sueca para los Derechos Humanos,Oxfam,1
Fundación Sueca para los Derechos Humanos,Oficina Internacional Acción Derechos Humanos Colombia,1
Fundación Sueca para los Derechos Humanos,Observatorio por la Autonomía y los Derechos de los Pueblos Indígenas en Colombia (ADPI),1
Fundación Sueca para los Derechos Humanos,OMCT,1
Fundación Sueca para los Derechos Humanos,Lutheran World Federation,1
Fundación Sueca para los Derechos Humanos,Lawyers Rights Watch Canada,1
Fundación Sueca para los Derechos Humanos,Solidarité Socialiste,1
Fundación Sueca para los Derechos Humanos,Swefor,1
