Source,Target,Weight
Advocates for Human Rights,"Autonomous Women’s House Zagreb, Minneapolis (United States of America)",1
B.a.B.e.,Center for Peace Studies,1
Dugine Obitelji,LGBTI CSOs Coalition,1
ERA - LGBTI Equal Rights Association for Western Balkans and Turkey,"LGBT Centar Split, Belgrade (Serbia)",1
ERA - LGBTI Equal Rights Association for Western Balkans and Turkey,LGBTI CSOs Coalition,1
Human Rights House Zagreb,Rainbow Families Croatia,1
Human Rights House Zagreb,Roma Youth Organization Croatia,1
Human Rights House Zagreb,Serb National Council,1
Human Rights House Zagreb,Victims and Witness Support Service Croatia,1
Human Rights House Zagreb,Youth Initiative for Human Rights – Croatia,1
Human Rights House Zagreb,"Zagreb Pride, Zagreb (Croatia)",1
"Inclusion European Network on Statelessness, Eindhoven (Netherlands)",Institute on Statelessness and Inclusion,1
"Inclusion European Network on Statelessness, Eindhoven (Netherlands)",The Civil Rights Project SisakInstitute on Statelessness,1
Institute on Statelessness and Inclusion,The Civil Rights Project SisakInstitute on Statelessness,1
"LGBT Centar Split, Belgrade (Serbia)",LGBTI CSOs Coalition,1
Rainbow Families Croatia,Roma Youth Organization Croatia,1
Rainbow Families Croatia,Serb National Council,1
Rainbow Families Croatia,Victims and Witness Support Service Croatia,1
Rainbow Families Croatia,Youth Initiative for Human Rights – Croatia,1
Rainbow Families Croatia,"Zagreb Pride, Zagreb (Croatia)",1
Roma Youth Organization Croatia,Serb National Council,1
Roma Youth Organization Croatia,Victims and Witness Support Service Croatia,1
Roma Youth Organization Croatia,Youth Initiative for Human Rights – Croatia,1
Roma Youth Organization Croatia,"Zagreb Pride, Zagreb (Croatia)",1
Serb National Council,Victims and Witness Support Service Croatia,1
Serb National Council,Youth Initiative for Human Rights – Croatia,1
Serb National Council,"Zagreb Pride, Zagreb (Croatia)",1
Victims and Witness Support Service Croatia,Youth Initiative for Human Rights – Croatia,1
Victims and Witness Support Service Croatia,"Zagreb Pride, Zagreb (Croatia)",1
Dugine Obitelji,"LGBT Centar Split, Belgrade (Serbia)",1
Dugine Obitelji,ERA - LGBTI Equal Rights Association for Western Balkans and Turkey,1
Documenta – Center for Dealing with the Past,"Zagreb Pride, Zagreb (Croatia)",1
Center for Peace Studies,Human Rights House Zagreb,1
B.a.B.e.,Documenta – Center for Dealing with the Past,1
B.a.B.e.,Human Rights House Zagreb,1
B.a.B.e.,Rainbow Families Croatia,1
B.a.B.e.,Roma Youth Organization Croatia,1
B.a.B.e.,Serb National Council,1
B.a.B.e.,Victims and Witness Support Service Croatia,1
B.a.B.e.,Youth Initiative for Human Rights – Croatia,1
B.a.B.e.,"Zagreb Pride, Zagreb (Croatia)",1
"Be active. Be emancipated. B.a.B.e Croatia, Ottawa (Canada)",The Sexual Rights Initiative,1
"CPS), Geneva (Switzerland)",Centre for Peace Studies (CMS,1
"CPS), Geneva (Switzerland)",Global Detention Project,1
Center for Peace Studies,Documenta – Center for Dealing with the Past,1
Center for Peace Studies,Rainbow Families Croatia,1
Documenta – Center for Dealing with the Past,Youth Initiative for Human Rights – Croatia,1
Center for Peace Studies,Roma Youth Organization Croatia,1
Center for Peace Studies,Serb National Council,1
Center for Peace Studies,Victims and Witness Support Service Croatia,1
Center for Peace Studies,Youth Initiative for Human Rights – Croatia,1
Center for Peace Studies,"Zagreb Pride, Zagreb (Croatia)",1
Centre for Peace Studies (CMS,Global Detention Project,1
Combatting Right-wing Extremism in Croatia,"The Advocates for Human Rights Autonomous Women’s House Zagreb, Minneapolis (United States of America)",1
Documenta – Center for Dealing with the Past,Human Rights House Zagreb,1
Documenta – Center for Dealing with the Past,Rainbow Families Croatia,1
Documenta – Center for Dealing with the Past,Roma Youth Organization Croatia,1
Documenta – Center for Dealing with the Past,Serb National Council,1
Documenta – Center for Dealing with the Past,Victims and Witness Support Service Croatia,1
Youth Initiative for Human Rights – Croatia,"Zagreb Pride, Zagreb (Croatia)",1
