Source,Target,Weight
AFEJUCO (Association des Femmes Juristes Congolaises),AMA (Afia Mama),1
AFEJUCO (Association des Femmes Juristes Congolaises),CAFCO (Cadre permanent de Concentration de la Femme Congolaise),1
Coalition mondiale contre la peine de mort,"Ensemble contre la peine de mort, Culture pour la paix et la justice (CPJ)",1
Coalition mondiale contre la peine de mort,"The Advocates for Human Rights, Montreuil, France",1
"Ensemble contre la peine de mort, Culture pour la paix et la justice (CPJ)","The Advocates for Human Rights, Montreuil, France",1
FMJC (Femmes des Médias pour la Justice au Congo),FODJEC (Forum pour les Droits des Jeunes et Enfants au Congo),1
FMJC (Femmes des Médias pour la Justice au Congo),RAC (Restoration African Center),1
FMJC (Femmes des Médias pour la Justice au Congo),"SHALUPE FONDATION, Kinshasa, DRC",1
FMJC (Femmes des Médias pour la Justice au Congo),"Synergie des organisations de la société civile Congolaise pour les droits GE.19-02691 11 des femme, AFEAC (Association des Femmes Avocates de la RD Congo)",1
FMJC (Femmes des Médias pour la Justice au Congo),WILPF/RDC (Women International League for Peace and Freedom),1
FODJEC (Forum pour les Droits des Jeunes et Enfants au Congo),RAC (Restoration African Center),1
FODJEC (Forum pour les Droits des Jeunes et Enfants au Congo),"SHALUPE FONDATION, Kinshasa, DRC",1
FODJEC (Forum pour les Droits des Jeunes et Enfants au Congo),"Synergie des organisations de la société civile Congolaise pour les droits GE.19-02691 11 des femme, AFEAC (Association des Femmes Avocates de la RD Congo)",1
FODJEC (Forum pour les Droits des Jeunes et Enfants au Congo),WILPF/RDC (Women International League for Peace and Freedom),1
RAC (Restoration African Center),"SHALUPE FONDATION, Kinshasa, DRC",1
RAC (Restoration African Center),"Synergie des organisations de la société civile Congolaise pour les droits GE.19-02691 11 des femme, AFEAC (Association des Femmes Avocates de la RD Congo)",1
RAC (Restoration African Center),WILPF/RDC (Women International League for Peace and Freedom),1
"SHALUPE FONDATION, Kinshasa, DRC","Synergie des organisations de la société civile Congolaise pour les droits GE.19-02691 11 des femme, AFEAC (Association des Femmes Avocates de la RD Congo)",1
"SHALUPE FONDATION, Kinshasa, DRC",WILPF/RDC (Women International League for Peace and Freedom),1
CAFCO (Cadre permanent de Concentration de la Femme Congolaise),WILPF/RDC (Women International League for Peace and Freedom),1
CAFCO (Cadre permanent de Concentration de la Femme Congolaise),"Synergie des organisations de la société civile Congolaise pour les droits GE.19-02691 11 des femme, AFEAC (Association des Femmes Avocates de la RD Congo)",1
CAFCO (Cadre permanent de Concentration de la Femme Congolaise),"SHALUPE FONDATION, Kinshasa, DRC",1
AMA (Afia Mama),FMJC (Femmes des Médias pour la Justice au Congo),1
AFEJUCO (Association des Femmes Juristes Congolaises),FMJC (Femmes des Médias pour la Justice au Congo),1
AFEJUCO (Association des Femmes Juristes Congolaises),FODJEC (Forum pour les Droits des Jeunes et Enfants au Congo),1
AFEJUCO (Association des Femmes Juristes Congolaises),RAC (Restoration African Center),1
AFEJUCO (Association des Femmes Juristes Congolaises),"SHALUPE FONDATION, Kinshasa, DRC",1
AFEJUCO (Association des Femmes Juristes Congolaises),"Synergie des organisations de la société civile Congolaise pour les droits GE.19-02691 11 des femme, AFEAC (Association des Femmes Avocates de la RD Congo)",1
AFEJUCO (Association des Femmes Juristes Congolaises),WILPF/RDC (Women International League for Peace and Freedom),1
AMA (Afia Mama),CAFCO (Cadre permanent de Concentration de la Femme Congolaise),1
AMA (Afia Mama),FODJEC (Forum pour les Droits des Jeunes et Enfants au Congo),1
CAFCO (Cadre permanent de Concentration de la Femme Congolaise),RAC (Restoration African Center),1
AMA (Afia Mama),RAC (Restoration African Center),1
AMA (Afia Mama),"SHALUPE FONDATION, Kinshasa, DRC",1
AMA (Afia Mama),"Synergie des organisations de la société civile Congolaise pour les droits GE.19-02691 11 des femme, AFEAC (Association des Femmes Avocates de la RD Congo)",1
AMA (Afia Mama),WILPF/RDC (Women International League for Peace and Freedom),1
