Source,Target,Weight
Confederación de Nacionalidades Indígenas Amazónicas del Ecuador — CONFENIAE (Ecuador),Confederación de Nacionalidades Indígenas del Ecuador — CONAIE (Ecuador),3
Cucomitae (Ecuador),Fundación Dayuma (Ecuador),1
"Fundación Andina para la Observación y Estudio de Medios — Fundamedios, (Ecuador)",World Alliance for Citizen Participation — CIVICUS (South Africa),1
"Fundación Andina para la Observación y Estudio de Medios — Fundamedios, (Ecuador)",Fundación Ciudadanía y Desarrollo (Ecuador),1
Fundación Andina para la Observación y Estudio de Medios — Fundamedios (Ecuador),Fundación Ciudadanía y Desarrollo (Ecuador),1
Fundación Alejandro Labaka (Ecuador),Nacionalidad Waorani del Ecuador — NAWE (Ecuador),1
Fundaciòn Mil Hojas (Ecuador),"Usuarios Digitales, (Ecuador)",1
Ecuador Decide No- TLC (Ecuador),Franciscans International (Switzerland),1
Cucomitae (Ecuador),Unión Nacional de Educadores — UNE (Ecuador),1
Cucomitae (Ecuador),"Plataforma Interamericana de Derechos Humanos, Democracia y Desarrollo (Ecuador)",1
Coordinadora de Organizaciones de Jubilados del Ecuador — CORJUPE (Ecuador),Frente de Extrabajadores del IESS (Ecuador),1
Confederación de Nacionalidades Indígenas Amazónicas del Ecuador — CONFENIAE (Ecuador),Nacionalidad Achuar del Ecuador — NAE (Ecuador),1
Confederación de Nacionalidades Indígenas del Ecuador — CONAIE (Ecuador),Pueblo Kichwa de Sarayaku (Ecuador),1
Confederación de Nacionalidades Indígenas del Ecuador — CONAIE (Ecuador),"Nación Sapara del Ecuador — NASE (Ecuador), Terra Mater (Ecuador), Centro de Derechos Humanos de la Pontificia Universidad Católica del Ecuador — CDH- PUCE (Ecuador)",1
Confederación de Nacionalidades Indígenas del Ecuador — CONAIE (Ecuador),Nacionalidad Achuar del Ecuador — NAE (Ecuador),1
Confederación de Nacionalidades Indígenas del Ecuador — CONAIE (Ecuador),Fundaciòn El Churo (Ecuador),1
Confederación de Nacionalidades Indígenas del Ecuador — CONAIE (Ecuador),Franciscans International (Switzerland),1
Confederación de Nacionalidades Indígenas del Ecuador — CONAIE (Ecuador),Ecuador Decide No- TLC (Ecuador),1
Confederación de Nacionalidades Indígenas Amazónicas del Ecuador — CONFENIAE (Ecuador),Pueblo Kichwa de Sarayaku (Ecuador),1
Confederación de Nacionalidades Indígenas Amazónicas del Ecuador — CONFENIAE (Ecuador),"Nación Sapara del Ecuador — NASE (Ecuador), Terra Mater (Ecuador), Centro de Derechos Humanos de la Pontificia Universidad Católica del Ecuador — CDH- PUCE (Ecuador)",1
Fundación Ciudadanía y Desarrollo (Ecuador),World Alliance for Citizen Participation — CIVICUS (South Africa),1
12 GE.17-01937,"Observatorio de Derechos y Justicia (Ecuador), Colegio de Abogados de Pichincha (Ecuador)",1
Fundación Dayuma (Ecuador),Unión Nacional de Educadores — UNE (Ecuador),1
Grupo Rescate Escolar (Ecuador),Matrimonio Civil Igualitario (Ecuador),1
"Plataforma Interamericana de Derechos Humanos, Democracia y Desarrollo (Ecuador)",Unión Nacional de Educadores — UNE (Ecuador),1
Organización Ecuatoriana de Mujeres Lesbianas — OEML (Ecuador),Todo Mejora Ecuador (Ecuador),1
"Observatorio Ecuatoriano de Derechos Humanos, Colectivos y Minorías (Ecuador)",Todo Mejora Ecuador (Ecuador),1
"Observatorio Ecuatoriano de Derechos Humanos, Colectivos y Minorías (Ecuador)",Organización Ecuatoriana de Mujeres Lesbianas — OEML (Ecuador),1
Observatorio Ciudadano Electoral (Ecuador),and Corporación Participación Ciudadana (Ecuador),1
Nosotras por la Democracia (Ecuador),Plataforma por la Defensa de la Democracia y los Derechos Humanos en Ecuador (Ecuador),1
"Nación Sapara del Ecuador — NASE (Ecuador), Terra Mater (Ecuador), Centro de Derechos Humanos de la Pontificia Universidad Católica del Ecuador — CDH- PUCE (Ecuador)",Pueblo Kichwa de Sarayaku (Ecuador),1
Nacionalidad Achuar del Ecuador — NAE (Ecuador),Pueblo Kichwa de Sarayaku (Ecuador),1
Nacionalidad Achuar del Ecuador — NAE (Ecuador),"Nación Sapara del Ecuador — NASE (Ecuador), Terra Mater (Ecuador), Centro de Derechos Humanos de la Pontificia Universidad Católica del Ecuador — CDH- PUCE (Ecuador)",1
Matrimonio Civil Igualitario (Ecuador),Todo Mejora Ecuador (Ecuador),1
Matrimonio Civil Igualitario (Ecuador),Organización Ecuatoriana de Mujeres Lesbianas — OEML (Ecuador),1
Matrimonio Civil Igualitario (Ecuador),"Observatorio Ecuatoriano de Derechos Humanos, Colectivos y Minorías (Ecuador)",1
