Source,Target,Weight
(EWB),Abnaa El-Mahrousa for Development and Participation (El- Mahrousa),1
Justice Association for Development and Human Rights,"Partnership Network International (PNI), HOMENA, Participatory Development Solutions (PDS), Abnaa El-Mahrousa For Development And Participation (El-MAHROUSA), Mashreq Foundation for Development and Population, DOING. In collaboration with: Egyptians Without Borders Foundation for Development",1
Justice Association for Development and Human Rights,Upper Egypt Development Association,1
Justice Association for Development and Human Rights,The Social Association for Media Professionals,1
Justice Association for Development and Human Rights,The Egyptian Youth Council,1
Justice Association for Development and Human Rights,The Egyptian Arab Association for Cooperation and Sustainable Development,1
Justice Association for Development and Human Rights,The Arab Centre for Human Rights,1
Justice Association for Development and Human Rights,Shabab Alkheir Association for Development and Services,1
Justice Association for Development and Human Rights,Qadroun for Comprehensive Development,1
Justice Association for Development and Human Rights,Mehna Mostakbal Association for Development,1
(EWB),CEDAW Association For Development And Human Rights,1
Justice Association for Development and Human Rights,"Local Community Development Association, Corsier (Switzerland)",1
Horas Association for Development and Training,Women for Development Association,1
Horas Association for Development and Training,Voice of Youth for Training and Development,1
Horas Association for Development and Training,Upper Egypt Development Association,1
Horas Association for Development and Training,The Social Association for Media Professionals,1
Horas Association for Development and Training,The Egyptian Youth Council,1
Horas Association for Development and Training,The Egyptian Arab Association for Cooperation and Sustainable Development,1
Justice Association for Development and Human Rights,Voice of Youth for Training and Development,1
Justice Association for Development and Human Rights,Women for Development Association,1
"Local Community Development Association, Corsier (Switzerland)",Mehna Mostakbal Association for Development,1
"Local Community Development Association, Corsier (Switzerland)","Partnership Network International (PNI), HOMENA, Participatory Development Solutions (PDS), Abnaa El-Mahrousa For Development And Participation (El-MAHROUSA), Mashreq Foundation for Development and Population, DOING. In collaboration with: Egyptians Without Borders Foundation for Development",1
Mashreq Foundation For Development And Population,The Egyptian Youth Council,1
Mashreq Foundation For Development And Population,Shabab Alkheir Association For Development And Services,1
Mashreq Foundation For Development And Population,Qadroun For Comprehensive Development,1
Mashreq Foundation For Development And Population,Partnership Network International (PNI),1
Mashreq Foundation For Development And Population,Participatory Developmen Solutions (PDS),1
Mashreq Foundation For Development And Population,Mehna Mostakbal Association For Development,1
"Local Community Development Association, Corsier (Switzerland)",Women for Development Association,1
"Local Community Development Association, Corsier (Switzerland)",Voice of Youth for Training and Development,1
"Local Community Development Association, Corsier (Switzerland)",Upper Egypt Development Association,1
"Local Community Development Association, Corsier (Switzerland)",The Social Association for Media Professionals,1
"Local Community Development Association, Corsier (Switzerland)",The Egyptian Youth Council,1
"Local Community Development Association, Corsier (Switzerland)",The Egyptian Arab Association for Cooperation and Sustainable Development,1
"Local Community Development Association, Corsier (Switzerland)",The Arab Centre for Human Rights,1
"Local Community Development Association, Corsier (Switzerland)",Shabab Alkheir Association for Development and Services,1
"Local Community Development Association, Corsier (Switzerland)",Qadroun for Comprehensive Development,1
Horas Association for Development and Training,The Arab Centre for Human Rights,1
Horas Association for Development and Training,Shabab Alkheir Association for Development and Services,1
Horas Association for Development and Training,Qadroun for Comprehensive Development,1
Herak Association For Development,"Women For Development Association, Cairo (Egypt)",1
Herak Association For Development,Shabab Alkheir Association For Development And Services,1
Herak Association For Development,Qadroun For Comprehensive Development,1
Herak Association For Development,Partnership Network International (PNI),1
Herak Association For Development,Participatory Developmen Solutions (PDS),1
Herak Association For Development,Mehna Mostakbal Association For Development,1
Herak Association For Development,Mashreq Foundation For Development And Population,1
Elhadaf Association for Human Rights,Women for Development Association,1
Elhadaf Association for Human Rights,Voice of Youth for Training and Development,1
Elhadaf Association for Human Rights,Upper Egypt Development Association,1
Elhadaf Association for Human Rights,The Social Association for Media Professionals,1
Elhadaf Association for Human Rights,The Egyptian Youth Council,1
Elhadaf Association for Human Rights,The Egyptian Arab Association for Cooperation and Sustainable Development,1
Elhadaf Association for Human Rights,The Arab Centre for Human Rights,1
Elhadaf Association for Human Rights,Shabab Alkheir Association for Development and Services,1
Elhadaf Association for Human Rights,Qadroun for Comprehensive Development,1
Herak Association For Development,The Egyptian Youth Council,1
Herak Association for Development,Horas Association for Development and Training,1
Horas Association for Development and Training,"Partnership Network International (PNI), HOMENA, Participatory Development Solutions (PDS), Abnaa El-Mahrousa For Development And Participation (El-MAHROUSA), Mashreq Foundation for Development and Population, DOING. In collaboration with: Egyptians Without Borders Foundation for Development",1
Herak Association for Development,Justice Association for Development and Human Rights,1
Horas Association for Development and Training,Mehna Mostakbal Association for Development,1
