Source,Target,Weight
"Agrupación Ciudadana (United States of America). 2 PDDH, para. 2. 3 PDDH, para.4. 4 PDDH, para. 5. 5 Office of the Human Rights Advocate, para.6. 6 Office of the Human Rights Advocate, paras. 7 and 8: International Convention for the Protection of All Persons from Enforced Disappearance and the Optional Protocol to the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",Centre for Reproductive Rights,1
Centre for Reproductive Rights,"the Inter-American Convention on Forced Disappearances, and the Convention on the Non-Applicability of Statutory Limitations to War Crimes and Crimes against Humanity. 7 Office of the Human Rights Advocate, para. 12. 8 Office of the Human Rights Advocate, para.15. 9 Office of the Human Rights Advocate, para. 31. 10 Office of the Human Rights Advocate, para. 31. 11 Office of the Human Rights Advocate, para. 33. 12 Office of the Human Rights Advocate, para. 35. 13 Office of the Human Rights Advocate, para.37. 14 Office of the Human Rights Advocate, para. 13. 15 Office of the Human Rights Advocate, para. 40. 16 Office of the Human Rights Advocate, paras. 18 and 19. 17 Office of the Human Rights Advocate, para.29. 18 Office of the Human Rights Advocate., paras. 21–22. 19 Office of the Human Rights Advocate, para. 25. 20 Office of the Human Rights Advocate, para.26. 21 Office of the Human Rights Advocate, para.32",1
Franciscans International (FI),Red Centroamericana por la Defensa de las Aguas transfronterizas-El Salvador (Red-CAT) (Switzerland),1
FUNDAMAR IIMA – Istituto Internazionale Maria Ausiliatrice,"VIDES International – International GE.19-14212 11 Volunteerism Organization for Women, Education, Development (Switzerland)",1
FUNDAMAR IIMA – Istituto Internazionale Maria Ausiliatrice,"Fundación Marista por la Solidaridad Internacional, FMSI",1
FUNDAMAR IIMA – Istituto Internazionale Maria Ausiliatrice,Fundación Marista,1
Cristosal,Servicio Social Pasionista (United Kingdom of Great Britain and Northern Ireland),1
Cristosal,Observatorio de la Universidad Centroamericana de El Salvador,1
Cristosal,International Bar Association’s Human Rights Institute,1
Cristosal,Instituto de Derechos Humanos de la Universidad Centroamericana de El Salvador Participating: American Friends Service Committee,1
Cristosal,Fundación para la Justicia y el Estado Democrático de Derecho,1
Cristosal,Fundación para el Debido Proceso,1
Cristosal,Fundación de Estudios para la Aplicación del Derecho,1
Centre for Reproductive Rights,Optional Protocol to the Convention on the Elimination of All Forms of Discrimination against Women,1
"Agrupación Ciudadana (United States of America). 2 PDDH, para. 2. 3 PDDH, para.4. 4 PDDH, para. 5. 5 Office of the Human Rights Advocate, para.6. 6 Office of the Human Rights Advocate, paras. 7 and 8: International Convention for the Protection of All Persons from Enforced Disappearance and the Optional Protocol to the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",Optional Protocol to the Convention on the Elimination of All Forms of Discrimination against Women,1
COMCAVIS,Servicio Social Pasionista (United Kingdom of Great Britain and Northern Ireland),1
COMCAVIS,Observatorio de la Universidad Centroamericana de El Salvador,1
COMCAVIS,International Bar Association’s Human Rights Institute,1
COMCAVIS,Instituto de Derechos Humanos de la Universidad Centroamericana de El Salvador Participating: American Friends Service Committee,1
COMCAVIS,Fundación para la Justicia y el Estado Democrático de Derecho,1
COMCAVIS,Fundación para el Debido Proceso,1
COMCAVIS,Fundación de Estudios para la Aplicación del Derecho,1
COMCAVIS,Cristosal,1
CIVICUS: Alianza Mundial para la Participación Ciudadana,FESPAD: Fundación de Estudios para la Aplicación del Derecho (South Africa),1
CEMUJER,Servicio Social Pasionista (United Kingdom of Great Britain and Northern Ireland),1
CEMUJER,Observatorio de la Universidad Centroamericana de El Salvador,1
Fundación Marista,"Fundación Marista por la Solidaridad Internacional, FMSI",1
Fundación Marista,"VIDES International – International GE.19-14212 11 Volunteerism Organization for Women, Education, Development (Switzerland)",1
"Fundación Marista por la Solidaridad Internacional, FMSI","VIDES International – International GE.19-14212 11 Volunteerism Organization for Women, Education, Development (Switzerland)",1
