Source,Target,Weight
"ADISI, AIDS-Free World",APDHE,1
Committee to Protect Journalists (CPJ),ONG Cooperación y Desarrollo,1
"CIVICUS: World Alliance for Citizen Participation, Johannesburg (South Africa)",Committee to Protect Journalists (CPJ),1
"CIVICUS: World Alliance for Citizen Participation, Johannesburg (South Africa)",EG Justice,1
"CIVICUS: World Alliance for Citizen Participation, Johannesburg (South Africa)",ONG Cooperación y Desarrollo,1
Centro de Estudios e Iniciativas para el Desarrollo (CEID),Committee to Protect Journalists (CPJ),1
Centro de Estudios e Iniciativas para el Desarrollo (CEID),EG Justice,1
Centro de Estudios e Iniciativas para el Desarrollo (CEID),ONG Cooperación y Desarrollo,1
Committee to Protect Journalists (CPJ),EG Justice,1
EG Justice,"Igualdad y Derechos Humanos de la Mujer em África (IDHMA), Malabo (Equatorial Guinea)",1
"ADISI, AIDS-Free World","ASODEGUE, Madrid (Spain)",1
EG Justice,ONG Cooperación y Desarrollo,1
EG Justice,SEJOF,1
EG Justice,and NEWSeta,1
EG Justice,la Asociación Pro Derechos Humanos de España (APDHE),1
"EG Justice, Washington DC (United States of America)",and the Center for Equatoguinean Studies (CESGE),1
"Igualdad y Derechos Humanos de la Mujer em África (IDHMA), Malabo (Equatorial Guinea)",SEJOF,1
"Igualdad y Derechos Humanos de la Mujer em África (IDHMA), Malabo (Equatorial Guinea)",la Asociación Pro Derechos Humanos de España (APDHE),1
"CIVICUS: World Alliance for Citizen Participation, Johannesburg (South Africa)",Centro de Estudios e Iniciativas para el Desarrollo (CEID),1
CESGE,and NEWSeta,1
CESGE,EG Justice,1
CEID-GE,and NEWSeta,1
"ADISI, AIDS-Free World",CEID-GE,1
"ADISI, AIDS-Free World",CESGE,1
"ADISI, AIDS-Free World",EG Justice,1
"ADISI, AIDS-Free World",and NEWSeta,1
APDHE,"ASODEGUE, Madrid (Spain)",1
APDHE,CEID-GE,1
APDHE,CESGE,1
APDHE,EG Justice,1
APDHE,and NEWSeta,1
"ASODEGUE, Madrid (Spain)",CEID-GE,1
"ASODEGUE, Madrid (Spain)",CESGE,1
"ASODEGUE, Madrid (Spain)",EG Justice,1
"ASODEGUE, Madrid (Spain)",and NEWSeta,1
CEID-GE,CESGE,1
CEID-GE,EG Justice,1
SEJOF,la Asociación Pro Derechos Humanos de España (APDHE),1
