Source,Target,Weight
"Centre for Global Nonkilling, Geneva, Switzerland","Conscience and Peace Tax International, London, United Kingdom of Great Britain and Northern Ireland",1
"See also Article 19, para. 7. Article 19 made recommendations (para. 11)",paras. viii and ix,1
and Release Eritrea (Joint Submission 1),para. 8 Article 19 made recommendations (para. 11),1
and Release Eritrea (Joint Submission 1),"p. 7. 22 For the relevant recommendations, see A/HRC/26/13, para. 122.198. 23 MAAT, p. 3",1
and Release Eritrea (Joint Submission 1),p. 4. 4 Article 19,1
"and RSF- RWB, p. 3.) 9 Article 19, para. 7, referring to A/HRC/26/13, para. 122.72 (Netherlands), para. 122.77 (Portugal), para. 122.78 (Tunisia), para. 122.80 (Germany), para. 122.83 (Latvia), para. 122.84 (Somalia), para. 122.85 (Uruguay), para. 122.86 (Republic of Korea), para. 122.87 (Ireland), para. 122.88 (Portugal), para. 122.89 (Czech Republic), para. 122.90 (Brazil), para. 122.91 (Norway), para. 122.92 (Romania), para. 122.93 (South Sudan), para. 122.94 (Togo), para. 122.95 (Italy), para. 122.96. (Montenegro), para. 122.97 (Sweden), para. 122.99 (Portugal), para.122.100. (Namibia), para. 122.101 (France), para. 122.102 (Australia), para. 122.103 (Botswana), para. 122.104 (Belgium) and para 122.105 (Namibia)","read together with A/HRC/26/13/Add.1. 10 ICAN, p. 1. ICAN made a recommendation (p. 1)",1
"and RSF- RWB, p. 3.) 9 Article 19, para. 7, referring to A/HRC/26/13, para. 122.72 (Netherlands), para. 122.77 (Portugal), para. 122.78 (Tunisia), para. 122.80 (Germany), para. 122.83 (Latvia), para. 122.84 (Somalia), para. 122.85 (Uruguay), para. 122.86 (Republic of Korea), para. 122.87 (Ireland), para. 122.88 (Portugal), para. 122.89 (Czech Republic), para. 122.90 (Brazil), para. 122.91 (Norway), para. 122.92 (Romania), para. 122.93 (South Sudan), para. 122.94 (Togo), para. 122.95 (Italy), para. 122.96. (Montenegro), para. 122.97 (Sweden), para. 122.99 (Portugal), para.122.100. (Namibia), para. 122.101 (France), para. 122.102 (Australia), para. 122.103 (Botswana), para. 122.104 (Belgium) and para 122.105 (Namibia)",para. 5.5,1
"See also HRW, p. 2. HRW made recommendations (p. 3). 20 HRW, p. 3. See also IFOR, pp. 1-2",pp. 4-5,1
"See also HRW, p. 2. HRW made recommendations (p. 3). 20 HRW, p. 3. See also IFOR, pp. 1-2",para. 8 Article 19 made recommendations (para. 11),1
"See also HRW, p. 2. HRW made recommendations (p. 3). 20 HRW, p. 3. See also IFOR, pp. 1-2","p. 7. 22 For the relevant recommendations, see A/HRC/26/13, para. 122.198. 23 MAAT, p. 3",1
