Source,Target,Weight
"Ethiopian Lawyers Association, Addis Ababa, Ethiopia","Ethiopian Young Lawyers Association, Addis Ababa, Ethiopia",4
"Ethiopian Young Lawyers Association, Addis Ababa, Ethiopia","Transparency Ethiopia, Addis Ababa, Ethiopia",3
"Ethiopian Lawyers Association, Addis Ababa, Ethiopia","Transparency Ethiopia, Addis Ababa, Ethiopia",3
"Ethiopian Lawyers Association, Addis Ababa, Ethiopia","Sara Justice from All, Addis Ababa, Ethiopia",2
"Network of Ethiopian Women’s Association, Addis Ababa, Ethiopia","Sara Justice from All, Addis Ababa, Ethiopia",2
"Ethiopian National Association for the Blind, Addis Ababa, Ethiopia","Transparency Ethiopia, Addis Ababa, Ethiopia",2
"Ethiopian Human Rights Council, Addis Ababa, Ethiopia","Ethiopian Young Lawyers Association, Addis Ababa, Ethiopia",2
"Ethiopian National Association for the Blind, Addis Ababa, Ethiopia","Vision Ethiopian Congress for Democracy, Addis Ababa, Ethiopia",2
"Ethiopian Human Rights Council, Addis Ababa, Ethiopia","Ethiopian Lawyers Association, Addis Ababa, Ethiopia",2
"Ethiopian Women Lawyers Association, Addis Ababa, Ethiopia","Ethiopian Young Lawyers Association, Addis Ababa, Ethiopia",2
"Network of Ethiopian Women’s Association, Addis Ababa, Ethiopia","Transparency Ethiopia, Addis Ababa, Ethiopia",2
"Ethiopian Women Lawyers Association, Addis Ababa, Ethiopia","Network of Ethiopian Women’s Association, Addis Ababa, Ethiopia",2
"Sara Justice from All, Addis Ababa, Ethiopia","Transparency Ethiopia, Addis Ababa, Ethiopia",2
"Ethiopian Women Lawyers Association, Addis Ababa, Ethiopia","Sara Justice from All, Addis Ababa, Ethiopia",2
"Ethiopian Women Lawyers Association, Addis Ababa, Ethiopia","Transparency Ethiopia, Addis Ababa, Ethiopia",2
"Consortium of Ethiopian Rights Organizations, Addis Ababa, Ethiopia","Ethiopian National Association for the Blind, Addis Ababa, Ethiopia",2
"Ethiopian Young Lawyers Association, Addis Ababa, Ethiopia","Network of Ethiopian Women’s Association, Addis Ababa, Ethiopia",2
"Ethiopian Young Lawyers Association, Addis Ababa, Ethiopia","Vision Ethiopian Congress for Democracy, Addis Ababa, Ethiopia",2
"Ethiopian Human Rights Council, Addis Ababa, Ethiopia","Transparency Ethiopia, Addis Ababa, Ethiopia",2
"Ethiopian Young Lawyers Association, Addis Ababa, Ethiopia","Sara Justice from All, Addis Ababa, Ethiopia",2
"Ethiopian Lawyers Association, Addis Ababa, Ethiopia","Network of Ethiopian Women’s Association, Addis Ababa, Ethiopia",2
"Ethiopian Lawyers Association, Addis Ababa, Ethiopia","Vision Ethiopian Congress for Democracy, Addis Ababa, Ethiopia",2
"Transparency Ethiopia, Addis Ababa, Ethiopia","Vision Ethiopian Congress for Democracy, Addis Ababa, Ethiopia",2
"Ethiopian National Association for the Blind, Addis Ababa, Ethiopia","Ethiopian Young Lawyers Association, Addis Ababa, Ethiopia",2
"Ethiopian Lawyers Association, Addis Ababa, Ethiopia","Ethiopian Women Lawyers Association, Addis Ababa, Ethiopia",2
"Ethiopian Lawyers Association, Addis Ababa, Ethiopia","Ethiopian National Association for the Blind, Addis Ababa, Ethiopia",2
"Ethiopian Women Lawyers Association, Addis Ababa, Ethiopia","and Vision Ethiopian Congress for Democracy, Addis Ababa, Ethiopia (Joint Submission 11)",1
"Ethiopian Women Lawyers Association, Addis Ababa, Ethiopia","Vision Ethiopian Congress for Democracy, Addis Ababa, Ethiopia",1
"Ethiopian Women Lawyers Association, Addis Ababa, Ethiopia","and Advocates Ethiopia, Addis Ababa, Ethiopia",1
