Source,Target,Weight
"Fiji Women’s Rights Movement (Suva, Fiji)","Haus of Khameleon (Suva, Fiji)",2
"Haus of Khameleon (Suva, Fiji)","Rainbow Pride Foundation (Suva, Fiji)",2
"Citizens’ Constitutional Forum (Suva, Fiji)","Fiji Women’s Rights Movement (Suva, Fiji)",2
"Fiji Women’s Crisis Centre (Suva, Fiji)","Rainbow Pride Foundation (Suva, Fiji)",2
"Fiji Women’s Crisis Centre (Suva, Fiji)","Fiji Women’s Rights Movement (Suva, Fiji)",2
"Fiji Women’s Crisis Centre (Suva, Fiji)","Haus of Khameleon (Suva, Fiji)",2
"Fiji Women’s Rights Movement (Suva, Fiji)","Rainbow Pride Foundation (Suva, Fiji)",2
"Bua Urban Youth (Suva, Fiji)","Citizens Constitutional Forum (Suva, Fiji)",1
"Fiji Women’s Crisis Centre (Suva, Fiji)","National Union of Factory and Commercial Workers (Suva, Fiji)",1
"Fiji Women’s Rights Movement (Suva, Fiji)","National Union of Factory and Commercial Workers (Suva, Fiji)",1
"Fiji Women’s Rights Movement (Suva, Fiji)","Medical Services Pacific (Suva, Fiji)",1
"Fiji Women’s Rights Movement (Suva, Fiji)","Interfaith Search Fiji (Suva, Fiji)",1
"Fiji Women’s Crisis Centre (Suva, Fiji)","Youth Champs for Mental Health (Suva, Fiji)",1
"Fiji Women’s Crisis Centre (Suva, Fiji)","Save the Children Fiji (Suva, Fiji)",1
"Fiji Women’s Crisis Centre (Suva, Fiji)","Reproductive & Family Health Association of Fiji (Suva, Fiji)",1
"Fiji Women’s Crisis Centre (Suva, Fiji)","Interfaith Search Fiji (Suva, Fiji)",1
"Fiji Women’s Crisis Centre (Suva, Fiji)","Medical Services Pacific (Suva, Fiji)",1
"Fiji Trades Union Congress (Suva, Fiji)","Save the Children Fiji (Suva, Fiji)",1
"Fiji Trades Union Congress (Suva, Fiji)","Rainbow Pride Foundation (Suva, Fiji)",1
"Fiji Trades Union Congress (Suva, Fiji)","Haus of Khameleon (Suva, Fiji)",1
"Fiji Trades Union Congress (Suva, Fiji)","Fiji Women’s Rights Movement (Suva, Fiji)",1
"Fiji Trades Union Congress (Suva, Fiji)","Fiji Women’s Crisis Centre (Suva, Fiji)",1
"Fiji Disabled People’s Federation (Suva, Fiji)","Save the Children Fiji (Suva, Fiji)",1
"Fiji Disabled People’s Federation (Suva, Fiji)","Rainbow Pride Foundation (Suva, Fiji)",1
"Fiji Disabled People’s Federation (Suva, Fiji)","Haus of Khameleon (Suva, Fiji)",1
"Fiji Disabled People’s Federation (Suva, Fiji)","Fiji Women’s Rights Movement (Suva, Fiji)",1
"Fiji Disabled People’s Federation (Suva, Fiji)","Fiji Women’s Crisis Centre (Suva, Fiji)",1
"Fiji Women’s Rights Movement (Suva, Fiji)","Pacific Islands Association of Non-Government Organisations (Suva, Fiji)",1
"Fiji Women’s Rights Movement (Suva, Fiji)","Reproductive & Family Health Association of Fiji (Suva, Fiji)",1
"Fiji Council of Social Services (Suva, Fiji)","Save the Children Fiji (Suva, Fiji)",1
"Fiji Women’s Rights Movement (Suva, Fiji)","Save the Children Fiji (Suva, Fiji)",1
"Rainbow Pride Foundation (Suva, Fiji)","Youth Champs for Mental Health (Suva, Fiji)",1
"Rainbow Pride Foundation (Suva, Fiji)","Save the Children Fiji (Suva, Fiji)",1
"Rainbow Pride Foundation (Suva, Fiji)","Reproductive & Family Health Association of Fiji (Suva, Fiji)",1
"National Union of Factory and Commercial Workers (Suva, Fiji)","Youth Champs for Mental Health (Suva, Fiji)",1
