Source,Target,Weight
Amnesty International,POS Foundation,3
Africa Centre for International Law and Accountability,POS Foundation,3
Africa Centre for International Law and Accountability,Amnesty International,2
Community and Family Aid Foundation,POS Foundation,2
Amnesty International,Community and Family Aid Foundation,2
Amnesty International,Legal Resources Centre,2
Legal Resources Centre,POS Foundation,2
Amnesty International,Society and Youth Foundation,2
Commonwealth Human Rights Initiative,POS Foundation,2
Amnesty International,Women in the Lord’s Vineyard,2
KASA Initiative Ghana,Restoration of Hope Foundation,2
KASA Initiative Ghana,POS Foundation,2
POS Foundation,Restoration of Hope Foundation,2
POS Foundation,Society and Youth Foundation,2
KASA Initiative,POS Foundation,2
POS Foundation,Women in the Lord’s Vineyard,2
Africa Centre for International Law and Accountability,Commonwealth Human Rights Initiative,2
Africa Centre for International Law and Accountability,KASA Initiative Ghana,2
Community and Family Aid Foundation,Society and Youth Foundation,2
Africa Centre for International Law and Accountability,Restoration of Hope Foundation,2
Community and Family Aid Foundation,Women in the Lord’s Vineyard,2
Society and Youth Foundation,Women in the Lord’s Vineyard,2
Africa Centre for International Law and Accountability,Legal Resources Centre,2
Grace to Grace Foundation,Relive Ghana,1
Hope for Future Generations (HFFG),Planned Parenthood Association of Ghana (PPAG),1
Ghana Coalition of NGOs in Health (GCNH),Hope for Future Generations (HFFG),1
Ghana Coalition of NGOs in Health (GCNH),"Ghana Federation of Disability Organisations, Vision for Alternative Development (VALD)",1
Ghana,POS Foundation/KASA Initiative,1
Ghana,Tiger Eye Foundation,1
Gender Violence Survivors Support Network Ghana,Women’s Initiative for Self-Empowerment,1
Gender Violence Survivors Support Network Ghana,Women in the Lord’s Vineyard,1
Hope for Future Generations (HFFG),Women in Law and Development in Africa (WiLDAF),1
Gender Violence Survivors Support Network Ghana,Society and Youth Foundation,1
Gender Violence Survivors Support Network Ghana,Restoration of Hope Foundation,1
Gender Violence Survivors Support Network Ghana,POS Foundation,1
Gender Violence Survivors Support Network Ghana,Network of Women in Growth,1
Ghana Coalition of NGOs in Health (GCNH),Human Rights Advocacy Centre (HRAC),1
Ghana Coalition of NGOs in Health (GCNH),Planned Parenthood Association of Ghana (PPAG),1
Grace to Grace Foundation,Society and Youth Foundation,1
Ghana Coalition of NGOs in Health (GCNH),Women in Law and Development in Africa (WiLDAF),1
Grace to Grace Foundation,Patient Friend Foundation (PFF),1
Grace to Grace Foundation,POS Foundation,1
Grace to Grace Foundation,One Love Initiative Foundation,1
Grace to Grace Foundation,Network of Women in Growth Ghana,1
Grace to Grace Foundation,The Light Foundation Ghana (TLF),1
Grace to Grace Foundation,Mind Freedom Ghana,1
Grace to Grace Foundation,KASA Initiative,1
Ghana NGO Coalition for the rights of the Child (GNCRC),Plan International Ghana,1
"Ghana Federation of Disability Organisations, Vision for Alternative Development (VALD)",Women in Law and Development in Africa (WiLDAF),1
