Source,Target,Weight
Better Days (Greece),Defence for Children International Greece,1
Coordinated Organizations and Communities for Roma Human Rights in Greece (SOKADE) (Greece),Greek Helsinki Monitor (GHM),1
Coordinated Organizations and Communities for Roma Human Rights in Greece (SOKADE) (Greece),Minority Rights Group-Greece (MRG-G),1
European Evangelical Alliance (EEA),Greek Evangelical Alliance (PES),1
European Evangelical Alliance (EEA),World Evangelical Alliance (WEA) (Switzerland),1
Greek Evangelical Alliance (PES),World Evangelical Alliance (WEA) (Switzerland),1
Greek Helsinki Monitor (GHM),Minority Rights Group-Greece (MRG-G),1
Josoor,Mare Liberum (Germany),1
Josoor,Mobile Info Team,1
Josoor,No Name Kitchen,1
Mare Liberum (Germany),Mobile Info Team,1
Mare Liberum (Germany),No Name Kitchen,1
Mobile Info Team,No Name Kitchen,1
