Source,Target,Weight
Asociación AGUJA,Asociación Alianza Joven,1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,Movimiento de Trabajadores Campesinos — MTC,1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,Embajadores-as por la Paz — EMBAPAZ,1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,"Estudiantes de Derecho Mazate, USAC",1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,Expresión Juvenil de Quetzaltenango,1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,GE.17-14588 11 Coordinadora de Juventud Sololá KAJI B´ATZ,1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,Instituto DEMOS,1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,Instituto de Ciencias Comparadas Penales de Guatemala — ICCPG,1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,Juventud Garífuna de Guatemala — JUGAGUA,1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,"Juventud Voz de Cambio, Retalhuleu",1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,Jóvenes Revolucionarios,1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,Jóvenes por el Cambio de San Marcos,1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,Jóvenes por la Vida — JOVI,1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,Movimiento de Jóvenes Mayas — MOJOMAYAS,1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,Organización Juvenil Qawinaqel,1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,Desarrollo Social de la Juventud de Retalhuleu — DESOJUReu,1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,Organización Juvenil Xinca de Guatemala — ORJUXIG,1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,Pastoral Juvenil de Jalapa,1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,Proyecto Social por la Juventud de Masagua — PROSOJU,1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,Red Juvenil — Juventud Jocotenango,1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,Red de Juventud de San Antonio Palopó,1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,Red de Organizaciones Juveniles de Alva Verapaz — ROJAV,1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,"Red de organizaciones de Niñez, Adolescencia y Juventud de Aguacatan, Huehuetenango",1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,"Sociedad para el Desarrollo de la Juventud (SODEJU-FUNDAJU), integrada por: Juventud Obrera Cristiana — JOC",1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,VICALAMA,1
Desarrollo Social de la Juventud de Retalhuleu — DESOJUReu,Desarrollo Social para la Juventud de Mazatenango — DESOJU,1
Desarrollo Social de la Juventud de Retalhuleu — DESOJUReu,Embajadores-as por la Paz — EMBAPAZ,1
Desarrollo Social de la Juventud de Retalhuleu — DESOJUReu,"Estudiantes de Derecho Mazate, USAC",1
Coordinadora de Jóvenes Luz y Esperanza — CJLE,Desarrollo Social para la Juventud de Mazatenango — DESOJU,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,VICALAMA,1
Embajadores-as por la Paz — EMBAPAZ,Red Juvenil — Juventud Jocotenango,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,"Juventud Voz de Cambio, Retalhuleu",1
Asociación para la Prevención de Violencia — APREDE,"Sociedad para el Desarrollo de la Juventud (SODEJU-FUNDAJU), integrada por: Juventud Obrera Cristiana — JOC",1
Asociación para la Prevención de Violencia — APREDE,VICALAMA,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,Coordinadora de Jóvenes Luz y Esperanza — CJLE,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,Desarrollo Social de la Juventud de Retalhuleu — DESOJUReu,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,Desarrollo Social para la Juventud de Mazatenango — DESOJU,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,Embajadores-as por la Paz — EMBAPAZ,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,"Estudiantes de Derecho Mazate, USAC",1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,Expresión Juvenil de Quetzaltenango,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,GE.17-14588 11 Coordinadora de Juventud Sololá KAJI B´ATZ,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,Instituto DEMOS,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,Instituto de Ciencias Comparadas Penales de Guatemala — ICCPG,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,Juventud Garífuna de Guatemala — JUGAGUA,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,Jóvenes Revolucionarios,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,"Sociedad para el Desarrollo de la Juventud (SODEJU-FUNDAJU), integrada por: Juventud Obrera Cristiana — JOC",1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,Jóvenes por el Cambio de San Marcos,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,Jóvenes por la Vida — JOVI,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,Movimiento de Jóvenes Mayas — MOJOMAYAS,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,Movimiento de Trabajadores Campesinos — MTC,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,Organización Juvenil Qawinaqel,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,Organización Juvenil Xinca de Guatemala — ORJUXIG,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,Pastoral Juvenil de Jalapa,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,Proyecto Social por la Juventud de Masagua — PROSOJU,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,Red Juvenil — Juventud Jocotenango,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,Red de Juventud de San Antonio Palopó,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,Red de Organizaciones Juveniles de Alva Verapaz — ROJAV,1
Coordinadora Local de Juventud de Retalhuleu — COLJUR,"Red de organizaciones de Niñez, Adolescencia y Juventud de Aguacatan, Huehuetenango",1
Desarrollo Social de la Juventud de Retalhuleu — DESOJUReu,Expresión Juvenil de Quetzaltenango,1
Desarrollo Social de la Juventud de Retalhuleu — DESOJUReu,GE.17-14588 11 Coordinadora de Juventud Sololá KAJI B´ATZ,1
Desarrollo Social de la Juventud de Retalhuleu — DESOJUReu,Instituto DEMOS,1
Embajadores-as por la Paz — EMBAPAZ,Expresión Juvenil de Quetzaltenango,1
Desarrollo Social para la Juventud de Mazatenango — DESOJU,Movimiento de Trabajadores Campesinos — MTC,1
Desarrollo Social para la Juventud de Mazatenango — DESOJU,Organización Juvenil Qawinaqel,1
Desarrollo Social para la Juventud de Mazatenango — DESOJU,Organización Juvenil Xinca de Guatemala — ORJUXIG,1
Desarrollo Social para la Juventud de Mazatenango — DESOJU,Pastoral Juvenil de Jalapa,1
Desarrollo Social para la Juventud de Mazatenango — DESOJU,Proyecto Social por la Juventud de Masagua — PROSOJU,1
Desarrollo Social para la Juventud de Mazatenango — DESOJU,Red Juvenil — Juventud Jocotenango,1
Desarrollo Social para la Juventud de Mazatenango — DESOJU,Red de Juventud de San Antonio Palopó,1
Desarrollo Social para la Juventud de Mazatenango — DESOJU,Red de Organizaciones Juveniles de Alva Verapaz — ROJAV,1
Desarrollo Social para la Juventud de Mazatenango — DESOJU,"Red de organizaciones de Niñez, Adolescencia y Juventud de Aguacatan, Huehuetenango",1
