Source,Target,Weight
"AMIC, Association Amis des Enfants",Ligue Guinéenne des Droits de l’Homme,1
Crianças e Jovens em Ação,ONG ESSOR,1
Divutec,Fundação para o Desenvolvimento das Comunidades,1
Divutec,Fundação Ninho da Criança,1
Crianças e Jovens em Ação,SOS Crianças Talibés,1
Crianças e Jovens em Ação,Rede dos Jovens Defensores dos Direitos das Crianças,1
Crianças e Jovens em Ação,Rede de Jovens Educadores,1
Crianças e Jovens em Ação,Rede de Criança e Jovens Jornalitas,1
Crianças e Jovens em Ação,Rede Nacional das Associações Juvenis Júnior,1
Crianças e Jovens em Ação,Projeto Campos Irmãos-Brasil-África,1
Crianças e Jovens em Ação,Pritege,1
Crianças e Jovens em Ação,Plan International GNB,1
Crianças e Jovens em Ação,Parlamento Nacional Infantil,1
Crianças e Jovens em Ação,Muscafo,1
Divutec,Movimento Africano de Crianças e Jovens Trabalhadoras,1
Crianças e Jovens em Ação,Movimento Nacional doe Escoteiros,1
Crianças e Jovens em Ação,Movimento Africano de Crianças e Jovens Trabalhadoras,1
Crianças e Jovens em Ação,Liga Guineense dos Direitos Humanos,1
Crianças e Jovens em Ação,Fundação para o Desenvolvimento das Comunidades,1
Crianças e Jovens em Ação,Fundação Ninho da Criança,1
Crianças e Jovens em Ação,Divutec,1
"Coalition for the Defense of Children’s Rights in Guinea-Bissau, Bissau (Guinea- Bissau)",SOS Crianças Talibés,1
"Coalition for the Defense of Children’s Rights in Guinea-Bissau, Bissau (Guinea- Bissau)",Rede dos Jovens Defensores dos Direitos das Crianças,1
"Coalition for the Defense of Children’s Rights in Guinea-Bissau, Bissau (Guinea- Bissau)",Rede de Jovens Educadores,1
"Coalition for the Defense of Children’s Rights in Guinea-Bissau, Bissau (Guinea- Bissau)",Rede de Criança e Jovens Jornalitas,1
"Coalition for the Defense of Children’s Rights in Guinea-Bissau, Bissau (Guinea- Bissau)",Rede Nacional das Associações Juvenis Júnior,1
Divutec,Liga Guineense dos Direitos Humanos,1
Divutec,Movimento Nacional doe Escoteiros,1
"Coalition for the Defense of Children’s Rights in Guinea-Bissau, Bissau (Guinea- Bissau)",Pritege,1
Fundação Ninho da Criança,Movimento Africano de Crianças e Jovens Trabalhadoras,1
Fundação Ninho da Criança,Rede dos Jovens Defensores dos Direitos das Crianças,1
Fundação Ninho da Criança,Rede de Jovens Educadores,1
Fundação Ninho da Criança,Rede de Criança e Jovens Jornalitas,1
Fundação Ninho da Criança,Rede Nacional das Associações Juvenis Júnior,1
Fundação Ninho da Criança,Projeto Campos Irmãos-Brasil-África,1
