Source,Target,Weight
", Unorganised Labour Union, Lucknow, Uttar Pradesh","Bal Kalyan avam Shodh Sangsthan, Allahabad, Uttar Pradesh",1
26) Justice and Equity Demand Samiti,4) Chaldean Syrian Church of the East,1
26) Justice and Equity Demand Samiti,6) Mennonite Church in India,1
26) Justice and Equity Demand Samiti,7) Baptist Church of Mizoram,1
26) Justice and Equity Demand Samiti,8) Mennonite Brethren Church,1
26) Justice and Equity Demand Samiti,9) Catholic Bishops’ Conference of India Office for Dalits and Backward Classes,1
26) Justice and Equity Demand Samiti,Civil Society Coalition For Freedom of Religion & Strengthening Pluralism in India on behalf of: 1) National Council of Churches in India,1
26) Justice and Equity Demand Samiti,"and 31) Union Biblical Seminary, India",1
"27) All India Secular Forum, Assam Chapter",28) Char Chapori Sahitya Parishad,1
"27) All India Secular Forum, Assam Chapter",29) Chhattisgarh Nagarik Samyukt Sangarsh Samiti,1
"27) All India Secular Forum, Assam Chapter",3) Malankara Orthodox Syrian Church,1
"27) All India Secular Forum, Assam Chapter",30) Presbyterian Church of India,1
"27) All India Secular Forum, Assam Chapter",4) Chaldean Syrian Church of the East,1
"27) All India Secular Forum, Assam Chapter",5) Gossner Evangelical Lutheran Church in Chotanagpur,1
"27) All India Secular Forum, Assam Chapter",6) Mennonite Church in India,1
"27) All India Secular Forum, Assam Chapter",7) Baptist Church of Mizoram,1
"27) All India Secular Forum, Assam Chapter",8) Mennonite Brethren Church,1
"27) All India Secular Forum, Assam Chapter",9) Catholic Bishops’ Conference of India Office for Dalits and Backward Classes,1
"27) All India Secular Forum, Assam Chapter",Civil Society Coalition For Freedom of Religion & Strengthening Pluralism in India on behalf of: 1) National Council of Churches in India,1
"27) All India Secular Forum, Assam Chapter","and 31) Union Biblical Seminary, India",1
28) Char Chapori Sahitya Parishad,29) Chhattisgarh Nagarik Samyukt Sangarsh Samiti,1
26) Justice and Equity Demand Samiti,5) Gossner Evangelical Lutheran Church in Chotanagpur,1
26) Justice and Equity Demand Samiti,30) Presbyterian Church of India,1
", Unorganised Labour Union, Lucknow, Uttar Pradesh","National Coalition for Education in India (NCE-India), World Vision, RTE Forum, PCCSS, AIPTF, NCE, All India Federation of Teachers Organizations (AIFTO), All India Secondary Teacher's Federation (AISTF)",1
26) Justice and Equity Demand Samiti,3) Malankara Orthodox Syrian Church,1
24) Karnataka Christian Council,Civil Society Coalition For Freedom of Religion & Strengthening Pluralism in India on behalf of: 1) National Council of Churches in India,1
24) Karnataka Christian Council,"and 31) Union Biblical Seminary, India",1
25) Center for Social Justice,26) Justice and Equity Demand Samiti,1
