Source,Target,Weight
Coalition for Enforcement of Law and Human Rights in Papua (ELSHAM PAPUA,KPKC Sinode GKI Di Tanah Papua,2
Agats (SKP Agats) and Sorong (SKP Sorong),"The Commission of Justice, Peace and Integrity of Creation of Franciscans Papua (SKPKC Franciscans Papua)",1
Legal Aid Foundation for the Press (LBH Pers),the Association of Journalists for Diversity (Sejuk),1
"Linkar Borneo, Indonesian Legal Aid Foundation (YLBHI)",Protection Desk Indonesia (Yayasan Perlindungan Insani Indonesia),1
"Linkar Borneo, Indonesian Legal Aid Foundation (YLBHI)",National Network for Domestic Workers Advocacy (JALA PRT),1
"Linkar Borneo, Indonesian Legal Aid Foundation (YLBHI)",National Legal Aid Reform Consortium (KRHN),1
"Linkar Borneo, Indonesian Legal Aid Foundation (YLBHI)",Mining Advocacy Network (Jatam),1
Lembaga Penelitian,"and Lembaga Bantuan Hukum (LBH) Papua)), (Indonesia)",1
Lembaga Penelitian,SKPKC Franciscans Papua,1
Lembaga Penelitian,Perkumpulan Jubi,1
Lembaga Penelitian,Pengkajian dan Pengembangan Bantuan Hukum (LP3BH),1
Legal Aid Foundation for the Press (LBH Pers),and the Setara Institute (Indonesia),1
"Linkar Borneo, Indonesian Legal Aid Foundation (YLBHI)",Yogyakarta Legal Aid Foundation (LBH Yogyakarta),1
Legal Aid Foundation for the Press (LBH Pers),Yogyakarta Legal Aid Foundation (LBH Yogyakarta),1
Legal Aid Foundation for the Press (LBH Pers),Semarang Legal Aid Foundation (LBH Semarang),1
Legal Aid Foundation for the Press (LBH Pers),Protection Desk Indonesia (Yayasan Perlindungan Insani Indonesia),1
Legal Aid Foundation for the Press (LBH Pers),National Network for Domestic Workers Advocacy (JALA PRT),1
Legal Aid Foundation for the Press (LBH Pers),National Legal Aid Reform Consortium (KRHN),1
Legal Aid Foundation for the Press (LBH Pers),Mining Advocacy Network (Jatam),1
Legal Aid Foundation for the Press (LBH Pers),"Linkar Borneo, Indonesian Legal Aid Foundation (YLBHI)",1
Legal Aid Center for the Press (LBH Pers),the Peoples Participation Initiative,1
"Linkar Borneo, Indonesian Legal Aid Foundation (YLBHI)",Semarang Legal Aid Foundation (LBH Semarang),1
"Linkar Borneo, Indonesian Legal Aid Foundation (YLBHI)",and the Setara Institute (Indonesia),1
Indonesian Forum for the Environment (Walhi),Semarang Legal Aid Foundation (LBH Semarang),1
National Legal Aid Reform Consortium (KRHN),Semarang Legal Aid Foundation (LBH Semarang),1
National Network for Domestic Workers Advocacy (JALA PRT),the Association of Journalists for Diversity (Sejuk),1
National Network for Domestic Workers Advocacy (JALA PRT),and the Setara Institute (Indonesia),1
National Network for Domestic Workers Advocacy (JALA PRT),Yogyakarta Legal Aid Foundation (LBH Yogyakarta),1
National Network for Domestic Workers Advocacy (JALA PRT),Semarang Legal Aid Foundation (LBH Semarang),1
National Network for Domestic Workers Advocacy (JALA PRT),Protection Desk Indonesia (Yayasan Perlindungan Insani Indonesia),1
National Legal Aid Reform Consortium (KRHN),the Association of Journalists for Diversity (Sejuk),1
National Legal Aid Reform Consortium (KRHN),and the Setara Institute (Indonesia),1
National Legal Aid Reform Consortium (KRHN),Yogyakarta Legal Aid Foundation (LBH Yogyakarta),1
National Legal Aid Reform Consortium (KRHN),Protection Desk Indonesia (Yayasan Perlindungan Insani Indonesia),1
"Linkar Borneo, Indonesian Legal Aid Foundation (YLBHI)",the Association of Journalists for Diversity (Sejuk),1
National Legal Aid Reform Consortium (KRHN),National Network for Domestic Workers Advocacy (JALA PRT),1
Mining Advocacy Network (Jatam),the Association of Journalists for Diversity (Sejuk),1
Mining Advocacy Network (Jatam),and the Setara Institute (Indonesia),1
Mining Advocacy Network (Jatam),Yogyakarta Legal Aid Foundation (LBH Yogyakarta),1
Mining Advocacy Network (Jatam),Semarang Legal Aid Foundation (LBH Semarang),1
Mining Advocacy Network (Jatam),Protection Desk Indonesia (Yayasan Perlindungan Insani Indonesia),1
Mining Advocacy Network (Jatam),National Network for Domestic Workers Advocacy (JALA PRT),1
Mining Advocacy Network (Jatam),National Legal Aid Reform Consortium (KRHN),1
Legal Aid Center for the Press (LBH Pers),the Institute for Policy Research and Advocacy (ELSAM),1
Legal Aid Center for the Press (LBH Pers),the Institute for Criminal Justice Reform (ICJR),1
Legal Aid Center for the Press (LBH Pers),and the Indonesian Alliance of Independent Journalists (AJI Indonesia) (Indonesia),1
Jakarta Legal Aid Foundation (LBH Jakarta),WALHI (Friends of the Earth Indonesia),1
KPKC Sinode GKI Di Tanah Papua,Perkumpulan Jubi,1
KPKC Sinode GKI Di Tanah Papua,Pengkajian dan Pengembangan Bantuan Hukum (LP3BH),1
KPKC Sinode GKI Di Tanah Papua,Papuan Peoples Network (JERAT-Papua),1
KPKC Sinode GKI Di Tanah Papua,Lembaga Penelitian,1
KPKC Sinode GKI Di Tanah Papua,KPKC Sinode Kingmi Papua,1
Jakarta Legal Aid Foundation (LBH Jakarta),the Mining Advocacy Network (Jatam),1
Jakarta Legal Aid Foundation (LBH Jakarta),the Agrarian Reform Consortium (KPA),1
Jakarta Legal Aid Foundation (LBH Jakarta),"and Women’s Solidarity for Human Rights (Solidaritas Perempuan), (Indonesia)",1
"International Federation for Human Rights (FIDH), Paris (France)","and Center of Human Rights Law Studies (HRLS), Surabaya (Indonesia)",1
KPKC Sinode GKI Di Tanah Papua,The GKI Women Empowerment and Development Center (P3W GKI),1
"International Federation for Human Rights (FIDH), Paris (France)","The Commission for the Disappeared and Victims of Violence (KontraS), Jakarta (Indonesia)",1
Indonesian Legal Aid Foundation (YLBHI),the Mining Advocacy Network (Jatam),1
