Source,Target,Weight
"Ensemble contre la peine de mort, Montreuil (France)",Iran Human Rights,2
"Abdorrahman Boroumand Centre, Washington D.C. (United States of America)","Impact Iran, New York (United States of America)",2
"Abdorrahman Boroumand Centre, Washington D.C. (United States of America)","All Human Rights for All in Iran, Vienna (Austria)",2
"All Human Rights for All in Iran, Vienna (Austria)","Impact Iran, New York (United States of America)",2
"Hands Off Cain, Rome (Italy)","Nonviolent Radical Party, Transnational and Transparty, Rome (Italy)",2
"Abdorrahman Boroumand Centre, Washington D.C. (United States of America)","Ensemble contre la peine de mort, Montreuil (France)",2
"Abdorrahman Boroumand Centre, Washington D.C. (United States of America)",Iran Human Rights,2
"Centre for Supporters of Human Rights, London (United Kingdom of Great Britain and Northern Ireland)","Minority Rights Group International, London (United Kingdom of Great Britain and Northern Ireland)",1
"Christian Solidarity Worldwide, New Malden (United Kingdom of Great Britain and Northern Ireland)",Middle East Concern,1
Democratic Party of Iranian Kurdistan,"Underrepresented Nations and Peoples Organization, The Hague (The Netherlands)",1
Education International (EI),International Federation of Journalists (IFJ),1
Education International (EI),International Transport Workers’ Federation (ITF),1
Education International (EI),International Trade Union Confederation (ITUC),1
"Ceasefire Centre for Civilian Rights, London (United Kingdom of Great Britain and Northern Ireland)","Minority Rights Group International, London (United Kingdom of Great Britain and Northern Ireland)",1
Education International (EI),"International Union of Food, Agricultural, Hotel, Restaurant, Catering, Tobacco and Allied Workers' Associations (IUF)",1
"Ensemble contre la peine de mort, Montreuil (France)",Impact Iran,1
"Ensemble contre la peine de mort, Montreuil (France)","Impact Iran, New York (United States of America)",1
"Centre for Supporters of Human Rights, London (United Kingdom of Great Britain and Northern Ireland)","Iran Human Rights Documentation Center, New Haven (United States of America)",1
"Abdorrahman Boroumand Centre, Washington D.C. (United States of America)",Ahwaz Human Rights Organisation,1
"Ceasefire Centre for Civilian Rights, London (United Kingdom of Great Britain and Northern Ireland)","Centre for Supporters of Human Rights, London (United Kingdom of Great Britain and Northern Ireland)",1
"Ensemble contre la peine de mort, Montreuil (France)",Outright Action International,1
Balochistan Human Rights Group (BHRAG),Siamak Pourzand Foundation,1
Balochistan Human Rights Group (BHRAG),"Impact Iran, New York (United States of America)",1
Balochistan Human Rights Group,"Underrepresented Nations and Peoples Organization, The Hague (The Netherlands)",1
Balochistan Human Rights Group,Democratic Party of Iranian Kurdistan,1
"Association to Defend Freedom & Human Rights in Iran, Sydney (Australia)","Australian Supporters of Democracy in Iran, Sydney (Australia)",1
Association of Iranian Refugees in The Netherlands,International Foundation for Iranian Women,1
Association of Iranian Ex-Political Prisoners in Canada (Canada),Association of Iranian Martyrs Family (Canada),1
Association helps Iranian Conscience Prisoners,International Foundation for Iranian Women,1
Association helps Iranian Conscience Prisoners,Association of Iranian Refugees in The Netherlands,1
"Association for the human rights of the Azerbaijani people in Iran, Oslo (Norway)",Outright Action International,1
"CIVICUS: World Alliance for Citizen Participation, Johannesburg (South Africa)","Volunteer Activists, Amsterdam (The Netherlands)",1
"France Libertés: Fondation Danielle Mitterand, Paris (France)","Nonviolent Radical Party, Transnational and Transparty, Rome (Italy)",1
"Ensemble contre la peine de mort, Montreuil (France)",World coalition against the death penalty,1
"France Libertés: Fondation Danielle Mitterand, Paris (France)","Hands Off Cain, Rome (Italy)",1
"Nonviolent Radical Party, Transnational and Transparty, Rome (Italy)","Women’s Human Rights International Association, Paris (France)",1
"League for the Defence of Human Rights in Iran, Paris (France)","World Organization against Torture, Geneva (Switzerland)",1
"Iran Human Rights, Oslo (Norway)","World Coalition Against the Death Penalty, Montreuil (France)",1
Iran Human Rights,World coalition against the death penalty,1
Iran Human Rights,Outright Action International,1
International Transport Workers’ Federation (ITF),"International Union of Food, Agricultural, Hotel, Restaurant, Catering, Tobacco and Allied Workers' Associations (IUF)",1
International Trade Union Confederation (ITUC),"International Union of Food, Agricultural, Hotel, Restaurant, Catering, Tobacco and Allied Workers' Associations (IUF)",1
International Trade Union Confederation (ITUC),International Transport Workers’ Federation (ITF),1
International Federation of Journalists (IFJ),"International Union of Food, Agricultural, Hotel, Restaurant, Catering, Tobacco and Allied Workers' Associations (IUF)",1
International Federation of Journalists (IFJ),International Transport Workers’ Federation (ITF),1
International Federation of Journalists (IFJ),International Trade Union Confederation (ITUC),1
