Source,Target,Weight
'Ha-Aguda' – the National Association of LGBT in Israel,"'Havruta' – Religious Gays, 'Ma'avarim' – Israeli Transgender Community",1
'Ha-Aguda' – the National Association of LGBT in Israel,'Hoshen' – Education and Change,1
Al-Haq,the Cairo Institute for Human Rights Studies CIHRS (Jerusalem Palestine),1
Alhuquq Center,Negev Coexistence Forum for Civil Equality,1
Alhuquq Center,Regional Council for the Unrecognized Villages,1
Alhuquq Center,Sidreh - Lakiya Negev Weaving (Israel),1
Arab NGO Network for Development (South Africa),CIVICUS: World Alliance for Citizen Participation,1
Arab NGO Network for Development (South Africa),Palestinian Non-Governmental Organizations Network,1
CIVICUS: World Alliance for Citizen Participation,Palestinian Non-Governmental Organizations Network,1
Coalition of Women for Peace,Human Rights Defenders Fund,1
Coalition of Women for Peace,The Association: Women Against Violence (Israel),1
Community Action Center (Al-Quds University),Society of St. Yves - Catholic Center for Human Rights (St. Yves),1
Community Action Center (Al-Quds University),the Cairo Institute for Human Rights Studies CIHRS (Jerusalem Palestine),1
Human Rights Defenders Fund,The Association: Women Against Violence (Israel),1
Negev Coexistence Forum for Civil Equality,Regional Council for the Unrecognized Villages,1
Negev Coexistence Forum for Civil Equality,Sidreh - Lakiya Negev Weaving (Israel),1
Regional Council for the Unrecognized Villages,Sidreh - Lakiya Negev Weaving (Israel),1
Al-Haq,Society of St. Yves - Catholic Center for Human Rights (St. Yves),1
Al-Haq,Community Action Center (Al-Quds University),1
Al Tufula Pedagogical & Multipurpose Women's Center,The Association: Women Against Violence (Israel),1
'Hoshen' – Education and Change,the LGBT House in Be'er Sheva and The Association of Israeli Gay Fathers (Israel),1
'Ha-Aguda' – the National Association of LGBT in Israel,'Tehila' – Support for Parents and Families of LGTB,1
'Ha-Aguda' – the National Association of LGBT in Israel,the LGBT House in Be'er Sheva and The Association of Israeli Gay Fathers (Israel),1
"'Havruta' – Religious Gays, 'Ma'avarim' – Israeli Transgender Community",'Hoshen' – Education and Change,1
"'Havruta' – Religious Gays, 'Ma'avarim' – Israeli Transgender Community",'Tehila' – Support for Parents and Families of LGTB,1
"'Havruta' – Religious Gays, 'Ma'avarim' – Israeli Transgender Community",the LGBT House in Be'er Sheva and The Association of Israeli Gay Fathers (Israel),1
'Hoshen' – Education and Change,'Tehila' – Support for Parents and Families of LGTB,1
'Tehila' – Support for Parents and Families of LGTB,the LGBT House in Be'er Sheva and The Association of Israeli Gay Fathers (Israel),1
Al Tufula Pedagogical & Multipurpose Women's Center,Human Rights Defenders Fund,1
Adalah – The Legal Center for Arab Minority Rights in Israel,Al Tufula Pedagogical & Multipurpose Women's Center,1
Adalah – The Legal Center for Arab Minority Rights in Israel,Coalition of Women for Peace,1
Adalah – The Legal Center for Arab Minority Rights in Israel,Human Rights Defenders Fund,1
Adalah – The Legal Center for Arab Minority Rights in Israel,The Association: Women Against Violence (Israel),1
Al Marsad-Social,Economic Policies Monitor (Lebanon),1
Al Tufula Pedagogical & Multipurpose Women's Center,Coalition of Women for Peace,1
Society of St. Yves - Catholic Center for Human Rights (St. Yves),the Cairo Institute for Human Rights Studies CIHRS (Jerusalem Palestine),1
