Source,Target,Weight
AGeDO,CIAI,2
ANFAA,CISMAI,2
CISMAI,VIS,2
CIAI,CISMAI,2
ANFAA,CIAI,2
AGeDO,VIS,2
AGeDO,CISMAI,2
CIAI,VIS,2
ANFAA,VIS,2
AGeDO,ANFAA,2
Comitato Singh Mohinder,VIS,1
Comitato Singh Mohinder,UNICEF Italia,1
Comitato Singh Mohinder,WILPF (Italy),1
Comitato UNRWA Italia,Comitato per i Diritti Umani,1
Comitato UNRWA Italia,Coordinamento di Initiative Popolari di Solidarietà Internarionale,1
Comitato UNRWA Italia,DPI Italia,1
Comitato UNRWA Italia,Donne in Nero,1
Comitato Singh Mohinder,Unione Forense per la Tutela dei Diritti Umani,1
Comitato Singh Mohinder,UNITS,1
Comitato UNRWA Italia,EMA,1
Comitato Singh Mohinder,VIDES Internazionale,1
A Buon Diritto,Associazione 21 luglio,1
Comitato UNRWA Italia,Federazione Chiese Evangeliche,1
Comitato Singh Mohinder,UIL,1
Comitato Singh Mohinder,UDI-Unione Donne in Italia,1
Comitato Singh Mohinder,UBI Minor,1
Comitato Singh Mohinder,Terre des Hommes,1
Comitato Singh Mohinder,Save the Children Italia,1
Comitato Singh Mohinder,Rete Educare ai Diritti Umani,1
Comitato Singh Mohinder,Progetto Continenti,1
Comitato Singh Mohinder,Ponte della Memoria,1
Comitato Singh Mohinder,Paxchristi,1
Comitato Singh Mohinder,PRO.DO.C.S,1
Comitato Singh Mohinder,Ossigeno per l’Informazione,1
Comitato Singh Mohinder,Oltre Babele,1
Comitato UNRWA Italia,FVGS,1
Comitato UNRWA Italia,Fondazione Centro Astalli,1
Comitato UNRWA Italia,Federazione Italiana per il Superamento dell’Handicap,1
Comitato UNRWA Italia,Fondazione Basso-Sezione Internazionale,1
Comitato UNRWA Italia,Ponte della Memoria,1
Comitato UNRWA Italia,Paxchristi,1
Comitato UNRWA Italia,PRO.DO.C.S,1
Comitato UNRWA Italia,Ossigeno per l’Informazione,1
Comitato UNRWA Italia,Oltre Babele,1
Comitato UNRWA Italia,Movimondo,1
Comitato UNRWA Italia,Medici per i Diritti Umani,1
Comitato UNRWA Italia,Medici Contro la Tortura,1
Comitato UNRWA Italia,Med.ea,1
Comitato UNRWA Italia,Libera,1
Comitato UNRWA Italia,Legambiente,1
Comitato UNRWA Italia,Lega Internazionale per i Diritti e la Liberazione dei Popoli,1
Comitato UNRWA Italia,Law-Legal Aid Worldwide,1
Comitato UNRWA Italia,Laboratorio Diritti Umani,1
Comitato UNRWA Italia,La Gabbianella,1
Comitato UNRWA Italia,Istituto di Medicina del Soccorso,1
Comitato UNRWA Italia,Istituto Cooperazione Economica Internazionale,1
Comitato UNRWA Italia,IRMA,1
Comitato UNRWA Italia,INTERVITA,1
Comitato UNRWA Italia,INTERSOS,1
Comitato UNRWA Italia,IMS,1
Comitato UNRWA Italia,IISMAS,1
Comitato UNRWA Italia,ICS,1
Comitato UNRWA Italia,Guardavanti,1
Comitato UNRWA Italia,Gruppo Martin Buber,1
Comitato UNRWA Italia,Giovani per un Mondo Unito,1
Comitato UNRWA Italia,Fondazione Labos,1
Comitato UNRWA Italia,Fondazione Internazionale Don Luigi di Liegro,1
Comitato Singh Mohinder,Medici per i Diritti Umani,1
Comitato Singh Mohinder,Movimondo,1
Comitato Singh Mohinder,Libera,1
Comitato Singh Mohinder,Medici Contro la Tortura,1
Comitato Giù le Mani dai Bambini,Onlus Opera Nomadi Milano,1
Comitato Giù le Mani dai Bambini,VIS,1
Comitato Giù le Mani dai Bambini,UNCM,1
Comitato Giù le Mani dai Bambini,Terre des Hommes Italia,1
Comitato Giù le Mani dai Bambini,Società Sportiva Dilettantistica Crescere Educare Agire SOS Villaggi dei Bambini Onlus,1
Comitato Giù le Mani dai Bambini,SIP,1
Comitato Giù le Mani dai Bambini,SINPIA,1
Comitato Giù le Mani dai Bambini,Onlus – Educazione ai Diritti dell’Infanzia e dell’Adolescenza,1
Comitato Giù le Mani dai Bambini,Onlus UISP,1
Comitato Giù le Mani dai Bambini,Onlus Saveria Antiochia Osservatorio antimafiaL Associazione,1
Comitato Giù le Mani dai Bambini,Onlus Save the Children Italia,1
Comitato Giù le Mani dai Bambini,Onlus SIMM,1
Comitato Giù le Mani dai Bambini,Onlus Pollicino e Centro Crisi Genitori,1
Comitato Giù le Mani dai Bambini,Onlus Osservazion,1
Comitato Giù le Mani dai Bambini,Onlus OVCI la Nostra Famiglia On the Road Associazione,1
Comitato Singh Mohinder,Med.ea,1
Comitato Giù le Mani dai Bambini,Onlus M.A.I.S,1
Comitato Giù le Mani dai Bambini,Onlus Giovanna d’Arco,1
