Source,Target,Weight
CAP Center JAPAN,Eyes for Children in Tokai,1
"Japan Society of Physical Education, Health and Sport Sciences",Support Center for Foster Families in Chiba,1
"Japan Society of Physical Education, Health and Sport Sciences",MY TREE Parents Program Center,1
"Japan Society of Physical Education, Health and Sport Sciences",Momrings,1
"Japan Society of Physical Education, Health and Sport Sciences",NPO Palette CRC Supporting Center,1
"Japan Society of Physical Education, Health and Sport Sciences",Network for the Convention on the Rights of the Child,1
"Japan Society of Physical Education, Health and Sport Sciences",Nippon Children Parents Supporter,1
"Japan Society of Physical Education, Health and Sport Sciences",SBI Children's Hope Foundation,1
"Japan Society of Physical Education, Health and Sport Sciences",Save the Children Japan,1
"Japan Society of Physical Education, Health and Sport Sciences",Tiger Mask Fundation,1
MY TREE Parents Program Center,Tiger Mask Fundation,1
"Japan Society of Physical Education, Health and Sport Sciences",‘miku’- Parenting Magazine,1
MY TREE Parents Program Center,Momrings,1
MY TREE Parents Program Center,NPO Palette CRC Supporting Center,1
MY TREE Parents Program Center,Network for the Convention on the Rights of the Child,1
MY TREE Parents Program Center,Nippon Children Parents Supporter,1
MY TREE Parents Program Center,SBI Children's Hope Foundation,1
MY TREE Parents Program Center,Save the Children Japan,1
Japan Network for Prevention of Child Abuse and Neglect,‘miku’- Parenting Magazine,1
Japan Network for Prevention of Child Abuse and Neglect,Tiger Mask Fundation,1
Japan Network for Prevention of Child Abuse and Neglect,Support Center for Foster Families in Chiba,1
Japan Network for Prevention of Child Abuse and Neglect,Save the Children Japan,1
Initiative for Ending Violence against Children Japan,Network for the Convention on the Rights of the Child,1
Initiative for Ending Violence against Children Japan,Nippon Children Parents Supporter,1
Initiative for Ending Violence against Children Japan,SBI Children's Hope Foundation,1
Initiative for Ending Violence against Children Japan,Save the Children Japan,1
Initiative for Ending Violence against Children Japan,Support Center for Foster Families in Chiba,1
Initiative for Ending Violence against Children Japan,Tiger Mask Fundation,1
Initiative for Ending Violence against Children Japan,‘miku’- Parenting Magazine,1
JNGMDP: Japan National Group of Mentally Disabled People,"and WNUSP: World Network of Users and Survivors of Psychiatry, Tokyo (Japan)",1
Japan Network for Prevention of Child Abuse and Neglect,"Japan Society of Physical Education, Health and Sport Sciences",1
Japan Network for Prevention of Child Abuse and Neglect,MY TREE Parents Program Center,1
Japan Network for Prevention of Child Abuse and Neglect,Momrings,1
Japan Network for Prevention of Child Abuse and Neglect,NPO Palette CRC Supporting Center,1
Japan Network for Prevention of Child Abuse and Neglect,Network for the Convention on the Rights of the Child,1
Japan Network for Prevention of Child Abuse and Neglect,Nippon Children Parents Supporter,1
Japan Network for Prevention of Child Abuse and Neglect,SBI Children's Hope Foundation,1
MY TREE Parents Program Center,Support Center for Foster Families in Chiba,1
MY TREE Parents Program Center,‘miku’- Parenting Magazine,1
Initiative for Ending Violence against Children Japan,Momrings,1
SBI Children's Hope Foundation,Support Center for Foster Families in Chiba,1
Network for the Convention on the Rights of the Child,‘miku’- Parenting Magazine,1
Nippon Children Parents Supporter,SBI Children's Hope Foundation,1
Nippon Children Parents Supporter,Save the Children Japan,1
Nippon Children Parents Supporter,Support Center for Foster Families in Chiba,1
Nippon Children Parents Supporter,Tiger Mask Fundation,1
Nippon Children Parents Supporter,‘miku’- Parenting Magazine,1
SBI Children's Hope Foundation,Save the Children Japan,1
SBI Children's Hope Foundation,Tiger Mask Fundation,1
Momrings,NPO Palette CRC Supporting Center,1
SBI Children's Hope Foundation,‘miku’- Parenting Magazine,1
Save the Children Japan,Support Center for Foster Families in Chiba,1
Save the Children Japan,Tiger Mask Fundation,1
Save the Children Japan,‘miku’- Parenting Magazine,1
Support Center for Foster Families in Chiba,Tiger Mask Fundation,1
Support Center for Foster Families in Chiba,‘miku’- Parenting Magazine,1
"The Advocates for Human Rights, Minnesota (USA)","The Center for Prisoners’ Rights (Japan) and The World Coalition against the Death Penalty, Montreuil (France)",1
Network for the Convention on the Rights of the Child,Tiger Mask Fundation,1
Network for the Convention on the Rights of the Child,Support Center for Foster Families in Chiba,1
Network for the Convention on the Rights of the Child,Save the Children Japan,1
Network for the Convention on the Rights of the Child,SBI Children's Hope Foundation,1
Momrings,Network for the Convention on the Rights of the Child,1
Momrings,Nippon Children Parents Supporter,1
Momrings,SBI Children's Hope Foundation,1
Momrings,Save the Children Japan,1
Momrings,Support Center for Foster Families in Chiba,1
Momrings,Tiger Mask Fundation,1
Momrings,‘miku’- Parenting Magazine,1
NPO Palette CRC Supporting Center,Network for the Convention on the Rights of the Child,1
NPO Palette CRC Supporting Center,Nippon Children Parents Supporter,1
NPO Palette CRC Supporting Center,SBI Children's Hope Foundation,1
NPO Palette CRC Supporting Center,Save the Children Japan,1
NPO Palette CRC Supporting Center,Support Center for Foster Families in Chiba,1
NPO Palette CRC Supporting Center,Tiger Mask Fundation,1
NPO Palette CRC Supporting Center,‘miku’- Parenting Magazine,1
Network for the Convention on the Rights of the Child,Nippon Children Parents Supporter,1
Initiative for Ending Violence against Children Japan,NPO Palette CRC Supporting Center,1
Initiative for Ending Violence against Children Japan,MY TREE Parents Program Center,1
CAP Center JAPAN,Fathering Japan,1
Eyes for Children in Tokai,SBI Children's Hope Foundation,1
Eyes for Children in Tokai,Japan Network for Prevention of Child Abuse and Neglect,1
Eyes for Children in Tokai,"Japan Society of Physical Education, Health and Sport Sciences",1
Eyes for Children in Tokai,MY TREE Parents Program Center,1
Eyes for Children in Tokai,Momrings,1
Eyes for Children in Tokai,NPO Palette CRC Supporting Center,1
Eyes for Children in Tokai,Network for the Convention on the Rights of the Child,1
Eyes for Children in Tokai,Nippon Children Parents Supporter,1
Eyes for Children in Tokai,Save the Children Japan,1
Fathering Japan,MY TREE Parents Program Center,1
Eyes for Children in Tokai,Support Center for Foster Families in Chiba,1
Eyes for Children in Tokai,Tiger Mask Fundation,1
Eyes for Children in Tokai,‘miku’- Parenting Magazine,1
Fathering Japan,General Research Institute of the Convention on the Right of the Child,1
Fathering Japan,Human Rights Watch,1
Fathering Japan,Initiative for Ending Violence against Children Japan,1
Fathering Japan,Japan Network for Prevention of Child Abuse and Neglect,1
Eyes for Children in Tokai,Initiative for Ending Violence against Children Japan,1
Eyes for Children in Tokai,Human Rights Watch,1
Eyes for Children in Tokai,General Research Institute of the Convention on the Right of the Child,1
Eyes for Children in Tokai,Fathering Japan,1
CAP Center JAPAN,General Research Institute of the Convention on the Right of the Child,1
CAP Center JAPAN,Human Rights Watch,1
CAP Center JAPAN,Initiative for Ending Violence against Children Japan,1
CAP Center JAPAN,Japan Network for Prevention of Child Abuse and Neglect,1
CAP Center JAPAN,"Japan Society of Physical Education, Health and Sport Sciences",1
CAP Center JAPAN,MY TREE Parents Program Center,1
CAP Center JAPAN,Momrings,1
CAP Center JAPAN,NPO Palette CRC Supporting Center,1
CAP Center JAPAN,Network for the Convention on the Rights of the Child,1
CAP Center JAPAN,Nippon Children Parents Supporter,1
CAP Center JAPAN,SBI Children's Hope Foundation,1
CAP Center JAPAN,Save the Children Japan,1
CAP Center JAPAN,Support Center for Foster Families in Chiba,1
CAP Center JAPAN,Tiger Mask Fundation,1
CAP Center JAPAN,‘miku’- Parenting Magazine,1
Fathering Japan,"Japan Society of Physical Education, Health and Sport Sciences",1
Fathering Japan,Momrings,1
Initiative for Ending Violence against Children Japan,"Japan Society of Physical Education, Health and Sport Sciences",1
Human Rights Watch,NPO Palette CRC Supporting Center,1
General Research Institute of the Convention on the Right of the Child,Tiger Mask Fundation,1
General Research Institute of the Convention on the Right of the Child,‘miku’- Parenting Magazine,1
Human Rights Watch,Initiative for Ending Violence against Children Japan,1
Human Rights Watch,Japan Network for Prevention of Child Abuse and Neglect,1
Human Rights Watch,"Japan Society of Physical Education, Health and Sport Sciences",1
Human Rights Watch,MY TREE Parents Program Center,1
Human Rights Watch,Momrings,1
Human Rights Watch,Network for the Convention on the Rights of the Child,1
Fathering Japan,NPO Palette CRC Supporting Center,1
Human Rights Watch,Nippon Children Parents Supporter,1
Human Rights Watch,SBI Children's Hope Foundation,1
Human Rights Watch,Save the Children Japan,1
Human Rights Watch,Support Center for Foster Families in Chiba,1
Human Rights Watch,Tiger Mask Fundation,1
Human Rights Watch,‘miku’- Parenting Magazine,1
Initiative for Ending Violence against Children Japan,Japan Network for Prevention of Child Abuse and Neglect,1
General Research Institute of the Convention on the Right of the Child,Support Center for Foster Families in Chiba,1
General Research Institute of the Convention on the Right of the Child,Save the Children Japan,1
General Research Institute of the Convention on the Right of the Child,SBI Children's Hope Foundation,1
General Research Institute of the Convention on the Right of the Child,Nippon Children Parents Supporter,1
Fathering Japan,Network for the Convention on the Rights of the Child,1
Fathering Japan,Nippon Children Parents Supporter,1
Fathering Japan,SBI Children's Hope Foundation,1
Fathering Japan,Save the Children Japan,1
Fathering Japan,Support Center for Foster Families in Chiba,1
Fathering Japan,Tiger Mask Fundation,1
Fathering Japan,‘miku’- Parenting Magazine,1
General Research Institute of the Convention on the Right of the Child,Human Rights Watch,1
General Research Institute of the Convention on the Right of the Child,Initiative for Ending Violence against Children Japan,1
General Research Institute of the Convention on the Right of the Child,Japan Network for Prevention of Child Abuse and Neglect,1
General Research Institute of the Convention on the Right of the Child,"Japan Society of Physical Education, Health and Sport Sciences",1
General Research Institute of the Convention on the Right of the Child,MY TREE Parents Program Center,1
General Research Institute of the Convention on the Right of the Child,Momrings,1
General Research Institute of the Convention on the Right of the Child,NPO Palette CRC Supporting Center,1
General Research Institute of the Convention on the Right of the Child,Network for the Convention on the Rights of the Child,1
Tiger Mask Fundation,‘miku’- Parenting Magazine,1
