Source,Target,Weight
Abraheem Qushear – activist in Human Rights at Albalqa’a Applied University,Leen Hosam Gharaibeh - activist in Human Rights at- University of Jordan,1
Abraheem Qushear – activist in Human Rights at Albalqa’a Applied University,"Mistika Center for Training and Development, which includes Hamza Abdallah Abualhayja’a - manager of Mestika Center and leader of this alliance",1
Abraheem Qushear – activist in Human Rights at Albalqa’a Applied University,Mohamed Ali Alawneh – activist in Human Rights at Yarmouk University,1
Abraheem Qushear – activist in Human Rights at Albalqa’a Applied University,"Mohamed Swedat - activist in Human Rights at Jordan University of Science and Technology, Sameer Mashhour - Manager of Human Rights Club in University of Jordan",1
Abraheem Qushear – activist in Human Rights at Albalqa’a Applied University,and Abdualrahman Abu Shaban- activist in Human Rights at Jordan University of science and Technology,1
Leen Hosam Gharaibeh - activist in Human Rights at- University of Jordan,"Mistika Center for Training and Development, which includes Hamza Abdallah Abualhayja’a - manager of Mestika Center and leader of this alliance",1
Leen Hosam Gharaibeh - activist in Human Rights at- University of Jordan,Mohamed Ali Alawneh – activist in Human Rights at Yarmouk University,1
Leen Hosam Gharaibeh - activist in Human Rights at- University of Jordan,"Mohamed Swedat - activist in Human Rights at Jordan University of Science and Technology, Sameer Mashhour - Manager of Human Rights Club in University of Jordan",1
Leen Hosam Gharaibeh - activist in Human Rights at- University of Jordan,and Abdualrahman Abu Shaban- activist in Human Rights at Jordan University of science and Technology,1
"Mistika Center for Training and Development, which includes Hamza Abdallah Abualhayja’a - manager of Mestika Center and leader of this alliance",Mohamed Ali Alawneh – activist in Human Rights at Yarmouk University,1
"Mistika Center for Training and Development, which includes Hamza Abdallah Abualhayja’a - manager of Mestika Center and leader of this alliance","Mohamed Swedat - activist in Human Rights at Jordan University of Science and Technology, Sameer Mashhour - Manager of Human Rights Club in University of Jordan",1
"Mistika Center for Training and Development, which includes Hamza Abdallah Abualhayja’a - manager of Mestika Center and leader of this alliance",and Abdualrahman Abu Shaban- activist in Human Rights at Jordan University of science and Technology,1
Mohamed Ali Alawneh – activist in Human Rights at Yarmouk University,"Mohamed Swedat - activist in Human Rights at Jordan University of Science and Technology, Sameer Mashhour - Manager of Human Rights Club in University of Jordan",1
Mohamed Ali Alawneh – activist in Human Rights at Yarmouk University,and Abdualrahman Abu Shaban- activist in Human Rights at Jordan University of science and Technology,1
"Mohamed Swedat - activist in Human Rights at Jordan University of Science and Technology, Sameer Mashhour - Manager of Human Rights Club in University of Jordan",and Abdualrahman Abu Shaban- activist in Human Rights at Jordan University of science and Technology,1
