Source,Target,Weight
Agency for Legal Information and Journalistic Investigation “Vityaz” (Kazakhstan),Association of Religious Organisations of Kazakhstan (AROK) (Kazakhstan),1
Feminist League (Kazakhstan),"Kazakhstan’s feminist initiative “Feminita”, Almaty (Kazakhstan), Commission on the Rights of Persons with Disabilities named after Kairat Imanaliyev (Kazakhstan)",1
"Kazakhstan’s feminist initiative “Feminita”, Almaty (Kazakhstan), Commission on the Rights of Persons with Disabilities named after Kairat Imanaliyev (Kazakhstan)",Women Support Center Foundation (Kazakhstan),1
"Kazakhstan International Bureau for Human Rights and Rule of Law, Almaty (Kazakhstan), Legal Policy Research Centre (Kazakhstan), “Kadir-kasiet”, Nur-Sultan (Kazakhstan)","“Ar.Rukh.Khak. Foundation, Almaty (Kazakhstan)",1
"Kazakhstan International Bureau for Human Rights and Rule of Law, Almaty (Kazakhstan), Legal Policy Research Centre (Kazakhstan), “Kadir-kasiet”, Nur-Sultan (Kazakhstan)","“Aman Saulyk”, Almaty (Kazakhstan), CCPR-Centre, Geneva (Switzerland), Freedom of Speech International Foundation “Adil Soz”, Almaty (Kazakhstan)",1
"Kazakhstan International Bureau for Human Rights and Rule of Law, Almaty (Kazakhstan), Development of Parliamentarism in Kazakhstan Foundation, Nur-Sultan (Kazakhstan)",Women Support Center Foundation (Kazakhstan),1
"Kazakhstan International Bureau for Human Rights and Rule of Law, Almaty (Kazakhstan), Development of Parliamentarism in Kazakhstan Foundation, Nur-Sultan (Kazakhstan)","Kazakhstan’s feminist initiative “Feminita”, Almaty (Kazakhstan), Commission on the Rights of Persons with Disabilities named after Kairat Imanaliyev (Kazakhstan)",1
"International Legal Initiative, Almaty (Kazakhstan), “Kadir- kasiet”, Nur-Sultan (Kazakhstan), Development of Parliamentarism Foundation (Kazakhstan), Taldykorgan Human Rights Center (Kazakhstan), Liberty Foundation, Almaty (Kazakhstan), CCPR-Centre, Geneva (Switzerland)","Kazakhstan International Bureau for Human Rights and Rule of Law, Almaty (Kazakhstan), Charter for Human Rights, Almaty (Kazakhstan), Legal Policy Research Centre (Kazakhstan)",1
"International Center for Journalism MediaNet, Almaty (Kazakhstan)","“Ar.Rukh.Khak. Foundation, Almaty (Kazakhstan)",1
"International Center for Journalism MediaNet, Almaty (Kazakhstan)","“Aman Saulyk”, Almaty (Kazakhstan), CCPR-Centre, Geneva (Switzerland), Freedom of Speech International Foundation “Adil Soz”, Almaty (Kazakhstan)",1
