Source,Target,Weight
"Healthy Eita Maeao Organisation (HEMO), (Kiribati)","Kiribati Women in Maritime Association (K-WIMA), (Kiribati)",4
"Healthy Eita Maeao Organisation (HEMO), (Kiribati)","Reitan Aine ni Kamatu (RAK), (Kiribati)",4
"Kiribati Women in Maritime Association (K-WIMA), (Kiribati)","Reitan Aine ni Kamatu (RAK), (Kiribati)",4
"Aia Mwaea Ainen Kiribati (AMAK), (Kiribati)","Kiribati Scouts Association (KSA), (Kiribati)",3
"Healthy Eita Maeao Organisation (HEMO), (Kiribati)","Kiribati Scouts Association (KSA), (Kiribati)",3
"Healthy Eita Maeao Organisation (HEMO), (Kiribati)","Kiribati Family Health Association (KFHA), (Kiribati)",3
"Aia Mwaea Ainen Kiribati (AMAK), (Kiribati)","Reitan Aine ni Kamatu (RAK), (Kiribati)",3
"Aia Mwaea Ainen Kiribati (AMAK), (Kiribati)","Kiribati Women in Maritime Association (K-WIMA), (Kiribati)",3
"Aia Mwaea Ainen Kiribati (AMAK), (Kiribati)","Healthy Eita Maeao Organisation (HEMO), (Kiribati)",3
"Kiribati Scouts Association (KSA), (Kiribati)","Kiribati Women in Maritime Association (K-WIMA), (Kiribati)",3
"Kiribati Scouts Association (KSA), (Kiribati)","Reitan Aine ni Kamatu (RAK), (Kiribati)",3
"Kiribati Family Health Association (KFHA), (Kiribati)","Reitan Aine ni Kamatu (RAK), (Kiribati)",3
"Kiribati Family Health Association (KFHA), (Kiribati)","Kiribati Women in Maritime Association (K-WIMA), (Kiribati)",3
"Assemblies of God (AOG), (Kiribati)","Kiribati Family Health Association (KFHA), (Kiribati)",2
"Kiribati Red Cross Society (KRCS), (Kiribati)","Kiribati Scouts Association (KSA), (Kiribati)",2
"Aia Mwaea Ainen Kiribati (AMAK), (Kiribati)","Kiribati Family Health Association (KFHA), (Kiribati)",2
"Irekenrao, (Kiribati)","Te Toa Matoa (TTM), (Kiribati)",2
"Aia Mwaea Ainen Kiribati (AMAK), (Kiribati)","Te Toa Matoa (TTM), (Kiribati)",2
"Assemblies of God (AOG), (Kiribati)","Healthy Eita Maeao Organisation (HEMO), (Kiribati)",2
"Healthy Eita Maeao Organisation (HEMO), (Kiribati)","Kiribati Red Cross Society (KRCS), (Kiribati)",2
"Reitan Aine ni Kamatu (RAK), (Kiribati)","Te Toa Matoa (TTM), (Kiribati)",2
"Aia Mwaea Ainen Kiribati (AMAK), (Kiribati)","Kiribati Red Cross Society (KRCS), (Kiribati)",2
"Kiribati Red Cross Society (KRCS), (Kiribati)","Kiribati Women in Maritime Association (K-WIMA), (Kiribati)",2
"Kiribati Red Cross Society (KRCS), (Kiribati)","Reitan Aine ni Kamatu (RAK), (Kiribati)",2
"Assemblies of God (AOG), (Kiribati)","Kiribati Women in Maritime Association (K-WIMA), (Kiribati)",2
"Healthy Eita Maeao Organisation (HEMO), (Kiribati)","Te Toa Matoa (TTM), (Kiribati)",2
"Assemblies of God (AOG), (Kiribati)","Reitan Aine ni Kamatu (RAK), (Kiribati)",2
"Kiribati Women in Maritime Association (K-WIMA), (Kiribati)","Te Toa Matoa (TTM), (Kiribati)",2
"Kiribati Scouts Association (KSA), (Kiribati)","Te Toa Matoa (TTM), (Kiribati)",2
"Kiribati Family Health Association (KFHA), (Kiribati)","Kiribati Scouts Association (KSA), (Kiribati)",2
"Kiribati Family Health Association (KFHA), (Kiribati)","Kiribati Red Cross Society (KRCS), (Kiribati)",2
"Marewen Tabiteuea Meang, (Kiribati)","Ueen te Toaki, (Kiribati)",1
"Marewen Tabiteuea Meang, (Kiribati)","Ueen te Ueanikai, (Kiribati)",1
"Marewen Tabiteuea Meang, (Kiribati)","Ueen te Makeke, (Kiribati)",1
"Marewen Tabiteuea Meang, (Kiribati)","Ueen te Bitati, (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Nei Mom, (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Ministry of Women in Action (MOWIA), (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Nei Baneawa, (Kiribati)",1
"Marewen Tabiteuea Meang, (Kiribati)","Ueen Kirabun Eutan Tarawa Ieta (UKETI), (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Nei Tiwiita, (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Ngareia, (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Nikabubutin Makin, (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Reitan Ainen Boretetanti (RAB), (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Reitan Ainen KUC (RAK), (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Reitan Nanoia Ainen Onotoa, (Kiribati)",1
"Marewen Tabiteuea Meang, (Kiribati)","Ueen Tebike, (Kiribati)",1
),"Aia Mwaea Ainen Kiribati (AMAK), (Kiribati)",1
"Marewen Tabiteuea Meang, (Kiribati)","Ueen Benita, (Kiribati)",1
