Source,Target,Weight
Equality Now,Salam for Democracy and Human Rights,2
Global Campaign for Equal Nationality Rights,Salam for Democracy and Human Rights,2
Equality Now,Global Campaign for Equal Nationality Rights,2
11.11.11,Abaad,1
Juvenile Justice System in Lebanon (which includes The Arab NGO Network for Development,"and Himaya), Beirut (Lebanon)",1
International Humanitarian Relief,Syrian League for Citizenship,1
International Humanitarian Relief,Violation Documentation Center in Syria,1
"International Volunteerism Organisation for Women, Education, Development (VIDES International)",Istituto Internazionale Maria Ausiliatrice (which includes Istituto Internazionale Maria Ausiliatrice (IIMA),1
"International Volunteerism Organisation for Women, Education, Development (VIDES International)",Office International de l’Enseignement Catholique (OIEC),1
"International Volunteerism Organisation for Women, Education, Development (VIDES International)","Secrétariat Général des Ecoles Catholiques au Liban (SGEC-L)), Veyrier (Switzerland)",1
Issam Fares Institute for Public Policy and International Affair,Refugees = Partners,1
Issam Fares Institute for Public Policy and International Affair,Syrian League for Citizenship,1
Issam Fares Institute for Public Policy and International Affair,Violation Documentation Center in Syria,1
Istituto Internazionale Maria Ausiliatrice (which includes Istituto Internazionale Maria Ausiliatrice (IIMA),Office International de l’Enseignement Catholique (OIEC),1
Istituto Internazionale Maria Ausiliatrice (which includes Istituto Internazionale Maria Ausiliatrice (IIMA),"Secrétariat Général des Ecoles Catholiques au Liban (SGEC-L)), Veyrier (Switzerland)",1
Juvenile Justice System in Lebanon (which includes The Arab NGO Network for Development,Mouvement Social,1
Lebanese Center for Human Rights (CLDH),Lebanese Democratic Women's Gathering 9rdfl),1
Lebanese Association for Democratic Election – LADE,Lebanese Transparency Association,1
International Humanitarian Relief,Issam Fares Institute for Public Policy and International Affair,1
Lebanese Center for Human Rights (CLDH),Palestinian Human Rights Organisation (which includes EuroMed Rights,1
Lebanese Center for Human Rights (CLDH),Refugee Rights Center (Returnees),1
Lebanese Center for Human Rights (CLDH),"Women Charitable Association, Development Action Without Borders Association (Nab'a)",1
Lebanese Center for Human Rights (CLDH),"Youth Association for Development, Churches Complex for Social Service, Development Center for Strategic Studies and Human Resource Development), Beirut (Lebanon)",1
Lebanese Center for Human Rights – CLDH,Legal Agenda,1
