Source,Target,Weight
Aman Organisation against Discrimination (Libya),Cairo Institute for Human Rights Studies (Egypt),1
Aman Organisation against Discrimination (Libya),Libya Platform (Libya),1
"Human Security Collective, and Tamazight Women’s Movement","“I am a Libyan Woman, but my Child is a Foreigner” Association for Charity and Civil Work",1
"Human Security Collective, and Tamazight Women’s Movement",Makers of Hope,1
Haqi for Libyan Female Workers,"“I am a Libyan Woman, but my Child is a Foreigner” Association for Charity and Civil Work",1
Haqi for Libyan Female Workers,Makers of Hope,1
Haqi for Libyan Female Workers,"Human Security Collective, and Tamazight Women’s Movement",1
Cairo Institute for Human Rights Studies (Egypt),Libya Platform (Libya),1
CORDAID,"“I am a Libyan Woman, but my Child is a Foreigner” Association for Charity and Civil Work",1
CORDAID,Makers of Hope,1
CORDAID,"Human Security Collective, and Tamazight Women’s Movement",1
CORDAID,Haqi for Libyan Female Workers,1
Aman Organization Against Discrimination,"“I am a Libyan Woman, but my Child is a Foreigner” Association for Charity and Civil Work",1
Aman Organization Against Discrimination,Makers of Hope,1
Aman Organization Against Discrimination,"Human Security Collective, and Tamazight Women’s Movement",1
Aman Organization Against Discrimination,Haqi for Libyan Female Workers,1
Aman Organization Against Discrimination,CORDAID,1
Makers of Hope,"“I am a Libyan Woman, but my Child is a Foreigner” Association for Charity and Civil Work",1
