Source,Target,Weight
Ante Litteram (AL),"Coalition of Human Rights Organizations Lithuania (HROC), Vilnius (Lithuania) including the following members of HROC and its partner organisations: The Center for Equality Advancement (CEA)",1
Ante Litteram (AL),Diversity Development Group (DDG),1
Diversity Development Group (DDG),Tolerant Youth Association (TJA or TYA),1
Lithuanian Centre for Human Rights (LCHR),Lithuanian Jewish (Litvak) Community,1
Lithuanian Centre for Human Rights (LCHR),Lithuanian disability forum (LNF),1
Lithuanian Centre for Human Rights (LCHR),Mental Health Perspectives,1
Lithuanian Centre for Human Rights (LCHR),National LGBT Rights organization LGL,1
Lithuanian Centre for Human Rights (LCHR),Tolerant Youth Association (TJA or TYA),1
Lithuanian Jewish (Litvak) Community,Lithuanian disability forum (LNF),1
Lithuanian Jewish (Litvak) Community,Mental Health Perspectives,1
Lithuanian Jewish (Litvak) Community,National LGBT Rights organization LGL,1
Lithuanian Jewish (Litvak) Community,Tolerant Youth Association (TJA or TYA),1
Lithuanian disability forum (LNF),Mental Health Perspectives,1
Lithuanian disability forum (LNF),National LGBT Rights organization LGL,1
Lithuanian disability forum (LNF),Tolerant Youth Association (TJA or TYA),1
Mental Health Perspectives,National LGBT Rights organization LGL,1
Mental Health Perspectives,Tolerant Youth Association (TJA or TYA),1
Diversity Development Group (DDG),National LGBT Rights organization LGL,1
Diversity Development Group (DDG),Mental Health Perspectives,1
Diversity Development Group (DDG),Lithuanian disability forum (LNF),1
"Coalition of Human Rights Organizations Lithuania (HROC), Vilnius (Lithuania) including the following members of HROC and its partner organisations: The Center for Equality Advancement (CEA)",Diversity Development Group (DDG),1
Ante Litteram (AL),Lithuanian Centre for Human Rights (LCHR),1
Ante Litteram (AL),Lithuanian Jewish (Litvak) Community,1
Ante Litteram (AL),Lithuanian disability forum (LNF),1
Ante Litteram (AL),Mental Health Perspectives,1
Ante Litteram (AL),National LGBT Rights organization LGL,1
Ante Litteram (AL),Tolerant Youth Association (TJA or TYA),1
"Coalition of Human Rights Organizations Lithuania (HROC), Vilnius (Lithuania) including the following members of HROC and its partner organisations: The Center for Equality Advancement (CEA)",Lithuanian Centre for Human Rights (LCHR),1
Diversity Development Group (DDG),Lithuanian Jewish (Litvak) Community,1
"Coalition of Human Rights Organizations Lithuania (HROC), Vilnius (Lithuania) including the following members of HROC and its partner organisations: The Center for Equality Advancement (CEA)",Lithuanian Jewish (Litvak) Community,1
"Coalition of Human Rights Organizations Lithuania (HROC), Vilnius (Lithuania) including the following members of HROC and its partner organisations: The Center for Equality Advancement (CEA)",Lithuanian disability forum (LNF),1
"Coalition of Human Rights Organizations Lithuania (HROC), Vilnius (Lithuania) including the following members of HROC and its partner organisations: The Center for Equality Advancement (CEA)",Mental Health Perspectives,1
"Coalition of Human Rights Organizations Lithuania (HROC), Vilnius (Lithuania) including the following members of HROC and its partner organisations: The Center for Equality Advancement (CEA)",National LGBT Rights organization LGL,1
"Coalition of Human Rights Organizations Lithuania (HROC), Vilnius (Lithuania) including the following members of HROC and its partner organisations: The Center for Equality Advancement (CEA)",Tolerant Youth Association (TJA or TYA),1
Diversity Development Group (DDG),Lithuanian Centre for Human Rights (LCHR),1
National LGBT Rights organization LGL,Tolerant Youth Association (TJA or TYA),1
