Source,Target,Weight
Association Mauritanienne d’Aide aux Nécessiteux,Association des Femmes Cheffes de Famille,1
Association Mauritanienne d’Aide aux Nécessiteux,Cadre de Concertation des Rescapés Mauritaniens,1
Forum des Organisations Nationales des Droits Humains en Mauritanie,"SOS- Esclaves, Geneva, Switzerland",1
Forum des Organisations Nationales des Droits Humains en Mauritanie,"Organisation pour le Développement International, Social, Solidaire et Intégré",1
Comité de Solidarité avec les Victimes de Violations des Droits de l’Homme,"SOS- Esclaves, Geneva, Switzerland",1
Comité de Solidarité avec les Victimes de Violations des Droits de l’Homme,"Organisation pour le Développement International, Social, Solidaire et Intégré",1
Comité de Solidarité avec les Victimes de Violations des Droits de l’Homme,Forum des Organisations Nationales des Droits Humains en Mauritanie,1
"Centre for Civil and Political Rights, Coordination des Organisations des Victimes de la Répression","SOS- Esclaves, Geneva, Switzerland",1
"Centre for Civil and Political Rights, Coordination des Organisations des Victimes de la Répression","Organisation pour le Développement International, Social, Solidaire et Intégré",1
"Centre for Civil and Political Rights, Coordination des Organisations des Victimes de la Répression",Forum des Organisations Nationales des Droits Humains en Mauritanie,1
"Centre for Civil and Political Rights, Coordination des Organisations des Victimes de la Répression",Comité de Solidarité avec les Victimes de Violations des Droits de l’Homme,1
Cadre de Concertation des Rescapés Mauritaniens,"SOS- Esclaves, Geneva, Switzerland",1
Cadre de Concertation des Rescapés Mauritaniens,"Organisation pour le Développement International, Social, Solidaire et Intégré",1
Cadre de Concertation des Rescapés Mauritaniens,Forum des Organisations Nationales des Droits Humains en Mauritanie,1
Cadre de Concertation des Rescapés Mauritaniens,Comité de Solidarité avec les Victimes de Violations des Droits de l’Homme,1
Cadre de Concertation des Rescapés Mauritaniens,"Centre for Civil and Political Rights, Coordination des Organisations des Victimes de la Répression",1
Association des Femmes Cheffes de Famille,"SOS- Esclaves, Geneva, Switzerland",1
Association des Femmes Cheffes de Famille,"Organisation pour le Développement International, Social, Solidaire et Intégré",1
Association des Femmes Cheffes de Famille,Forum des Organisations Nationales des Droits Humains en Mauritanie,1
Association des Femmes Cheffes de Famille,Comité de Solidarité avec les Victimes de Violations des Droits de l’Homme,1
Association des Femmes Cheffes de Famille,"Centre for Civil and Political Rights, Coordination des Organisations des Victimes de la Répression",1
Association des Femmes Cheffes de Famille,Cadre de Concertation des Rescapés Mauritaniens,1
Association Mauritanienne d’Aide aux Nécessiteux,"SOS- Esclaves, Geneva, Switzerland",1
Association Mauritanienne d’Aide aux Nécessiteux,"Organisation pour le Développement International, Social, Solidaire et Intégré",1
Association Mauritanienne d’Aide aux Nécessiteux,Forum des Organisations Nationales des Droits Humains en Mauritanie,1
Association Mauritanienne d’Aide aux Nécessiteux,Comité de Solidarité avec les Victimes de Violations des Droits de l’Homme,1
Association Mauritanienne d’Aide aux Nécessiteux,"Centre for Civil and Political Rights, Coordination des Organisations des Victimes de la Répression",1
"Organisation pour le Développement International, Social, Solidaire et Intégré","SOS- Esclaves, Geneva, Switzerland",1
