Source,Target,Weight
(México),American Friends Service Committee,1
Consejo Nacional para la Defensa del Derecho Humano a la Salud,Red Nacional de Derechos Humanos,1
"I(dh)eas, Litigio Estratégico en Derechos Humanos. (México)",International Federation for Human Rights (FIDH),1
"GE.18-13935 11 VIDES International – International Volunteerism Organization for Women, Education, Development (Switzerland)",IIMA- Istituto Internazionale Maria Ausiliatrice,1
"Fundación Afromexicana Petra Morga, A.C.","Unidad para el Progreso de Oaxaca, A.C. (México)",1
"Fundación Afromexicana Petra Morga, A.C.",Red de Mujeres Guerreras Afromexicanas,1
"Fundación Afromexicana Petra Morga, A.C.","Proyecto Ascendencia México, A.C.",1
"Fundación Afromexicana Petra Morga, A.C.","Presente y Cambio, Ciudadanía Activa MX",1
"Fundación Afromexicana Petra Morga, A.C.","Mano amiga de la costa chica, A.C.",1
Friends of The African Union Global Solutions Center (FAU),Projects of LIFE Lara. (United States of America),1
Friends of The African Union Global Solutions Center (FAU),"New Future Foundation, Inc. (NFF)",1
Consejo Nacional para la Defensa del Derecho Humano a la Salud,Liga Mexicana para la Defensa de los Derechos Humanos-Filial Región Sureste. (México),1
Instituto Superior Intercultural Ayuuk. Organizaciones: Data Cívica,"Instituto de Derechos Humanos “Ignacio Ellacuría, SJ” de la Universidad Iberoamericana, Puebla",1
Comité de base de derechos humanos Digna Ochoa de Chiapas,Red Nacional de Derechos Humanos,1
Comité de base de derechos humanos Digna Ochoa de Chiapas,Liga Mexicana para la Defensa de los Derechos Humanos-Filial Región Sureste. (México),1
Comité de base de derechos humanos Digna Ochoa de Chiapas,Consejo Nacional para la Defensa del Derecho Humano a la Salud,1
Comisión Mexicana de Defensa y Promoción de los Derechos Humanos,"Sin Fronteras, I.A.P.",1
Comisión Mexicana de Defensa y Promoción de los Derechos Humanos,"Programa de Derechos Humanos y Educación para la Paz de la Universidad Iberoamericana, Torreón",1
Comisión Mexicana de Defensa y Promoción de los Derechos Humanos,"Programa de Derechos Humanos de la Universidad Iberoamericana, Ciudad de México-Tijuana",1
Comisión Mexicana de Defensa y Promoción de los Derechos Humanos,Programa Institucional de Derechos Humanos y Paz del Instituto Tecnológico y de Estudios Superiores de Occidente,1
Comisión Mexicana de Defensa y Promoción de los Derechos Humanos,"Programa Casa Refugiados, A.C.",1
Comisión Mexicana de Defensa y Promoción de los Derechos Humanos,"Instituto de Derechos Humanos “Ignacio Ellacuría, SJ” de la Universidad Iberoamericana, Puebla",1
"I(dh)eas, Litigio Estratégico en Derechos Humanos. (México)",Organización Mundial Contra la Tortura,1
Instituto Superior Intercultural Ayuuk. Organizaciones: Data Cívica,Programa Institucional de Derechos Humanos y Paz del Instituto Tecnológico y de Estudios Superiores de Occidente,1
Comisión Mexicana De Defensa Y Promoción De Derechos Humanos,Organización Mundial Contra la Tortura,1
"New Future Foundation, Inc. (NFF)",Projects of LIFE Lara. (United States of America),1
"Proyecto Ascendencia México, A.C.","Unidad para el Progreso de Oaxaca, A.C. (México)",1
"Proyecto Ascendencia México, A.C.",Red de Mujeres Guerreras Afromexicanas,1
"Programa de Derechos Humanos de la Universidad Iberoamericana, Ciudad de México-Tijuana","Programa de Derechos Humanos y Educación para la Paz de la Universidad Iberoamericana, Torreón",1
Programa Institucional de Derechos Humanos y Paz del Instituto Tecnológico y de Estudios Superiores de Occidente,"Programa de Derechos Humanos y Educación para la Paz de la Universidad Iberoamericana, Torreón",1
Programa Institucional de Derechos Humanos y Paz del Instituto Tecnológico y de Estudios Superiores de Occidente,"Programa de Derechos Humanos de la Universidad Iberoamericana, Ciudad de México-Tijuana",1
"Programa Casa Refugiados, A.C.","Sin Fronteras, I.A.P.",1
"Presente y Cambio, Ciudadanía Activa MX","Unidad para el Progreso de Oaxaca, A.C. (México)",1
"Presente y Cambio, Ciudadanía Activa MX",Red de Mujeres Guerreras Afromexicanas,1
"Presente y Cambio, Ciudadanía Activa MX","Proyecto Ascendencia México, A.C.",1
"Mano amiga de la costa chica, A.C.","Unidad para el Progreso de Oaxaca, A.C. (México)",1
Instituto Superior Intercultural Ayuuk. Organizaciones: Data Cívica,"Programa de Derechos Humanos de la Universidad Iberoamericana, Ciudad de México-Tijuana",1
"Mano amiga de la costa chica, A.C.",Red de Mujeres Guerreras Afromexicanas,1
"Mano amiga de la costa chica, A.C.","Proyecto Ascendencia México, A.C.",1
"Mano amiga de la costa chica, A.C.","Presente y Cambio, Ciudadanía Activa MX",1
Liga Mexicana para la Defensa de los Derechos Humanos-Filial Región Sureste. (México),Red Nacional de Derechos Humanos,1
International Federation for Human Rights (FIDH),Organización Mundial Contra la Tortura,1
"Instituto de Derechos Humanos “Ignacio Ellacuría, SJ” de la Universidad Iberoamericana, Puebla","Programa de Derechos Humanos y Educación para la Paz de la Universidad Iberoamericana, Torreón",1
"Instituto de Derechos Humanos “Ignacio Ellacuría, SJ” de la Universidad Iberoamericana, Puebla","Programa de Derechos Humanos de la Universidad Iberoamericana, Ciudad de México-Tijuana",1
"Instituto de Derechos Humanos “Ignacio Ellacuría, SJ” de la Universidad Iberoamericana, Puebla",Programa Institucional de Derechos Humanos y Paz del Instituto Tecnológico y de Estudios Superiores de Occidente,1
Instituto Superior Intercultural Ayuuk. Organizaciones: Data Cívica,"Programa de Derechos Humanos y Educación para la Paz de la Universidad Iberoamericana, Torreón",1
Comisión Mexicana de Defensa y Promoción de los Derechos Humanos,Instituto Superior Intercultural Ayuuk. Organizaciones: Data Cívica,1
Comisión Mexicana De Defensa Y Promoción De Derechos Humanos,International Federation for Human Rights (FIDH),1
(México),Asylum Access México,1
2. La REDODEM: Red de Organizaciones Defensoras de Personas Migrantes,y 4. Espacio OSC. (México),1
American Friends Service Committee,"Sin Fronteras, I.A.P.",1
American Friends Service Committee,"Programa Casa Refugiados, A.C.",1
American Friends Service Committee,Comisión Mexicana de Defensa y Promoción de los Derechos Humanos,1
American Friends Service Committee,"Coalición Internacional contra la Detención (IDC, siglas en inglés)",1
American Friends Service Committee,"Centro de Derechos Humanos Fray Matías de Córdova, A.C.",1
American Friends Service Committee,"Casa del Migrante de Saltillo — Frontera con Justicia, A.C.",1
American Friends Service Committee,Asylum Access México,1
"ARTICLE 19, Committee to Protect Journalists (CPJ) and PEN International (United Kingdom of Great Britain and Northern Ireland)",GE.18-13935 13,1
3. Grupo de Trabajo de Políticas Migratoria,y 4. Espacio OSC. (México),1
2. La REDODEM: Red de Organizaciones Defensoras de Personas Migrantes,3. Grupo de Trabajo de Políticas Migratoria,1
Artículo 19. (México),Instituto Superior Intercultural Ayuuk. Organizaciones: Data Cívica,1
"1. Artículo 19 2. Asistencia Legal por los Derechos Humanos (Asilegal) 3. Casa del Migrante Saltillo (CMS) 4. Centro de Derechos Humanos “Fray Bartolomé de Las Casas” 5. Centro de Derechos Humanos “Fray Francisco de Vitoria O.P” 6. Centro de Derechos Humanos “Fray Matías de Córdova” 7. Centro de Derechos Humanos “Miguel Agustín Pro Juárez” (Centro 12 GE.18-13935 Prodh) 8. Centro de Derechos Humanos de la Montaña, Tlachinollan 9. Centro de Derechos Humanos de las Mujeres (Cedehm) 10. Centro de Investigación y Capacitación Propuesta Cívica 11. Centro de Justicia para la Paz y el Desarrollo 12. Centro de los Derechos del Migrante (CDM) 13. Centro Diocesano para los Derechos Humanos “Fray Juan de Larios” 14. Centro Mexicano de Derecho Ambiental (Cemda) 15. Ciudadanos en Apoyo a los Derechos Humanos (Cadhac) 16. Colectivo contra la Tortura y la Impunidad (CCTI) 17. Comisión Ciudadana de Derechos Humanos del Noroeste 18. Comisión Mexicana de Defensa Y Promoción de los Derechos Humanos (CMDPDH) 19. Comité Cristiano de Solidaridad Monseñor Romero 20. Comité de Defensa Integral de Derechos Humanos Gobixha (Código DH) 21. Coordinadora Nacional Agua para Tod@s Agua para la Vida 22. Documenta, Análisis y Acción para la Justicia Social 23. Efecto Útil, Centro de Monitoreo sobre Organismos Públicos de Derechos Humanos 24. Estancia del Migrante González y Martínez 25. Frente Cívico Tonalteco 26. Fundación para la Justicia y el Estado Democrático de Derecho 27. Fundar, Centro de Análisis e Investigación 28. Idemo, Iniciativas para el Desarrollo de la Mujer Oaxaqueña 29. I(dh)eas, Litigio Estratégico en Derechos Humanos 30. Instituto de Derechos Humanos Ignacio Ellacuria, S.J. Universidad Iberoamericana- Puebla 31. Instituto Mexicano de Derechos Humanos y Democracia (IMDHD) 32. Los Comuner@s de Tezontepec de Aldama Hidalgo 33. Proyecto de Derechos Económicos, Sociales y Culturales (Prodesc) 34. Proyecto sobre Organización, Desarrollo, Educación e Investigación (PODER) 35. Red Balance Promoción para el Desarrollo y Juventud AC 36. Red Jesuita con Migrantes México 37. Red por los Derechos de la Infancia en México (REDIM) 38. Respuesta Alternativa, A. C. Servicio de Derechos Humanos y Desarrollo Comunitario 39. Serapaz, Servicios y Asesoría para la Paz 40. Sin Fronteras, IAP 41. Voces Mesoamericanas, Acción con Pueblos Migrantes AC Espacio de Coordinación de Organizaciones Civiles sobre Derechos Económicos, Sociales, Culturales y Ambientales (Espacio DESC) Redes: 1. Red Nacional de Organismos Civiles de Derechos Humanos “Todos los Derechos para Todas y Todos” (conformada por 84 organizaciones en 23 estados de la República mexicana)",y 4. Espacio OSC. (México),1
