Source,Target,Weight
"Institute for European Policies and Reforms, Chișinău (Republic of Moldova)","Legal Resources Centre from Moldova, Chișinău (Republic of Moldova)",2
"Legal Resources Centre from Moldova, Chișinău (Republic of Moldova)","Promo-LEX Association, Chișinău (Republic of Moldova)",2
Gender-Center,Keystone Moldova,2
"European Youth Forum, Brussels (Belgium)","National Youth Council of Moldova, Chișinău (Republic of Moldova)",2
Gender-Center,Promo-Lex,1
Gender-Center,Legal Resources Centre from Moldova,1
Gender-Center,Mildava,1
Gender-Center,Moldsolidaritate,1
Gender-Center,National Youth Council of Moldova,1
Gender-Center,"Platform for Gender Equality, Chișinău (Republic of Moldova) on behalf of : Association Against Violence in the Family “Casa Marioarei”",1
Gender-Center,Positive Initiative,1
Gender-Center,Pro-Cimișlia,1
"""Future LRG""","""Pro Community"" Bahrinesti",1
Gender-Center,Resource Center for Human Rights,1
Gender-Center,Union of Disability Organizations of the Republic of Moldova,1
Gender-Center,WPC 50/50,1
Gender-Center,Woman for the Contemporary Society,1
Gender-Center,Woman for the Future,1
Gender-Centre,HelpAge International Moldova),1
Gender-Centre,"HelpAge International Moldova, Chișinău (Republic of Moldova) on behalf of the Platform on Active Ageing (Prudens",1
Gender-Center,Rehabilitation Center for Torture Victims “Memoria”,1
Gender-Center,Institute for Human Rights,1
Gender-Center,Interaction,1
Gender-Center,"Informational Center ""GENDERDOC-M""",1
Forum of Women's Organizations of the Republic of Moldova,Pro-Cimișlia,1
Forum of Women's Organizations of the Republic of Moldova,Promo-Lex,1
Forum of Women's Organizations of the Republic of Moldova,Rehabilitation Center for Torture Victims “Memoria”,1
Forum of Women's Organizations of the Republic of Moldova,Resource Center for Human Rights,1
Forum of Women's Organizations of the Republic of Moldova,WPC 50/50,1
Forum of Women's Organizations of the Republic of Moldova,Woman for the Contemporary Society,1
Forum of Women's Organizations of the Republic of Moldova,Woman for the Future,1
"Freedom House, Washington D.C. (United States of America)","Public Association “Lawyers for Human Rights”, Chișinău (Republic of Moldova)",1
"GENDERDOC-M Information Centre, Chișinău (Republic of Moldova)","INVENTO, Chișinău (Republic of Moldova)",1
"GENDERDOC-M Information Centre, Chișinău (Republic of Moldova)","Municipal Youth Council from Chisinău, Chișinău (Republic of Moldova)",1
"GENDERDOC-M Information Centre, Chișinău (Republic of Moldova)","National Youth Council of Moldova, Chișinău (Republic of Moldova)",1
"GENDERDOC-M Information Centre, Chișinău (Republic of Moldova)","Youth Platform for Interethnic Solidarity, Chișinău (Republic of Moldova)",1
Gender-Center,Group of Feminist Initiatives in Moldova,1
Gender-Center,Honor and Rights of the Contemporary Woman,1
Gender-Center,Human Rights Association LEX XXI,1
Gender-Centre,IDIS Viitorul (Future),1
Gender-Centre,Inspiration Comrat,1
Forum of Women's Organizations of the Republic of Moldova,Moldsolidaritate,1
Gender-Centre,Neo Humanist,1
HelpAge International Moldova),Inspiration Comrat,1
HelpAge International Moldova),Neo Humanist,1
HelpAge International Moldova),PRO Democracy,1
HelpAge International Moldova),People for People,1
HelpAge International Moldova),Social Partnership,1
HelpAge International Moldova),Stimulus Ocnita,1
"HelpAge International Moldova, Chișinău (Republic of Moldova) on behalf of the Platform on Active Ageing (Prudens",IDIS Viitorul (Future),1
"HelpAge International Moldova, Chișinău (Republic of Moldova) on behalf of the Platform on Active Ageing (Prudens",Inspiration Comrat,1
"HelpAge International Moldova, Chișinău (Republic of Moldova) on behalf of the Platform on Active Ageing (Prudens",Neo Humanist,1
"HelpAge International Moldova, Chișinău (Republic of Moldova) on behalf of the Platform on Active Ageing (Prudens",PRO Democracy,1
"HelpAge International Moldova, Chișinău (Republic of Moldova) on behalf of the Platform on Active Ageing (Prudens",People for People,1
"HelpAge International Moldova, Chișinău (Republic of Moldova) on behalf of the Platform on Active Ageing (Prudens",Social Partnership,1
"HelpAge International Moldova, Chișinău (Republic of Moldova) on behalf of the Platform on Active Ageing (Prudens",Stimulus Ocnita,1
Honor and Rights of the Contemporary Woman,Human Rights Association LEX XXI,1
Honor and Rights of the Contemporary Woman,Interaction,1
Honor and Rights of the Contemporary Woman,Keystone Moldova,1
Honor and Rights of the Contemporary Woman,Mildava,1
HelpAge International Moldova),IDIS Viitorul (Future),1
HelpAge International Moldova),"HelpAge International Moldova, Chișinău (Republic of Moldova) on behalf of the Platform on Active Ageing (Prudens",1
Group of Feminist Initiatives in Moldova,Woman for the Future,1
Group of Feminist Initiatives in Moldova,Keystone Moldova,1
Gender-Centre,PRO Democracy,1
Gender-Centre,People for People,1
Gender-Centre,Social Partnership,1
Gender-Centre,Stimulus Ocnita,1
Group of Feminist Initiatives in Moldova,Honor and Rights of the Contemporary Woman,1
Group of Feminist Initiatives in Moldova,Human Rights Association LEX XXI,1
Group of Feminist Initiatives in Moldova,Interaction,1
Group of Feminist Initiatives in Moldova,Mildava,1
Group of Feminist Initiatives in Moldova,Woman for the Contemporary Society,1
Group of Feminist Initiatives in Moldova,Moldsolidaritate,1
Group of Feminist Initiatives in Moldova,"Platform for Gender Equality, Chișinău (Republic of Moldova) on behalf of : Association Against Violence in the Family “Casa Marioarei”",1
Group of Feminist Initiatives in Moldova,Pro-Cimișlia,1
Group of Feminist Initiatives in Moldova,Promo-Lex,1
Group of Feminist Initiatives in Moldova,Rehabilitation Center for Torture Victims “Memoria”,1
Group of Feminist Initiatives in Moldova,Resource Center for Human Rights,1
Group of Feminist Initiatives in Moldova,WPC 50/50,1
Forum of Women's Organizations of the Republic of Moldova,"Platform for Gender Equality, Chișinău (Republic of Moldova) on behalf of : Association Against Violence in the Family “Casa Marioarei”",1
Forum of Women's Organizations of the Republic of Moldova,Mildava,1
Honor and Rights of the Contemporary Woman,"Platform for Gender Equality, Chișinău (Republic of Moldova) on behalf of : Association Against Violence in the Family “Casa Marioarei”",1
