Source,Target,Weight
10 GE.21-02399,"International Service for Human Rights, Geneva (Switzerland), and Centro para Democracia e Desenvolvimento",1
Associação de Projectos e Pesquisas (APROPE – Association of Projects and Research),Centro de Democracia e Desenvolvimento (CDD – Center for Democracy and Development),1
"Justiça Ambiental JA! Maputo (Mozambique), Alternactiva",União Nacional de Camponeses (UNAC – National Peasants Union),1
"Justiça Ambiental JA! Maputo (Mozambique), Alternactiva",Observatório Cidadão para a Saúde (OCS – Citizens Observatory for Health),1
Justiça Ambiental (JA! – Environmental Justice),União Nacional de Camponeses (UNAC – National Peasants Union),1
Justiça Ambiental (JA! – Environmental Justice),Observatório Cidadão para a Saúde (OCS – Citizens Observatory for Health),1
Justiça Ambiental (JA! – Environmental Justice),"Justiça Ambiental JA! Maputo (Mozambique), Alternactiva",1
Hikone – Associação para o Empoderamento da Mulher (Association for Women’s Empowerment),União Nacional de Camponeses (UNAC – National Peasants Union),1
Hikone – Associação para o Empoderamento da Mulher (Association for Women’s Empowerment),Observatório Cidadão para a Saúde (OCS – Citizens Observatory for Health),1
Hikone – Associação para o Empoderamento da Mulher (Association for Women’s Empowerment),"Justiça Ambiental JA! Maputo (Mozambique), Alternactiva",1
Hikone – Associação para o Empoderamento da Mulher (Association for Women’s Empowerment),Justiça Ambiental (JA! – Environmental Justice),1
GE.21-02399 11,"Small Media London (United Kingdom), The Collaboration on International ICT Policy in East and Southern Africa (CIPESA), Fórum das Associações Moçambicanas das Pessoas com Deficiência (FAMOD), and The Association of the Blind and Partially Sighted of Mozambique (ACAMO)",1
"Coalition of Child Right focused NGOs for UPR-Mozambique, Maputo (Mozambique, Rede CAME, Rede da Criança, ROSC","Save the Children, ADRA, Aldeia de Crianças SOS Mozambique, Diakonia, Right To Play, Terre des Hommes Mozambique, ChildFund Mozambique and FDC.)",1
Centro de Democracia e Desenvolvimento (CDD – Center for Democracy and Development),União Nacional de Camponeses (UNAC – National Peasants Union),1
Centro de Democracia e Desenvolvimento (CDD – Center for Democracy and Development),Observatório Cidadão para a Saúde (OCS – Citizens Observatory for Health),1
Centro de Democracia e Desenvolvimento (CDD – Center for Democracy and Development),"Justiça Ambiental JA! Maputo (Mozambique), Alternactiva",1
Centro de Democracia e Desenvolvimento (CDD – Center for Democracy and Development),Justiça Ambiental (JA! – Environmental Justice),1
Centro de Democracia e Desenvolvimento (CDD – Center for Democracy and Development),Hikone – Associação para o Empoderamento da Mulher (Association for Women’s Empowerment),1
Associação de Projectos e Pesquisas (APROPE – Association of Projects and Research),União Nacional de Camponeses (UNAC – National Peasants Union),1
Associação de Projectos e Pesquisas (APROPE – Association of Projects and Research),Observatório Cidadão para a Saúde (OCS – Citizens Observatory for Health),1
Associação de Projectos e Pesquisas (APROPE – Association of Projects and Research),"Justiça Ambiental JA! Maputo (Mozambique), Alternactiva",1
Associação de Projectos e Pesquisas (APROPE – Association of Projects and Research),Justiça Ambiental (JA! – Environmental Justice),1
Associação de Projectos e Pesquisas (APROPE – Association of Projects and Research),Hikone – Associação para o Empoderamento da Mulher (Association for Women’s Empowerment),1
Observatório Cidadão para a Saúde (OCS – Citizens Observatory for Health),União Nacional de Camponeses (UNAC – National Peasants Union),1
