Source,Target,Weight
Karen Human Rights Group,Progressive Voice,2
"- NB: in the registration database, it is registered as an individual submission by PV Myanmar on webpage number 7",Action Committee for Democracy Development,1
Karenni Education Department,Karenni Refugee Committee,1
Karen Student Network Group,and Ta’ang Women’s Organization,1
Karen Women’s Organization,Karenni Education Department,1
Karen Women’s Organization,Karenni Legal and Human Rights Center,1
Karen Women’s Organization,Karenni National Women’s Organization,1
Karen Women’s Organization,Karenni Refugee Committee,1
Karen Women’s Organization,Karenni Social Welfare and Development Center,1
Karen Women’s Organization,Koung Jor Shan Refugee Camp,1
Karen Women’s Organization,Progressive Voice,1
Karen Women’s Organization,and Ta’ang Women’s Organization,1
Karenni Education Department,Karenni Legal and Human Rights Center,1
Karenni Education Department,Karenni National Women’s Organization,1
Karenni Education Department,Karenni Social Welfare and Development Center,1
Karen Student Network Group,Koung Jor Shan Refugee Camp,1
Karenni Education Department,Koung Jor Shan Refugee Camp,1
Karenni Education Department,Progressive Voice,1
Karenni Education Department,and Ta’ang Women’s Organization,1
Karenni Legal and Human Rights Center,Karenni National Women’s Organization,1
Karenni Legal and Human Rights Center,Karenni Refugee Committee,1
Karenni Legal and Human Rights Center,Karenni Social Welfare and Development Center,1
Karenni Legal and Human Rights Center,Koung Jor Shan Refugee Camp,1
Karenni Legal and Human Rights Center,Progressive Voice,1
Karenni Legal and Human Rights Center,and Ta’ang Women’s Organization,1
Karenni National Women’s Organization,Karenni Refugee Committee,1
Karenni National Women’s Organization,Karenni Social Welfare and Development Center,1
Karen Student Network Group,Progressive Voice,1
Karen Student Network Group,Karenni Social Welfare and Development Center,1
Karenni National Women’s Organization,Progressive Voice,1
Karen Refugee Committee,Karen Women’s Organization,1
Karen Human Rights Group,Mandalay Community Center,1
Karen Human Rights Group,Myanmar Cultural Research Society,1
Karen Human Rights Group,Myanmar People Alliance (Shan State),1
Karen Human Rights Group,Olive Organization,1
Karen Human Rights Group,Pon Yate,1
Karen Human Rights Group,Reliable Organization,1
Karen Human Rights Group,Synergy - Social Harmony Organization,1
Karen Human Rights Group,Thint Myat Lo Thu Myar (Peace Seekers and Multiculturalist Movement),1
Karen Human Rights Group,and Ta'ang Women's Organization,1
Karen Human Rights Group,and Ta’ang Women’s Organization,1
Karen Refugee Committee,Karen Student Network Group,1
Karen Refugee Committee,Karenni Education Department,1
Karen Student Network Group,Karenni Refugee Committee,1
Karen Refugee Committee,Karenni Legal and Human Rights Center,1
Karen Refugee Committee,Karenni National Women’s Organization,1
Karen Refugee Committee,Karenni Refugee Committee,1
Karen Refugee Committee,Karenni Social Welfare and Development Center,1
Karen Refugee Committee,Koung Jor Shan Refugee Camp,1
Karen Refugee Committee,Progressive Voice,1
Karen Refugee Committee,and Ta’ang Women’s Organization,1
Karen Student Network Group,Karen Women’s Organization,1
Karen Student Network Group,Karenni Education Department,1
Karen Student Network Group,Karenni Legal and Human Rights Center,1
Karen Student Network Group,Karenni National Women’s Organization,1
Karenni National Women’s Organization,Koung Jor Shan Refugee Camp,1
Karenni National Women’s Organization,and Ta’ang Women’s Organization,1
"- NB: in the registration database, it is registered as an individual submission by PV Myanmar on webpage number 7",Athan – Freedom of Expression Activist Organization,1
Karenni Refugee Committee,Karenni Social Welfare and Development Center,1
Myanmar People Alliance (Shan State),Reliable Organization,1
Myanmar People Alliance (Shan State),Synergy - Social Harmony Organization,1
Myanmar People Alliance (Shan State),Thint Myat Lo Thu Myar (Peace Seekers and Multiculturalist Movement),1
Myanmar People Alliance (Shan State),and Ta'ang Women's Organization,1
Olive Organization,Pon Yate,1
Olive Organization,Progressive Voice,1
Olive Organization,Reliable Organization,1
Olive Organization,Synergy - Social Harmony Organization,1
Olive Organization,Thint Myat Lo Thu Myar (Peace Seekers and Multiculturalist Movement),1
Olive Organization,and Ta'ang Women's Organization,1
Pon Yate,Progressive Voice,1
Pon Yate,Reliable Organization,1
Pon Yate,Synergy - Social Harmony Organization,1
Pon Yate,Thint Myat Lo Thu Myar (Peace Seekers and Multiculturalist Movement),1
Pon Yate,and Ta'ang Women's Organization,1
Progressive Voice,Reliable Organization,1
Progressive Voice,Synergy - Social Harmony Organization,1
Progressive Voice,Thint Myat Lo Thu Myar (Peace Seekers and Multiculturalist Movement),1
Progressive Voice,and Ta'ang Women's Organization,1
Progressive Voice,and Ta’ang Women’s Organization,1
Reliable Organization,Synergy - Social Harmony Organization,1
Reliable Organization,Thint Myat Lo Thu Myar (Peace Seekers and Multiculturalist Movement),1
Reliable Organization,and Ta'ang Women's Organization,1
Synergy - Social Harmony Organization,Thint Myat Lo Thu Myar (Peace Seekers and Multiculturalist Movement),1
Synergy - Social Harmony Organization,and Ta'ang Women's Organization,1
Myanmar People Alliance (Shan State),Progressive Voice,1
Myanmar People Alliance (Shan State),Pon Yate,1
Myanmar People Alliance (Shan State),Olive Organization,1
Mandalay Community Center,Pon Yate,1
Karenni Refugee Committee,Koung Jor Shan Refugee Camp,1
Karenni Refugee Committee,Progressive Voice,1
Karenni Refugee Committee,and Ta’ang Women’s Organization,1
Karenni Social Welfare and Development Center,Koung Jor Shan Refugee Camp,1
Karenni Social Welfare and Development Center,Progressive Voice,1
Karenni Social Welfare and Development Center,and Ta’ang Women’s Organization,1
Koung Jor Shan Refugee Camp,Progressive Voice,1
Koung Jor Shan Refugee Camp,and Ta’ang Women’s Organization,1
