Source,Target,Weight
Campaign for Human Rights and Social Transformation,Finnish Evangelical Lutheran Mission,1
Campaign for Human Rights and Social Transformation,"Lutheran World Federation, Geneva, Switzerland, Finn Church Aid",1
Campaign for Human Rights and Social Transformation,Rastriya Mukta Haliya Samaj Federation Nepal,1
Campaign for Human Rights and Social Transformation,Samari Utthan Sewa,1
Campaign for Human Rights and Social Transformation,and Lutheran Community Welfare Society,1
Finnish Evangelical Lutheran Mission,"Lutheran World Federation, Geneva, Switzerland, Finn Church Aid",1
Finnish Evangelical Lutheran Mission,Rastriya Mukta Haliya Samaj Federation Nepal,1
Finnish Evangelical Lutheran Mission,Samari Utthan Sewa,1
Finnish Evangelical Lutheran Mission,and Lutheran Community Welfare Society,1
"Forum for Women, Law and Development, Kathmandu, Nepal","on behalf of the Nepal Civil Society Network on Citizenship Rights, a network of over 50 civil society organizations",1
"Lutheran World Federation, Geneva, Switzerland, Finn Church Aid",Rastriya Mukta Haliya Samaj Federation Nepal,1
"Lutheran World Federation, Geneva, Switzerland, Finn Church Aid",Samari Utthan Sewa,1
"Lutheran World Federation, Geneva, Switzerland, Finn Church Aid",and Lutheran Community Welfare Society,1
Rastriya Mukta Haliya Samaj Federation Nepal,Samari Utthan Sewa,1
Rastriya Mukta Haliya Samaj Federation Nepal,and Lutheran Community Welfare Society,1
Samari Utthan Sewa,and Lutheran Community Welfare Society,1
