Source,Target,Weight
10 GE.19-02901,Asociación Diversidad Sexual Nicaragüense ADISINIC,1
Fundación Marista FUNDAMAR (Switzerland),Fundación Marista por la Solidaridad Internacional FMSI,1
Equipo de estudiantes organizados de las universidades (Nicaragua),Foro de Educación y Desarrollo Humano de la Iniciativa por Nicaragua (FEDH-IPN),1
Equipo de estudiantes organizados de las universidades (Nicaragua),Jóvenes Iberoamericanos (JI),1
Equipo de estudiantes organizados de las universidades (Nicaragua),Proyecto Lechuza,1
"Federación Coordinadora Nicaragüense (CODENI), Mesa Nacional LGBTI",Foro de Educación y Desarrollo Humano de la Iniciativa por Nicaragua (FEDH-IPN),1
"Federación Coordinadora Nicaragüense (CODENI), Mesa Nacional LGBTI",Jóvenes Iberoamericanos (JI),1
"Federación Coordinadora Nicaragüense (CODENI), Mesa Nacional LGBTI",Proyecto Lechuza,1
Federación Red Nicaragüense por la Democracia y el Desarrollo Local (South Africa),World Alliance for Citizen Participation (CIVICUS),1
Foro de Educación y Desarrollo Humano de la Iniciativa por Nicaragua (FEDH-IPN),Jóvenes Iberoamericanos (JI),1
Foro de Educación y Desarrollo Humano de la Iniciativa por Nicaragua (FEDH-IPN),Proyecto Lechuza,1
Fundación Marista FUNDAMAR (Switzerland),IIMA – Istituto Internazionale Maria Ausiliatrice,1
Comision Permanente de Derechos Humanos-Nicaragua (Switzerland),Red Internacional de Derechos Humanos (RIDH),1
Fundación Marista FUNDAMAR (Switzerland),"VIDES International – International Volunteerism Organization for Women, Education, Development",1
Fundación Marista por la Solidaridad Internacional FMSI,IIMA – Istituto Internazionale Maria Ausiliatrice,1
Fundación Marista por la Solidaridad Internacional FMSI,"VIDES International – International Volunteerism Organization for Women, Education, Development",1
"IFEXY, Asociacion Mundial de Radios Comunitarias (AMARC-ALC)",Sociedad Interamericana de Prensa (SIP) (Nicaragua),1
IIMA – Istituto Internazionale Maria Ausiliatrice,"VIDES International – International Volunteerism Organization for Women, Education, Development",1
IMADR (Switzerland),OMCT,1
Iniciativa Nicaragüense de Defensoras de los Derechos Humanos de las Mujeres (IND) (Nicaragua),Movimiento Autónomo de Mujeres MAM),1
Jóvenes Iberoamericanos (JI),Proyecto Lechuza,1
Mesa Nacional LGBTIQ,Operación Queer (Nicaragua),1
Equipo de estudiantes organizados de las universidades (Nicaragua),"Federación Coordinadora Nicaragüense (CODENI), Mesa Nacional LGBTI",1
Centro Nicaragüense de Derechos Humanos (CENIDH) (Nicaragua),Centro por la Justicia y Derechos Humanos de la Costa Atlántica de Nicaragua (CEJUDHCAN),1
10 GE.19-02901,Mesa Nacional LGBTIQ,1
Asociación Nicaragüense para el Desarrollo Sostenible (ANIDES),"Federación Coordinadora Nicaragüense (CODENI), Mesa Nacional LGBTI",1
10 GE.19-02901,Operación Queer (Nicaragua),1
Agrupacion de Mujeres Trans y Culturales (AMTC),Iniciativa por los Derechos Sexuales (SRI) (Nicaragua),1
Artemisas,Asociación Nicaragüense de Transgeneras ANIT (Nicaragua),1
Artemisas,Centro de Información y Servicios de Asesoría en Salud,1
Asociación Diversidad Sexual Nicaragüense ADISINIC,Mesa Nacional LGBTIQ,1
Asociación Diversidad Sexual Nicaragüense ADISINIC,Operación Queer (Nicaragua),1
Asociación Nicaragüense de Transgeneras ANIT (Nicaragua),Centro de Información y Servicios de Asesoría en Salud,1
Asociación Nicaragüense para el Desarrollo Sostenible (ANIDES),Campaña Latinoamericana por el Derecho a la Educación (CLADE),1
Asociación Nicaragüense para el Desarrollo Sostenible (ANIDES),Equipo de estudiantes organizados de las universidades (Nicaragua),1
Asociación Nicaragüense para el Desarrollo Sostenible (ANIDES),Foro de Educación y Desarrollo Humano de la Iniciativa por Nicaragua (FEDH-IPN),1
Centro Nicaragüense de Derechos Humanos (CENIDH),Federacion Internacional de Derechos Humanos (FIDH) (Nicaragua/France),1
Asociación Nicaragüense para el Desarrollo Sostenible (ANIDES),Jóvenes Iberoamericanos (JI),1
Asociación Nicaragüense para el Desarrollo Sostenible (ANIDES),Proyecto Lechuza,1
Campaña Latinoamericana por el Derecho a la Educación (CLADE),Equipo de estudiantes organizados de las universidades (Nicaragua),1
Campaña Latinoamericana por el Derecho a la Educación (CLADE),"Federación Coordinadora Nicaragüense (CODENI), Mesa Nacional LGBTI",1
Campaña Latinoamericana por el Derecho a la Educación (CLADE),Foro de Educación y Desarrollo Humano de la Iniciativa por Nicaragua (FEDH-IPN),1
Campaña Latinoamericana por el Derecho a la Educación (CLADE),Jóvenes Iberoamericanos (JI),1
Campaña Latinoamericana por el Derecho a la Educación (CLADE),Proyecto Lechuza,1
Centre for Civil and Political Rights (CCPR),IMADR (Switzerland),1
Centre for Civil and Political Rights (CCPR),OMCT,1
Movimiento Puente (Colombia),Red Latinoamericana y del Caribe por la Democracia,1
