Source,Target,Weight
Association des femmes juristes du Niger (AFJN),Association pour la Redynamisation de l’Élevage au Niger (AREN),1
Association des femmes juristes du Niger (AFJN),"Forum des Acteurs de la Promotion et la Défense des Droits Économiques, Sociaux et Culturels au Niger (FODA-DESC)",1
Association des femmes juristes du Niger (AFJN),"Réseau Progrès Et Développement Humanitaire du Niger (REPRODEVH Niger), Paris, France",1
Association des femmes juristes du Niger (AFJN),Syndicat National des Agents de la Formation et de l’Éducation du Niger (SYNAFEN),1
Association pour la Redynamisation de l’Élevage au Niger (AREN),"Forum des Acteurs de la Promotion et la Défense des Droits Économiques, Sociaux et Culturels au Niger (FODA-DESC)",1
Association pour la Redynamisation de l’Élevage au Niger (AREN),"Réseau Progrès Et Développement Humanitaire du Niger (REPRODEVH Niger), Paris, France",1
Association pour la Redynamisation de l’Élevage au Niger (AREN),Syndicat National des Agents de la Formation et de l’Éducation du Niger (SYNAFEN),1
"Forum des Acteurs de la Promotion et la Défense des Droits Économiques, Sociaux et Culturels au Niger (FODA-DESC)","Réseau Progrès Et Développement Humanitaire du Niger (REPRODEVH Niger), Paris, France",1
"Forum des Acteurs de la Promotion et la Défense des Droits Économiques, Sociaux et Culturels au Niger (FODA-DESC)",Syndicat National des Agents de la Formation et de l’Éducation du Niger (SYNAFEN),1
"Réseau Progrès Et Développement Humanitaire du Niger (REPRODEVH Niger), Paris, France",Syndicat National des Agents de la Formation et de l’Éducation du Niger (SYNAFEN),1
