Source,Target,Weight
"AFA, p. 2. AFA made a recommendation (p. 2)","AFRICMIL, Abuja",1
"International Centre for Development and Budget Advocacy, Eungu","Sterling law Centre, Abuja, Nigeria",1
"International Centre for Development and Budget Advocacy, Eungu","Rural Integrated Dev. Initiative, Bauchi",1
"International Centre for Development and Budget Advocacy, Eungu","REPLACE, Abuja, Nigeria",1
"International Centre for Development and Budget Advocacy, Eungu","Prisoners Rehabilitation and Welfare Action, Eungu, Nigeria",1
"International Centre for Development and Budget Advocacy, Eungu","Partnership to Inspire, Transform and Connect the HIV Response Abuja, Nigeria",1
"International Centre for Development and Budget Advocacy, Eungu","Partners West Africa-Nigeria, Abuja, Nigeria",1
"International Centre for Development and Budget Advocacy, Eungu","Parent Child Intervention Centre, Eungu, Nigeria",1
"International Centre for Development and Budget Advocacy, Eungu","PEDANET, Edo State, Nigeria",1
"International Centre for Development and Budget Advocacy, Eungu","Nigerian Women Trust Fund, Abuja, Nigeria",1
"International Centre for Development and Budget Advocacy, Eungu","Network on Police Reform in Nigeria, Lagos, Nigeria",1
"International Centre for Development and Budget Advocacy, Eungu","NCICC, Abuja, Nigeria",1
"International Centre for Development and Budget Advocacy, Eungu","Michael Adedotun Oke Foundation, Abuja, Nigeria",1
"International Centre for Development and Budget Advocacy, Eungu","Lux Terra Leadership Foundation, Abuja, Nigeria",1
"International Centre for Development and Budget Advocacy, Eungu","Kebetkache Women Dev. & Resource Centre, Portharcourt, Nigeria",1
"International Centre for Development and Budget Advocacy, Eungu","Jalnyo, Taraba State, Nigeria",1
"International Centre for Development and Budget Advocacy, Eungu","JCI Hope Project, Eungu, Nigeria",1
"Heartland Alliance International, Chicago, United States of America, American University, Washington College of Law, International Human Rights Law Clinic, United States of America (Joint Submission 5)","para. 8. 30 TLM, p. 1. TLM made recommendations (pp. 2-3). 31 For the relevant recommendations, see A/HRC/25/6, paras. 135.167-135.169 and 137.34. 32 AI, p. 2 and fn. 9 referring to A/HRC/25/6, para. 135.167 (Cuba), para. 135.168 (Maldives) and para. 135. 169 (Thailand)",1
"Heartland Alliance International, Chicago, United States of America, American University, Washington College of Law, International Human Rights Law Clinic, United States of America (Joint Submission 5)","para. 4, referring to referring to A/HRC/25/6, para. 138. 1 (Austria), para. 138.2 (Czech Republic), para. 138.3 (United States of America)",1
"Heartland Alliance International, Chicago, United States of America, American University, Washington College of Law, International Human Rights Law Clinic, United States of America (Joint Submission 5)","para. 138.8 (Austria) para. 138.9 (France) and para. 138.10 (Uruguay). 17 Ibid, para. 15. 18 Ibid, para. 17. 19 Ibid, para. 21",1
"Heartland Alliance International, Chicago, United States of America, American University, Washington College of Law, International Human Rights Law Clinic, United States of America (Joint Submission 5)","para. 138.4 (Sweden), para.138.5 (Canada), 138.6 (Australia)",1
"International Centre for Development and Budget Advocacy, Eungu","See also PJ, p. 3. PJ made recommendations (p. 3)",1
"International Centre for Development and Budget Advocacy, Eungu","The Coalition of Nigerian Human Rights CSOs on UPR comprising of: Partnership for Justice, Lagos, Nigeria",1
"JCI Hope Project, Eungu, Nigeria","Prisoners Rehabilitation and Welfare Action, Eungu, Nigeria",1
"International Centre for Development and Budget Advocacy, Eungu","Universal Career Discovery and Development Initiative, Eungu",1
"JCI Hope Project, Eungu, Nigeria","Partners West Africa-Nigeria, Abuja, Nigeria",1
"JCI Hope Project, Eungu, Nigeria","Parent Child Intervention Centre, Eungu, Nigeria",1
"JCI Hope Project, Eungu, Nigeria","PEDANET, Edo State, Nigeria",1
"JCI Hope Project, Eungu, Nigeria","Nigerian Women Trust Fund, Abuja, Nigeria",1
"JCI Hope Project, Eungu, Nigeria","Network on Police Reform in Nigeria, Lagos, Nigeria",1
"JCI Hope Project, Eungu, Nigeria","NCICC, Abuja, Nigeria",1
"JCI Hope Project, Eungu, Nigeria","Michael Adedotun Oke Foundation, Abuja, Nigeria",1
"JCI Hope Project, Eungu, Nigeria","Lux Terra Leadership Foundation, Abuja, Nigeria",1
"JCI Hope Project, Eungu, Nigeria","Kebetkache Women Dev. & Resource Centre, Portharcourt, Nigeria",1
"JCI Hope Project, Eungu, Nigeria","Jalnyo, Taraba State, Nigeria",1
"International Service for Human Rights. Geneva, Switzerland, Partnership for Justice, Legal Defence and Assistance Project and Women’s Rights and Health Project (Joint Submission 6)",made recommendations (p.4),1
"International Centre for Development and Budget Advocacy, Eungu",para. 2.1.1,1
"International Centre for Development and Budget Advocacy, Eungu",made recommendations (para. 2.1.1),1
"International Centre for Development and Budget Advocacy, Eungu","and LEDAP, Lagos, Nigeria (Joint Submission 10)",1
"International Centre for Development and Budget Advocacy, Eungu",Youths for Peace and Development,1
"International Centre for Development and Budget Advocacy, Eungu","Women’s Rights and Health Project, Lagos, Nigeria",1
"International Centre for Development and Budget Advocacy, Eungu","Women Africa, Abuja, Nigeria",1
"International Centre for Development and Budget Advocacy, Eungu","West African Human Rights Defenders’ Network, Lome, Nigeria",1
"International Centre for Development and Budget Advocacy, Eungu","WARDC, Lagos, Nigeria",1
