Source,Target,Weight
"NK Watch (Seoul, Republic of Korea)","Transitional Justice Working Group – TJWG (Seoul, Republic of Korea)",2
"1969 KAL Abductees' Families Association (Seoul, Republic of Korea)","Centro para la Apertura y el Desarrollo de América Latina - CADAL (Buenos Aires, Argentina)",1
"International Coalition to Stop Crimes against Humanity in North Korea – ICNK (Seoul, Republic of Korea)","Transitional Justice Working Group – TJWG (Seoul, Republic of Korea)",1
"Kenya Human Rights Commission (Nairobi, Kenya)","New Korea Women's Alliance (Seoul, Republic of Korea)",1
"Kenya Human Rights Commission (Nairobi, Kenya)","NK Watch (Seoul, Republic of Korea)",1
"Jacob Blaustein Institute for the Advancement of Human Rights – JBI (New York, United States of America)","Transitional Justice Working Group – TJWG (Seoul, Republic of Korea)",1
"Jacob Blaustein Institute for the Advancement of Human Rights – JBI (New York, United States of America)","Southern Africa Litigation Centre (Johannesburg, South Africa)",1
"Jacob Blaustein Institute for the Advancement of Human Rights – JBI (New York, United States of America)","Peace and Hope International (Pomona, United States of America)",1
"Jacob Blaustein Institute for the Advancement of Human Rights – JBI (New York, United States of America)","Open North Korea (Seoul, Republic of Korea)",1
"Jacob Blaustein Institute for the Advancement of Human Rights – JBI (New York, United States of America)","North Korea Strategy Center – NKSC (Seoul, Republic of Korea)",1
"Jacob Blaustein Institute for the Advancement of Human Rights – JBI (New York, United States of America)","New Korea Women's Alliance (Seoul, Republic of Korea)",1
"Jacob Blaustein Institute for the Advancement of Human Rights – JBI (New York, United States of America)","NK Watch (Seoul, Republic of Korea)",1
"Jacob Blaustein Institute for the Advancement of Human Rights – JBI (New York, United States of America)","Kenya Human Rights Commission (Nairobi, Kenya)",1
"International Coalition to Stop Crimes against Humanity in North Korea – ICNK (Seoul, Republic of Korea)","Southern Africa Litigation Centre (Johannesburg, South Africa)",1
"Kenya Human Rights Commission (Nairobi, Kenya)","Open North Korea (Seoul, Republic of Korea)",1
"International Coalition to Stop Crimes against Humanity in North Korea – ICNK (Seoul, Republic of Korea)","Peace and Hope International (Pomona, United States of America)",1
"International Coalition to Stop Crimes against Humanity in North Korea – ICNK (Seoul, Republic of Korea)","Open North Korea (Seoul, Republic of Korea)",1
"International Coalition to Stop Crimes against Humanity in North Korea – ICNK (Seoul, Republic of Korea)","North Korea Strategy Center – NKSC (Seoul, Republic of Korea)",1
"International Coalition to Stop Crimes against Humanity in North Korea – ICNK (Seoul, Republic of Korea)","New Korea Women's Alliance (Seoul, Republic of Korea)",1
"International Coalition to Stop Crimes against Humanity in North Korea – ICNK (Seoul, Republic of Korea)","NK Watch (Seoul, Republic of Korea)",1
"International Coalition to Stop Crimes against Humanity in North Korea – ICNK (Seoul, Republic of Korea)","Kenya Human Rights Commission (Nairobi, Kenya)",1
"International Coalition to Stop Crimes against Humanity in North Korea – ICNK (Seoul, Republic of Korea)","Jacob Blaustein Institute for the Advancement of Human Rights – JBI (New York, United States of America)",1
"Human Rights Watch (Geneva, Switzerland)","Transitional Justice Working Group – TJWG (Seoul, Republic of Korea)",1
"Human Rights Watch (Geneva, Switzerland)","Southern Africa Litigation Centre (Johannesburg, South Africa)",1
"Human Rights Watch (Geneva, Switzerland)","Peace and Hope International (Pomona, United States of America)",1
"Human Rights Watch (Geneva, Switzerland)","Open North Korea (Seoul, Republic of Korea)",1
"Kenya Human Rights Commission (Nairobi, Kenya)","North Korea Strategy Center – NKSC (Seoul, Republic of Korea)",1
"Kenya Human Rights Commission (Nairobi, Kenya)","Peace and Hope International (Pomona, United States of America)",1
"Human Rights Watch (Geneva, Switzerland)","New Korea Women's Alliance (Seoul, Republic of Korea)",1
"Kenya Human Rights Commission (Nairobi, Kenya)","Southern Africa Litigation Centre (Johannesburg, South Africa)",1
"Peace and Hope International (Pomona, United States of America)","Transitional Justice Working Group – TJWG (Seoul, Republic of Korea)",1
