Source,Target,Weight
10 GE.20-02309,Akahatá-Equipo de Trabajo en Sexualidades y Géneros y la Iniciativa por los Derechos Sexuales (SRI) (Argentina),1
Fundación World Pride Panamá (Panamá),Red de Jóvenes Frente al Cambio Climático de Panamá,1
Fundación World Pride Panamá (Panamá),Voces de Mujeres Afrodescendientes en Panamá,1
Fundación de Independientes Pro Derechos Humanos,Mayores de América Latina y el Caribe,1
Fundación de Independientes Pro Derechos Humanos,Red Continental de Personas,1
Fundación de Independientes Pro Derechos Humanos,Red de Jóvenes Frente al Cambio Climático de Panamá,1
Fundación de Independientes Pro Derechos Humanos,Unión Nacional de Mujeres Panameñas,1
Fundación de Independientes Pro Derechos Humanos,Voces de Mujeres Afrodescendientes en Panamá,1
Mayores de América Latina y el Caribe,Red Continental de Personas,1
Mayores de América Latina y el Caribe,Red de Jóvenes Frente al Cambio Climático de Panamá,1
Mayores de América Latina y el Caribe,Unión Nacional de Mujeres Panameñas,1
Mayores de América Latina y el Caribe,Voces de Mujeres Afrodescendientes en Panamá,1
Movimiento por la Defensa de los Territorios y Ecosistemas de Bocas del Toro (MODETEAB),"Organización Territorial Ngäbe, Bugle y Campesina de la Región Norte de Santa Fe",1
Mujeres con Dignidad y Derecho de Panamá,Red de Mujeres Trabajadoras Sexuales de Latinoamérica y el Caribe (RedTraSex),1
Red Continental de Personas,Red de Jóvenes Frente al Cambio Climático de Panamá,1
Red Continental de Personas,Unión Nacional de Mujeres Panameñas,1
Red Continental de Personas,Voces de Mujeres Afrodescendientes en Panamá,1
Red de Jóvenes Frente al Cambio Climático de Panamá,Unión Nacional de Mujeres Panameñas,1
Red de Jóvenes Frente al Cambio Climático de Panamá,Voces de Mujeres Afrodescendientes en Panamá,1
Fundación World Pride Panamá (Panamá),Unión Nacional de Mujeres Panameñas,1
Fundación World Pride Panamá (Panamá),Red Continental de Personas,1
10 GE.20-02309,Mujeres con Dignidad y Derecho de Panamá,1
Fundación World Pride Panamá (Panamá),Mayores de América Latina y el Caribe,1
10 GE.20-02309,Red de Mujeres Trabajadoras Sexuales de Latinoamérica y el Caribe (RedTraSex),1
Akahatá-Equipo de Trabajo en Sexualidades y Géneros y la Iniciativa por los Derechos Sexuales (SRI) (Argentina),Mujeres con Dignidad y Derecho de Panamá,1
Akahatá-Equipo de Trabajo en Sexualidades y Géneros y la Iniciativa por los Derechos Sexuales (SRI) (Argentina),Red de Mujeres Trabajadoras Sexuales de Latinoamérica y el Caribe (RedTraSex),1
"Alianza para la Conservación y el Desarrollo (ACD), y Centro para el Derecho Ambiental Internacional (CIEL) (Panamá)",Movimiento por la Defensa de los Territorios y Ecosistemas de Bocas del Toro (MODETEAB),1
"Alianza para la Conservación y el Desarrollo (ACD), y Centro para el Derecho Ambiental Internacional (CIEL) (Panamá)","Organización Territorial Ngäbe, Bugle y Campesina de la Región Norte de Santa Fe",1
"Asociación de Mujeres Ngäbe, ASMUNG","la Coordinadora Nacional de Mujeres Indígenas de Panamá, CONAMUIP y la Organización de Mujeres Indígenas Unidas por la Biodiversidad de Panamá, OMIUBP (Panamá)",1
Fundación (en formación) World Pride Panama (WPP) (Panamá),Fundación Coalición Internacional de Mujeres y Familias (CIMUF),1
Fundación (en formación) World Pride Panama (WPP) (Panamá),Fundación de Independientes Pro Derechos Humanos (IPDH),1
Fundación Coalición Internacional de Mujeres y Familias,Fundación World Pride Panamá (Panamá),1
Fundación Coalición Internacional de Mujeres y Familias,Fundación de Independientes Pro Derechos Humanos,1
Fundación Coalición Internacional de Mujeres y Familias,Mayores de América Latina y el Caribe,1
Fundación Coalición Internacional de Mujeres y Familias,Red Continental de Personas,1
Fundación Coalición Internacional de Mujeres y Familias,Red de Jóvenes Frente al Cambio Climático de Panamá,1
Fundación Coalición Internacional de Mujeres y Familias,Unión Nacional de Mujeres Panameñas,1
Fundación Coalición Internacional de Mujeres y Familias,Voces de Mujeres Afrodescendientes en Panamá,1
Fundación Coalición Internacional de Mujeres y Familias (CIMUF),Fundación de Independientes Pro Derechos Humanos (IPDH),1
Fundación World Pride Panamá (Panamá),Fundación de Independientes Pro Derechos Humanos,1
Unión Nacional de Mujeres Panameñas,Voces de Mujeres Afrodescendientes en Panamá,1
