Source,Target,Weight
AIDESEP: Asociación Interétnica de Desarrollo de la Selva Peruana (Peru),ARPI SC: Asociación Regional de Pueblos Indígenas de la Selva Central,1
FENAMAD: Federación Nativa del río Madre de Dios y Afluentes,ORPIAN — P: Organización Regional de Pueblos Indígenas de la Amazonía Norte,1
Confederación Campesina del Perú (CCP),"Pueblos Originarios de Cajamarca. III) Instituto Internacional de Derecho y Sociedad (IIDS), con el apoyo del GIA. (Peru)",1
Confederación Campesina del Perú (CCP),Unión Nacional de Comunidades Aymaras (UNCA),1
Consejo Harakbut Yine Machiguenga (COHARYIMA),Organización Nacional de Mujeres Indígenas y Amazónicas del Perú (ONAMIAP),1
Consejo Harakbut Yine Machiguenga (COHARYIMA),Red de Comunicadores Indígenas del Perú (REDCIP). (Peru),1
Consejo Harakbut Yine Machiguenga (COHARYIMA),Servicios en Comunicación Intercultural Servindi,1
Consejo de Educación Popular de América Latina (CEAAL): Organización Mundial para la Educación Preescolar (OMEP).(Peru),Foro Educativo,1
Consejo de Educación Popular de América Latina (CEAAL): Organización Mundial para la Educación Preescolar (OMEP).(Peru),Fundación Strømme,1
Consejo de Educación Popular de América Latina (CEAAL): Organización Mundial para la Educación Preescolar (OMEP).(Peru),Instituto Bartolomé de Las Casas,1
Consejo de Educación Popular de América Latina (CEAAL): Organización Mundial para la Educación Preescolar (OMEP).(Peru),Tarea Asociación de Publicaciones Educativas,1
Coordinadora Nacional de Derechos Humanos CNDDHH.(Peru),DEMUS — Estudios para la defense de los derechos de la mujer,1
Coordinadora Nacional de Derechos Humanos. (Peru),ISHR-International Service for Human Rights,1
"DEMUS, Estudio para la Defensa de los Derechos de las Mujeres","LIFS, Lesbianas Independientes Feministas Socialistas. (Peru)",1
Edmund Rice International (ERI). (Switzerland),Marist Foundation for International Solidarity (FMSI),1
FENAMAD: Federación Nativa del río Madre de Dios y Afluentes,ORAU: Organización Regional AIDESEP Ucayali,1
FENAMAD: Federación Nativa del río Madre de Dios y Afluentes,ORPIO: Organización Regional de los Pueblos Indígenas del Oriente,1
Confederación Campesina del Perú (CCP),Organización Nacional de Mujeres Indígenas Andinas y Amazónicas del Perú (ONAMIAP),1
"Federación Nacional de Mujeres Campesinas, Artesanas, Indígenas, Nativas y Asalariadas del Perú (FENMUCARINAP)",I) El Pacto de Unidad de Organizaciones Nacionales Indígenas (Pacto de Unidad): Confederación Nacional Agraria (CNA),1
"Federación Nacional de Mujeres Campesinas, Artesanas, Indígenas, Nativas y Asalariadas del Perú (FENMUCARINAP)",II) Organizaciones de pueblos con casos emblemáticos: Federación de la Nacionalidad Achuar del Perú (FENAP),1
"Federación Nacional de Mujeres Campesinas, Artesanas, Indígenas, Nativas y Asalariadas del Perú (FENMUCARINAP)",Organización Nacional de Mujeres Indígenas Andinas y Amazónicas del Perú (ONAMIAP),1
"Federación Nacional de Mujeres Campesinas, Artesanas, Indígenas, Nativas y Asalariadas del Perú (FENMUCARINAP)",Pueblo Kañaris (Comunidad Campesina San Juan de Cañaris),1
"Federación Nacional de Mujeres Campesinas, Artesanas, Indígenas, Nativas y Asalariadas del Perú (FENMUCARINAP)","Pueblos Originarios de Cajamarca. III) Instituto Internacional de Derecho y Sociedad (IIDS), con el apoyo del GIA. (Peru)",1
"Federación Nacional de Mujeres Campesinas, Artesanas, Indígenas, Nativas y Asalariadas del Perú (FENMUCARINAP)",Unión Nacional de Comunidades Aymaras (UNCA),1
Foro Educativo,Fundación Strømme,1
Foro Educativo,Instituto Bartolomé de Las Casas,1
Foro Educativo,Tarea Asociación de Publicaciones Educativas,1
Fundación Strømme,Instituto Bartolomé de Las Casas,1
Fundación Strømme,Tarea Asociación de Publicaciones Educativas,1
Fundación Terre des hommes Lausanne Suiza — Filial Peruana,Grupo de Iniciativa por los Derechos del Niño (GIN),1
Fundación Terre des hommes Lausanne Suiza — Filial Peruana,Instituto Promoviendo Desarrollo Social (IPRODES),1
Fundación Terre des hommes Lausanne Suiza — Filial Peruana,Instituto de Promoción Educativa para el Desarrollo Social (LA SEMILLA),1
Confederación Campesina del Perú (CCP),Pueblo Kañaris (Comunidad Campesina San Juan de Cañaris),1
Confederación Campesina del Perú (CCP),II) Organizaciones de pueblos con casos emblemáticos: Federación de la Nacionalidad Achuar del Perú (FENAP),1
