Source,Target,Weight
Anteris Fundacja Pomocy Prawnej,Centrum Wsparcia Imigrantów i Imigrantek,1
Fundacja Wiedza Lokalna,Stowarzyszenie Projekt: Polska,1
Fundacja Wolontariat Równości,Fundacji Aktywności Lokalnej,1
Fundacja Wolontariat Równości,Fundacja na Rzecz Różnorodności Polistrefa,1
Fundacja Wolontariat Równości,Fundacja na Rzecz Równości i Emancypacji STER,1
Fundacja Wolontariat Równości,Fundacja im. Izabeli Jarugi - Nowackiej,1
Fundacja Wolontariat Równości,Fundacja eFkropka,1
Fundacja Wiedza Lokalna,Żydowskie Stowarzyszenie Czulent,1
Fundacja Wiedza Lokalna,Związek Nauczycielstwa Polskiego,1
Fundacja Wiedza Lokalna,Towarzystwo Przyjaciół Szalonego Wózkowicza,1
Fundacja Wiedza Lokalna,Towarzystwo Edukacji Antydyskryminacyjnej,1
Fundacja Wiedza Lokalna,"The Polish Coalition for Equal Opportunities consisting of Polish Society of Anti-Discrimination Law, Warsaw (Poland)",1
Fundacja Wiedza Lokalna,"Stowarzyszenie przeciw Antysemityzmowi i Ksenofobii „Otwarta Rzeczpospolita""",1
Fundacja Wiedza Lokalna,Stowarzyszenie na Rzecz Rozwoju Społeczeństwa Obywatelskiego PRO HUMANUM,1
Fundacja Wiedza Lokalna,"Stowarzyszenie na Rzecz Kobiet ""Victoria""",1
Fundacja Wiedza Lokalna,Stowarzyszenie Otwarte Forum,1
Fundacja Wolontariat Równości,Instytut Podkarpacki,1
Fundacja Wiedza Lokalna,Stowarzyszenie Nigdy Więcej,1
Fundacja Wiedza Lokalna,Stowarzyszenie Naukowe Psychologia i Seksuologia LGBT,1
Fundacja Wiedza Lokalna,"Stowarzyszenie Na Rzecz Lesbijek, Gejów, Osób Biseksualnych, Osób Transpłciowych oraz Osób Queer ""Pracownia Różnorodności""",1
Fundacja Wiedza Lokalna,Stowarzyszenie Miłość Nie Wyklucza,1
Fundacja Wiedza Lokalna,Stowarzyszenie Kobiet Konsola,1
Fundacja Wiedza Lokalna,Stowarzyszenie Interwencji Prawnej,1
Fundacja Wiedza Lokalna,Stowarzyszenie Inicjatyw Niezależnych MIKUSZEWO,1
Fundacja Wiedza Lokalna,Stowarzyszenie Inicjatyw Kobiecych,1
Fundacja Wiedza Lokalna,Stowarzyszenie Homo Faber,1
Fundacja Wiedza Lokalna,Stowarzyszenie Dni Równości i Tolerancji,1
Fundacja Wiedza Lokalna,Stowarzyszenie Aktywne Kobiety,1
Fundacja Wiedza Lokalna,"Stowarzyszenie ""W stronę Dziewcząt""",1
Fundacja Wiedza Lokalna,Stowarzyszenia Romów w Polsce,1
Fundacja Wolontariat Równości,Helsińska Fundacja Praw Człowieka,1
Fundacja Wolontariat Równości,Kampania Przeciw Homofobii,1
Fundacja eFkropka,Fundacja na Rzecz Różnorodności Polistrefa,1
Fundacja Wolontariat Równości,"Stowarzyszenie Na Rzecz Lesbijek, Gejów, Osób Biseksualnych, Osób Transpłciowych oraz Osób Queer ""Pracownia Różnorodności""",1
Fundacja eFkropka,Fundacja im. Izabeli Jarugi - Nowackiej,1
Fundacja Wolontariat Równości,Żydowskie Stowarzyszenie Czulent,1
Fundacja Wolontariat Równości,Związek Nauczycielstwa Polskiego,1
Fundacja Wolontariat Równości,Towarzystwo Przyjaciół Szalonego Wózkowicza,1
Fundacja Wolontariat Równości,Towarzystwo Edukacji Antydyskryminacyjnej,1
Fundacja Wolontariat Równości,"The Polish Coalition for Equal Opportunities consisting of Polish Society of Anti-Discrimination Law, Warsaw (Poland)",1
Fundacja Wolontariat Równości,"Stowarzyszenie przeciw Antysemityzmowi i Ksenofobii „Otwarta Rzeczpospolita""",1
Fundacja Wolontariat Równości,Stowarzyszenie na Rzecz Rozwoju Społeczeństwa Obywatelskiego PRO HUMANUM,1
Fundacja Wolontariat Równości,"Stowarzyszenie na Rzecz Kobiet ""Victoria""",1
Fundacja Wolontariat Równości,Stowarzyszenie Projekt: Polska,1
Fundacja Wolontariat Równości,Stowarzyszenie Otwarte Forum,1
Fundacja Wolontariat Równości,Stowarzyszenie Nigdy Więcej,1
Fundacja Wolontariat Równości,Stowarzyszenie Naukowe Psychologia i Seksuologia LGBT,1
Fundacja Wolontariat Równości,Stowarzyszenie Miłość Nie Wyklucza,1
Fundacja Wolontariat Równości,Koalicja Karat,1
Fundacja Wolontariat Równości,Stowarzyszenie Kobiet Konsola,1
Fundacja Wolontariat Równości,Stowarzyszenie Interwencji Prawnej,1
Fundacja Wolontariat Równości,Stowarzyszenie Inicjatyw Niezależnych MIKUSZEWO,1
Fundacja Wolontariat Równości,Stowarzyszenie Inicjatyw Kobiecych,1
Fundacja Wolontariat Równości,Stowarzyszenie Homo Faber,1
Fundacja Wolontariat Równości,Stowarzyszenie Dni Równości i Tolerancji,1
Fundacja Wolontariat Równości,Stowarzyszenie Aktywne Kobiety,1
Fundacja Wolontariat Równości,"Stowarzyszenie ""W stronę Dziewcząt""",1
Fundacja Wolontariat Równości,Stowarzyszenia Romów w Polsce,1
Fundacja Wolontariat Równości,Polskie Forum Osób Niepełnosprawnych,1
Fundacja Wolontariat Równości,Polski Instytut Praw Człowieka i Biznesu,1
Fundacja Wolontariat Równości,Lambda Warszawa,1
Fundacja Wolontariat Równości,Lambda Bydgoszcz,1
Fundacja Wiedza Lokalna,Polskie Forum Osób Niepełnosprawnych,1
Fundacja Wiedza Lokalna,Polski Instytut Praw Człowieka i Biznesu,1
Fundacja Wiedza Lokalna,Lambda Warszawa,1
Fundacja Trans-Fuzja,Fundacja im. Izabeli Jarugi - Nowackiej,1
Fundacja Trans-Fuzja,"Stowarzyszenie ""W stronę Dziewcząt""",1
Fundacja Trans-Fuzja,Stowarzyszenia Romów w Polsce,1
Fundacja Trans-Fuzja,Polskie Forum Osób Niepełnosprawnych,1
Fundacja Trans-Fuzja,Polski Instytut Praw Człowieka i Biznesu,1
Fundacja Trans-Fuzja,Lambda Warszawa,1
Fundacja Trans-Fuzja,Lambda Bydgoszcz,1
Fundacja Trans-Fuzja,Koalicja Karat,1
Fundacja Trans-Fuzja,Kampania Przeciw Homofobii,1
Fundacja Trans-Fuzja,Instytut Podkarpacki,1
Fundacja Trans-Fuzja,Helsińska Fundacja Praw Człowieka,1
Fundacja Trans-Fuzja,Fundacji Aktywności Lokalnej,1
Fundacja Trans-Fuzja,Fundacja na Rzecz Różnorodności Polistrefa,1
Fundacja Trans-Fuzja,Fundacja na Rzecz Równości i Emancypacji STER,1
Fundacja Trans-Fuzja,Fundacja eFkropka,1
Fundacja Wiedza Lokalna,Lambda Bydgoszcz,1
Fundacja Trans-Fuzja,Fundacja Wolontariat Równości,1
Fundacja Trans-Fuzja,Fundacja Wiedza Lokalna,1
Fundacja TUS,Żydowskie Stowarzyszenie Czulent,1
Fundacja TUS,Związek Nauczycielstwa Polskiego,1
Fundacja TUS,Towarzystwo Przyjaciół Szalonego Wózkowicza,1
Fundacja TUS,Towarzystwo Edukacji Antydyskryminacyjnej,1
Fundacja TUS,"The Polish Coalition for Equal Opportunities consisting of Polish Society of Anti-Discrimination Law, Warsaw (Poland)",1
Fundacja TUS,"Stowarzyszenie przeciw Antysemityzmowi i Ksenofobii „Otwarta Rzeczpospolita""",1
Fundacja TUS,Stowarzyszenie na Rzecz Rozwoju Społeczeństwa Obywatelskiego PRO HUMANUM,1
Fundacja TUS,"Stowarzyszenie na Rzecz Kobiet ""Victoria""",1
Fundacja TUS,Stowarzyszenie Projekt: Polska,1
Fundacja TUS,Stowarzyszenie Otwarte Forum,1
Fundacja TUS,Stowarzyszenie Nigdy Więcej,1
Fundacja Trans-Fuzja,Stowarzyszenie Aktywne Kobiety,1
Fundacja Trans-Fuzja,Stowarzyszenie Dni Równości i Tolerancji,1
Fundacja Trans-Fuzja,Stowarzyszenie Homo Faber,1
Fundacja Trans-Fuzja,Stowarzyszenie Inicjatyw Kobiecych,1
Fundacja Wiedza Lokalna,Koalicja Karat,1
Fundacja Wiedza Lokalna,Kampania Przeciw Homofobii,1
Fundacja Wiedza Lokalna,Instytut Podkarpacki,1
Fundacja Wiedza Lokalna,Helsińska Fundacja Praw Człowieka,1
Fundacja Wiedza Lokalna,Fundacji Aktywności Lokalnej,1
Fundacja Wiedza Lokalna,Fundacja na Rzecz Różnorodności Polistrefa,1
Fundacja Wiedza Lokalna,Fundacja na Rzecz Równości i Emancypacji STER,1
Fundacja Wiedza Lokalna,Fundacja im. Izabeli Jarugi - Nowackiej,1
Fundacja Wiedza Lokalna,Fundacja eFkropka,1
Fundacja Wiedza Lokalna,Fundacja Wolontariat Równości,1
Fundacja Trans-Fuzja,Żydowskie Stowarzyszenie Czulent,1
Fundacja Trans-Fuzja,Związek Nauczycielstwa Polskiego,1
Fundacja Trans-Fuzja,Towarzystwo Przyjaciół Szalonego Wózkowicza,1
Fundacja Trans-Fuzja,Towarzystwo Edukacji Antydyskryminacyjnej,1
Fundacja Trans-Fuzja,"The Polish Coalition for Equal Opportunities consisting of Polish Society of Anti-Discrimination Law, Warsaw (Poland)",1
Fundacja Trans-Fuzja,"Stowarzyszenie przeciw Antysemityzmowi i Ksenofobii „Otwarta Rzeczpospolita""",1
Fundacja Trans-Fuzja,Stowarzyszenie na Rzecz Rozwoju Społeczeństwa Obywatelskiego PRO HUMANUM,1
Fundacja Trans-Fuzja,"Stowarzyszenie na Rzecz Kobiet ""Victoria""",1
Fundacja Trans-Fuzja,Stowarzyszenie Projekt: Polska,1
Fundacja Trans-Fuzja,Stowarzyszenie Otwarte Forum,1
Fundacja Trans-Fuzja,Stowarzyszenie Nigdy Więcej,1
Fundacja Trans-Fuzja,Stowarzyszenie Naukowe Psychologia i Seksuologia LGBT,1
Fundacja Trans-Fuzja,"Stowarzyszenie Na Rzecz Lesbijek, Gejów, Osób Biseksualnych, Osób Transpłciowych oraz Osób Queer ""Pracownia Różnorodności""",1
Fundacja Trans-Fuzja,Stowarzyszenie Miłość Nie Wyklucza,1
Fundacja Trans-Fuzja,Stowarzyszenie Kobiet Konsola,1
Fundacja Trans-Fuzja,Stowarzyszenie Interwencji Prawnej,1
Fundacja Trans-Fuzja,Stowarzyszenie Inicjatyw Niezależnych MIKUSZEWO,1
Fundacja eFkropka,Fundacja na Rzecz Równości i Emancypacji STER,1
Fundacja eFkropka,Fundacji Aktywności Lokalnej,1
Anteris Fundacja Pomocy Prawnej,FORUM 50+,1
Fundacja na Rzecz Równości i Emancypacji STER,Stowarzyszenie Dni Równości i Tolerancji,1
Fundacja na Rzecz Równości i Emancypacji STER,Stowarzyszenie na Rzecz Rozwoju Społeczeństwa Obywatelskiego PRO HUMANUM,1
Fundacja na Rzecz Równości i Emancypacji STER,"Stowarzyszenie na Rzecz Kobiet ""Victoria""",1
Fundacja na Rzecz Równości i Emancypacji STER,Stowarzyszenie Projekt: Polska,1
Fundacja na Rzecz Równości i Emancypacji STER,Stowarzyszenie Otwarte Forum,1
Fundacja na Rzecz Równości i Emancypacji STER,Stowarzyszenie Nigdy Więcej,1
Fundacja na Rzecz Równości i Emancypacji STER,Stowarzyszenie Naukowe Psychologia i Seksuologia LGBT,1
Fundacja na Rzecz Równości i Emancypacji STER,"Stowarzyszenie Na Rzecz Lesbijek, Gejów, Osób Biseksualnych, Osób Transpłciowych oraz Osób Queer ""Pracownia Różnorodności""",1
Fundacja na Rzecz Równości i Emancypacji STER,Stowarzyszenie Miłość Nie Wyklucza,1
Fundacja na Rzecz Równości i Emancypacji STER,Stowarzyszenie Kobiet Konsola,1
Fundacja na Rzecz Równości i Emancypacji STER,Stowarzyszenie Interwencji Prawnej,1
Fundacja na Rzecz Równości i Emancypacji STER,Stowarzyszenie Inicjatyw Niezależnych MIKUSZEWO,1
Fundacja na Rzecz Równości i Emancypacji STER,Stowarzyszenie Inicjatyw Kobiecych,1
Fundacja na Rzecz Równości i Emancypacji STER,Stowarzyszenie Homo Faber,1
Fundacja na Rzecz Równości i Emancypacji STER,Stowarzyszenie Aktywne Kobiety,1
Fundacja na Rzecz Równości i Emancypacji STER,"The Polish Coalition for Equal Opportunities consisting of Polish Society of Anti-Discrimination Law, Warsaw (Poland)",1
Fundacja na Rzecz Równości i Emancypacji STER,"Stowarzyszenie ""W stronę Dziewcząt""",1
Fundacja na Rzecz Równości i Emancypacji STER,Stowarzyszenia Romów w Polsce,1
Fundacja na Rzecz Równości i Emancypacji STER,Polskie Forum Osób Niepełnosprawnych,1
Fundacja na Rzecz Równości i Emancypacji STER,Polski Instytut Praw Człowieka i Biznesu,1
Fundacja na Rzecz Równości i Emancypacji STER,Lambda Warszawa,1
Fundacja na Rzecz Równości i Emancypacji STER,Lambda Bydgoszcz,1
Fundacja na Rzecz Równości i Emancypacji STER,Koalicja Karat,1
Fundacja na Rzecz Równości i Emancypacji STER,Kampania Przeciw Homofobii,1
Fundacja na Rzecz Równości i Emancypacji STER,Instytut Podkarpacki,1
Fundacja na Rzecz Równości i Emancypacji STER,Helsińska Fundacja Praw Człowieka,1
Fundacja na Rzecz Równości i Emancypacji STER,Fundacji Aktywności Lokalnej,1
Fundacja na Rzecz Równości i Emancypacji STER,Fundacja na Rzecz Różnorodności Polistrefa,1
Fundacja im. Izabeli Jarugi - Nowackiej,Żydowskie Stowarzyszenie Czulent,1
Fundacja na Rzecz Równości i Emancypacji STER,"Stowarzyszenie przeciw Antysemityzmowi i Ksenofobii „Otwarta Rzeczpospolita""",1
Fundacja na Rzecz Równości i Emancypacji STER,Towarzystwo Edukacji Antydyskryminacyjnej,1
Fundacja eFkropka,Helsińska Fundacja Praw Człowieka,1
Fundacja na Rzecz Różnorodności Polistrefa,Stowarzyszenie Dni Równości i Tolerancji,1
Fundacja na Rzecz Różnorodności Polistrefa,Stowarzyszenie na Rzecz Rozwoju Społeczeństwa Obywatelskiego PRO HUMANUM,1
Fundacja na Rzecz Różnorodności Polistrefa,"Stowarzyszenie na Rzecz Kobiet ""Victoria""",1
Fundacja na Rzecz Różnorodności Polistrefa,Stowarzyszenie Projekt: Polska,1
Fundacja na Rzecz Różnorodności Polistrefa,Stowarzyszenie Otwarte Forum,1
Fundacja na Rzecz Różnorodności Polistrefa,Stowarzyszenie Nigdy Więcej,1
Fundacja na Rzecz Różnorodności Polistrefa,Stowarzyszenie Naukowe Psychologia i Seksuologia LGBT,1
Fundacja na Rzecz Różnorodności Polistrefa,"Stowarzyszenie Na Rzecz Lesbijek, Gejów, Osób Biseksualnych, Osób Transpłciowych oraz Osób Queer ""Pracownia Różnorodności""",1
Fundacja na Rzecz Różnorodności Polistrefa,Stowarzyszenie Miłość Nie Wyklucza,1
Fundacja na Rzecz Różnorodności Polistrefa,Stowarzyszenie Kobiet Konsola,1
Fundacja na Rzecz Różnorodności Polistrefa,Stowarzyszenie Interwencji Prawnej,1
Fundacja na Rzecz Różnorodności Polistrefa,Stowarzyszenie Inicjatyw Niezależnych MIKUSZEWO,1
Fundacja na Rzecz Różnorodności Polistrefa,Stowarzyszenie Inicjatyw Kobiecych,1
Fundacja na Rzecz Różnorodności Polistrefa,Stowarzyszenie Homo Faber,1
Fundacja na Rzecz Różnorodności Polistrefa,Stowarzyszenie Aktywne Kobiety,1
Fundacja na Rzecz Równości i Emancypacji STER,Towarzystwo Przyjaciół Szalonego Wózkowicza,1
Fundacja na Rzecz Różnorodności Polistrefa,"Stowarzyszenie ""W stronę Dziewcząt""",1
Fundacja na Rzecz Różnorodności Polistrefa,Stowarzyszenia Romów w Polsce,1
Fundacja na Rzecz Różnorodności Polistrefa,Polskie Forum Osób Niepełnosprawnych,1
Fundacja na Rzecz Różnorodności Polistrefa,Polski Instytut Praw Człowieka i Biznesu,1
Fundacja na Rzecz Różnorodności Polistrefa,Lambda Warszawa,1
Fundacja na Rzecz Różnorodności Polistrefa,Lambda Bydgoszcz,1
Fundacja na Rzecz Różnorodności Polistrefa,Koalicja Karat,1
Fundacja na Rzecz Różnorodności Polistrefa,Kampania Przeciw Homofobii,1
Fundacja na Rzecz Różnorodności Polistrefa,Instytut Podkarpacki,1
Fundacja na Rzecz Różnorodności Polistrefa,Helsińska Fundacja Praw Człowieka,1
Fundacja na Rzecz Różnorodności Polistrefa,Fundacji Aktywności Lokalnej,1
Fundacja na Rzecz Równości i Emancypacji STER,Żydowskie Stowarzyszenie Czulent,1
Fundacja na Rzecz Równości i Emancypacji STER,Związek Nauczycielstwa Polskiego,1
Fundacja im. Izabeli Jarugi - Nowackiej,Związek Nauczycielstwa Polskiego,1
Fundacja im. Izabeli Jarugi - Nowackiej,Towarzystwo Przyjaciół Szalonego Wózkowicza,1
Fundacja im. Izabeli Jarugi - Nowackiej,Towarzystwo Edukacji Antydyskryminacyjnej,1
Fundacja eFkropka,Stowarzyszenie Interwencji Prawnej,1
Fundacja eFkropka,Towarzystwo Przyjaciół Szalonego Wózkowicza,1
Fundacja eFkropka,Towarzystwo Edukacji Antydyskryminacyjnej,1
Fundacja eFkropka,"The Polish Coalition for Equal Opportunities consisting of Polish Society of Anti-Discrimination Law, Warsaw (Poland)",1
Fundacja eFkropka,"Stowarzyszenie przeciw Antysemityzmowi i Ksenofobii „Otwarta Rzeczpospolita""",1
Fundacja eFkropka,Stowarzyszenie na Rzecz Rozwoju Społeczeństwa Obywatelskiego PRO HUMANUM,1
Fundacja eFkropka,"Stowarzyszenie na Rzecz Kobiet ""Victoria""",1
Fundacja eFkropka,Stowarzyszenie Projekt: Polska,1
Fundacja eFkropka,Stowarzyszenie Otwarte Forum,1
Fundacja eFkropka,Stowarzyszenie Nigdy Więcej,1
Fundacja eFkropka,Stowarzyszenie Naukowe Psychologia i Seksuologia LGBT,1
Fundacja eFkropka,"Stowarzyszenie Na Rzecz Lesbijek, Gejów, Osób Biseksualnych, Osób Transpłciowych oraz Osób Queer ""Pracownia Różnorodności""",1
Fundacja eFkropka,Stowarzyszenie Miłość Nie Wyklucza,1
Fundacja eFkropka,Stowarzyszenie Kobiet Konsola,1
Fundacja eFkropka,Stowarzyszenie Inicjatyw Niezależnych MIKUSZEWO,1
Fundacja im. Izabeli Jarugi - Nowackiej,"The Polish Coalition for Equal Opportunities consisting of Polish Society of Anti-Discrimination Law, Warsaw (Poland)",1
Fundacja eFkropka,Stowarzyszenie Inicjatyw Kobiecych,1
Fundacja eFkropka,Stowarzyszenie Homo Faber,1
Fundacja eFkropka,Stowarzyszenie Dni Równości i Tolerancji,1
