Source,Target,Weight
"International Federation for Human Rights (FIDH), within the framework of the Observatory for the Protection of Human Rights Defenders, Paris (France)","and World Organization against Torture (OMCT), within the framework of the Observatory for the Protection of Human Rights Defenders (OBS), Geneva (Switzerland)",2
"Americans for Democracy & Human Rights in Bahrain (ADHRB), Washington D.C. (United States of America)","PEN International, London (United Kingdom)",1
"Americans for Democracy & Human Rights in Bahrain (ADHRB), Washington D.C. (United States of America)","and Committee to Protect Journalists (CPJ), New York (United States of America)",1
"Americans for Democracy & Human Rights in Bahrain, Washington, DC (United States of America)","International Federation for Human Rights (FIDH), within the framework of the Observatory for the Protection of Human Rights Defenders, Paris (France)",1
"Americans for Democracy & Human Rights in Bahrain, Washington, DC (United States of America)","and World Organization against Torture (OMCT), within the framework of the Observatory for the Protection of Human Rights Defenders (OBS), Geneva (Switzerland)",1
"Americans for Democracy & Human Rights in Bahrain, Washington, DC (United States of America) and European Saudi Organization for Human Right (ESOHR), Berlin (Germany)","CIVICUS: World Alliance for Citizen Participation, Geneva (Switzerland)",1
"Americans for Democracy & Human Rights in Bahrain, Washington, DC (United States of America) and European Saudi Organization for Human Right (ESOHR), Berlin (Germany)","Reprieve, London (United Kingdom)",1
"International Federation for Human Rights (FIDH), within the framework of the Observatory for the Protection of Human Rights Defenders, Paris (France)","International Service for Human Rights (ISHR), Geneva (Switzerland), Gulf Center for Human Rights, Washington, DC (United States of America)",1
"International Federation for Human Rights (FIDH), within the framework of the Observatory for the Protection of Human Rights Defenders, Paris (France)","and Americans for Democracy & Human Rights in Bahrain, Washington (United States of America)",1
"International Service for Human Rights (ISHR), Geneva (Switzerland), Gulf Center for Human Rights, Washington, DC (United States of America)","and Americans for Democracy & Human Rights in Bahrain, Washington (United States of America)",1
"International Service for Human Rights (ISHR), Geneva (Switzerland), Gulf Center for Human Rights, Washington, DC (United States of America)","and World Organization against Torture (OMCT), within the framework of the Observatory for the Protection of Human Rights Defenders (OBS), Geneva (Switzerland)",1
"PEN International, London (United Kingdom)","and Committee to Protect Journalists (CPJ), New York (United States of America)",1
"The Global Detention Project, Geneva (Switzerland)",and Migrant-Rights.org,1
The International Trade Union Confederation (ITUC) Brussels (Belgium),"and the Arab Trade Union Confederation (ATUC), Amman (Jordan)",1
"and Americans for Democracy & Human Rights in Bahrain, Washington (United States of America)","and World Organization against Torture (OMCT), within the framework of the Observatory for the Protection of Human Rights Defenders (OBS), Geneva (Switzerland)",1
