Source,Target,Weight
"Sayoni, Singapore (Singapore)","TransgenderSG, Singapore (Singapore)",2
"Advocates for Human Rights, Minneapolis (United States of America)",Anti-Death Penalty Asia Network,1
"SG Climate Rally, Singapore (Singapore)","We Who Witness, Singapore (Singapore)",1
"Indignation, Singapore (Singapore)","Sayoni, Singapore (Singapore)",1
"Indignation, Singapore (Singapore)","The Healing Circle, Singapore (Singapore)",1
"Indignation, Singapore (Singapore)","TransgenderSG, Singapore (Singapore)",1
"Indignation, Singapore (Singapore)","Young Out Here, Singapore (Singapore)",1
"Oogachaga, Singapore (Singapore)","Pink Dot SG, Singapore (Singapore)",1
"Prout, Singapore (Singapore)","Sayoni, Singapore (Singapore)",1
"Prout, Singapore (Singapore)","The Healing Circle, Singapore (Singapore)",1
"Prout, Singapore (Singapore)","TransgenderSG, Singapore (Singapore)",1
"Prout, Singapore (Singapore)","Young Out Here, Singapore (Singapore)",1
"SG Climate Rally, Singapore (Singapore)","Sayoni, Singapore (Singapore)",1
"SG Climate Rally, Singapore (Singapore)","We Believe in Second Chances, Singapore (Singapore)",1
"SG Climate Rally, Singapore (Singapore)","Women and Law in Islam, Singapore (Singapore)",1
"Advocates for Human Rights, Minneapolis (United States of America)","World Coalition Against the Death Penalty, Montreuil (France), Think Centre, Singapore (Singapore)",1
"Sayoni, Singapore (Singapore)","The Healing Circle, Singapore (Singapore)",1
"Sayoni, Singapore (Singapore)","We Believe in Second Chances, Singapore (Singapore)",1
"Sayoni, Singapore (Singapore)","We Who Witness, Singapore (Singapore)",1
"Sayoni, Singapore (Singapore)","Women and Law in Islam, Singapore (Singapore)",1
"Sayoni, Singapore (Singapore)","Young Out Here, Singapore (Singapore)",1
"The Healing Circle, Singapore (Singapore)","TransgenderSG, Singapore (Singapore)",1
"The Healing Circle, Singapore (Singapore)","Young Out Here, Singapore (Singapore)",1
"TransgenderSG, Singapore (Singapore)","Young Out Here, Singapore (Singapore)",1
"We Believe in Second Chances, Singapore (Singapore)","We Who Witness, Singapore (Singapore)",1
"We Believe in Second Chances, Singapore (Singapore)","Women and Law in Islam, Singapore (Singapore)",1
"Indignation, Singapore (Singapore)","Prout, Singapore (Singapore)",1
"Humanitarian Organization for Migration Economics, Singapore (Singapore)","Women and Law in Islam, Singapore (Singapore)",1
"Humanitarian Organization for Migration Economics, Singapore (Singapore)","We Who Witness, Singapore (Singapore)",1
"Humanitarian Organization for Migration Economics, Singapore (Singapore)","We Believe in Second Chances, Singapore (Singapore)",1
Anti-Death Penalty Asia Network,"World Coalition Against the Death Penalty, Montreuil (France), Think Centre, Singapore (Singapore)",1
"Asia Pacific Transgender Network, Bangkok (Thailand)","Sayoni, Singapore (Singapore)",1
"Asia Pacific Transgender Network, Bangkok (Thailand)","TransgenderSG, Singapore (Singapore)",1
"Association of Women for Action and Research, Singapore (Singapore)","Freedom of Information Singapore, Singapore (Singapore)",1
"Association of Women for Action and Research, Singapore (Singapore)","Humanitarian Organization for Migration Economics, Singapore (Singapore)",1
"Association of Women for Action and Research, Singapore (Singapore)","SG Climate Rally, Singapore (Singapore)",1
"Association of Women for Action and Research, Singapore (Singapore)","Sayoni, Singapore (Singapore)",1
"Association of Women for Action and Research, Singapore (Singapore)","We Believe in Second Chances, Singapore (Singapore)",1
"Association of Women for Action and Research, Singapore (Singapore)","We Who Witness, Singapore (Singapore)",1
"Association of Women for Action and Research, Singapore (Singapore)","Women and Law in Islam, Singapore (Singapore)",1
CIVICUS,"Forum Asia, Bangkok (Thailand)",1
CIVICUS,"World Alliance for Citizen Participation, Johannesburg (South Africa)",1
"Forum Asia, Bangkok (Thailand)","World Alliance for Citizen Participation, Johannesburg (South Africa)",1
"Freedom of Information Singapore, Singapore (Singapore)","Humanitarian Organization for Migration Economics, Singapore (Singapore)",1
"Freedom of Information Singapore, Singapore (Singapore)","SG Climate Rally, Singapore (Singapore)",1
"Freedom of Information Singapore, Singapore (Singapore)","Sayoni, Singapore (Singapore)",1
"Freedom of Information Singapore, Singapore (Singapore)","We Believe in Second Chances, Singapore (Singapore)",1
"Freedom of Information Singapore, Singapore (Singapore)","We Who Witness, Singapore (Singapore)",1
"Freedom of Information Singapore, Singapore (Singapore)","Women and Law in Islam, Singapore (Singapore)",1
"Function 8, Singapore (Singapore)","International Federation for Human Rights, Paris (France)",1
"Humanitarian Organisation for Migration Economics, Singapore (Singapore)","Transient Workers Count Too, Singapore (Singapore)",1
"Humanitarian Organization for Migration Economics, Singapore (Singapore)","SG Climate Rally, Singapore (Singapore)",1
"Humanitarian Organization for Migration Economics, Singapore (Singapore)","Sayoni, Singapore (Singapore)",1
"We Who Witness, Singapore (Singapore)","Women and Law in Islam, Singapore (Singapore)",1
