Source,Target,Weight
"Coalition for Education Solomon Islands (CESI), Honiara, Solomon Islands",Development Services Exchange (DSE),1
Dominican Network in Solomon Islands,"Society of Saint Francis, Province of Solomon Islands",1
"Solomon Islands Development Trust (SIDT), Honiara, Solomon Islands, Honiara, Solomon Islands","Women’s Rights Action Movement (WRAM), Honiara, Solomon Islands",1
"Solomon Islands Development Trust (SIDT), Honiara, Solomon Islands, Honiara, Solomon Islands","Solomon Islands Indigenous People Human Rights Advocacy Association (SIIPHRAA), Honiara, Solomon Islands",1
"IIMA - Instituto Internazionale Maria Ausiliatrice, Rome, Italy","VIDES International - International Volunteerism Organization for Women, Education, Ghana",1
"Honiara, Solomon Islands","Women’s Rights Action Movement (WRAM), Honiara, Solomon Islands",1
"Honiara, Solomon Islands","Solomon Islands Indigenous People Human Rights Advocacy Association (SIIPHRAA), Honiara, Solomon Islands",1
"Honiara, Solomon Islands","Solomon Islands Development Trust (SIDT), Honiara, Solomon Islands, Honiara, Solomon Islands",1
"Franciscans International (FI), Geneva, Switzerland","Society of Saint Francis, Province of Solomon Islands",1
"Dominicans for Justice and Peace, Geneva, Switzerland","Society of Saint Francis, Province of Solomon Islands",1
"Dominicans for Justice and Peace, Geneva, Switzerland","Franciscans International (FI), Geneva, Switzerland",1
Dominican Network in Solomon Islands,"Franciscans International (FI), Geneva, Switzerland",1
"Coalition for Education Solomon Islands (CESI), Honiara, Solomon Islands","Honiara, Solomon Islands",1
Dominican Network in Solomon Islands,"Dominicans for Justice and Peace, Geneva, Switzerland",1
Development Services Exchange (DSE),"Women’s Rights Action Movement (WRAM), Honiara, Solomon Islands",1
Development Services Exchange (DSE),"Solomon Islands Indigenous People Human Rights Advocacy Association (SIIPHRAA), Honiara, Solomon Islands",1
Development Services Exchange (DSE),"Solomon Islands Development Trust (SIDT), Honiara, Solomon Islands, Honiara, Solomon Islands",1
Development Services Exchange (DSE),"Honiara, Solomon Islands",1
"Cultural Survival, Massachussets, United States","The American India Law Clinic of the University of Colorado, Colorado, United States",1
"Coalition for Education Solomon Islands (CESI), Honiara, Solomon Islands","Women’s Rights Action Movement (WRAM), Honiara, Solomon Islands",1
"Coalition for Education Solomon Islands (CESI), Honiara, Solomon Islands","Solomon Islands Indigenous People Human Rights Advocacy Association (SIIPHRAA), Honiara, Solomon Islands",1
"Coalition for Education Solomon Islands (CESI), Honiara, Solomon Islands","Solomon Islands Development Trust (SIDT), Honiara, Solomon Islands, Honiara, Solomon Islands",1
"Solomon Islands Indigenous People Human Rights Advocacy Association (SIIPHRAA), Honiara, Solomon Islands","Women’s Rights Action Movement (WRAM), Honiara, Solomon Islands",1
