Source,Target,Weight
Access Now,"and Digital Shelter, New York (United States of America)",1
East and Horn of Africa Human Rights Defenders Project,"and National Coalition for Human Rights Defenders – Somalia, Kampala (Uganda)",1
Institute on Statelessness and Inclusion,Somali Women Development Centre,1
Institute on Statelessness and Inclusion,Somaliland Human Rights Centre,1
Institute on Statelessness and Inclusion,"and Global Campaign for Equal Nationality Rights, Eindhoven (Netherlands)",1
National Union of Somali Journalists (NUSOJ),"and the International Federation of Journalists (IFJ), Mogadishu (Somalia)",1
Somali Women Development Centre,Somaliland Human Rights Centre,1
Somali Women Development Centre,"and Global Campaign for Equal Nationality Rights, Eindhoven (Netherlands)",1
Somali Women Development Centre [SWDC],The Sexual Rights Initiative,1
Somali Women Development Centre [SWDC],"and Erica Marsh (Independent Consultant), Ottawa (Canada)",1
Somaliland Human Rights Centre,"and Global Campaign for Equal Nationality Rights, Eindhoven (Netherlands)",1
Strategic Initiative for Women in the Horn of Africa (SIHA),"and Somali Women & Child Care Association (SWCCA), Kampala (Uganda)",1
The Advocates for Human Rights,"and The World Coalition against the Death Penalty, Minneapolis (United States of America)",1
The Sexual Rights Initiative,"and Erica Marsh (Independent Consultant), Ottawa (Canada)",1
