Source,Target,Weight
"Association Mauritanienne Pour la Promotion du Droit, Nouakchott (Mauritania)","Kenya Community Development Group, Nairobi (Kenya)",5
"Association Internationale Des Droits de l’Homme de Bourgogne, Dijon (France)","Association Jeunesse Etudiante Tamoule, Aulnay-sous-Bois (France)",5
"Association Internationale Des Droits de l’Homme de Bourgogne, Dijon (France)","Association Le Collectif La Paix au Sri Lanka, Maurepas (France)",5
"Association Internationale Des Droits de l’Homme de Bourgogne, Dijon (France)","Association Mauritanienne Pour la Promotion du Droit, Nouakchott (Mauritania)",5
"Association Internationale Des Droits de l’Homme de Bourgogne, Dijon (France)","Association Pour les Victimes du Monde, Yaounde (Cameroon)",5
"Association Internationale Des Droits de l’Homme de Bourgogne, Dijon (France)","Association Tamil Uzhagam, Maurepas (France)",5
"Association Internationale Des Droits de l’Homme de Bourgogne, Dijon (France)","Association Tourner La Page, Maurepas (France)",5
"Association Internationale Des Droits de l’Homme de Bourgogne, Dijon (France)","Association des Etudiants Tamoule de France, Paris (France)",5
"Association Internationale Des Droits de l’Homme de Bourgogne, Dijon (France)","Kenya Community Development Group, Nairobi (Kenya)",5
"Association Internationale Des Droits de l’Homme de Bourgogne, Dijon (France)","L’Association Culturelle des Tamouls en France, Paris (France)",5
"Association Internationale Des Droits de l’Homme de Bourgogne, Dijon (France)","L’Association Mondiale des Droits de l’Homme, Geneva (Switzerland)",5
"Association Internationale Des Droits de l’Homme de Bourgogne, Dijon (France)",Society for Development and Community Empowerment,5
"Association Internationale Des Droits de l’Homme de Bourgogne, Dijon (France)","Solidarite Internationale pour l’Afrique, Bamako (Mali)",5
"Association Internationale Des Droits de l’Homme de Bourgogne, Dijon (France)","Swiss Council Eelam Tamils, Geneva (Switzerland)",5
"Association Jeunesse Etudiante Tamoule, Aulnay-sous-Bois (France)","Association LE PONT, Maurepas (France)",5
"Association Jeunesse Etudiante Tamoule, Aulnay-sous-Bois (France)","Association Le Collectif La Paix au Sri Lanka, Maurepas (France)",5
"Association Jeunesse Etudiante Tamoule, Aulnay-sous-Bois (France)","Association Mauritanienne Pour la Promotion du Droit, Nouakchott (Mauritania)",5
"Association Jeunesse Etudiante Tamoule, Aulnay-sous-Bois (France)","Association Pour les Victimes du Monde, Yaounde (Cameroon)",5
"Association Jeunesse Etudiante Tamoule, Aulnay-sous-Bois (France)","Association Tamil Uzhagam, Maurepas (France)",5
"Association Jeunesse Etudiante Tamoule, Aulnay-sous-Bois (France)","Association Tourner La Page, Maurepas (France)",5
"Association Jeunesse Etudiante Tamoule, Aulnay-sous-Bois (France)","Association des Etudiants Tamoule de France, Paris (France)",5
"Association Jeunesse Etudiante Tamoule, Aulnay-sous-Bois (France)","Kenya Community Development Group, Nairobi (Kenya)",5
"Association Jeunesse Etudiante Tamoule, Aulnay-sous-Bois (France)","L’Association Culturelle des Tamouls en France, Paris (France)",5
"Association Jeunesse Etudiante Tamoule, Aulnay-sous-Bois (France)","L’Association Mondiale des Droits de l’Homme, Geneva (Switzerland)",5
"Association Jeunesse Etudiante Tamoule, Aulnay-sous-Bois (France)",Society for Development and Community Empowerment,5
"Association Jeunesse Etudiante Tamoule, Aulnay-sous-Bois (France)","Solidarite Internationale pour l’Afrique, Bamako (Mali)",5
"Association Jeunesse Etudiante Tamoule, Aulnay-sous-Bois (France)","Swiss Council Eelam Tamils, Geneva (Switzerland)",5
"Association LE PONT, Maurepas (France)","Association Le Collectif La Paix au Sri Lanka, Maurepas (France)",5
"Association LE PONT, Maurepas (France)","Association Mauritanienne Pour la Promotion du Droit, Nouakchott (Mauritania)",5
