Source,Target,Weight
Asia Justice and Rights (AJAR),Asisténsia Legál ba Feto no Labarik (ALFeLa),1
FOKUPERS,Fundasaun Mahein,1
Community Based Rehabilitation Network – Timor-Leste (CBRN-TL),Rede Ba Rai,1
Community Based Rehabilitation Network – Timor-Leste (CBRN-TL),Rede Hametin Agrikultura Sustentável Timor Lorosae (HASATIL),1
Community Based Rehabilitation Network – Timor-Leste (CBRN-TL),The Judicial System Monitoring Programme (JSMP),1
Community Based Rehabilitation Network – Timor-Leste (CBRN-TL),Timor-Leste Coalition for Education (TLCE),1
Edmund Rice International,The Commission of Justice and Peace and Integrity of Creation of SSpS Timor-Leste (JPIC SSpS Timor- Leste),1
Edmund Rice International,The Commission of Justice and Peace and Integrity of Creation of SVD Timor-Leste (JPIC SVD Timor-Leste),1
Edmund Rice International,VIVAT International,1
Edmund Rice International,"the Commission of Justice and Peace of Maliana Diocese (JP of Maliana Diocese), Vivat International- Indonesia",1
FOKUPERS,Fundasaun Codiva - Coalition for Diversity and Action,1
FOKUPERS,"JU,S Jurídico Social",1
Community Based Rehabilitation Network – Timor-Leste (CBRN-TL),Lao Hamutuk - Timor-Leste Institute for Development Monitoring and Analysis,1
FOKUPERS,Lao Hamutuk - Timor-Leste Institute for Development Monitoring and Analysis,1
FOKUPERS,Ra’es Hadomi Timor Oan (RHTO),1
FOKUPERS,Rede Ba Rai,1
FOKUPERS,Rede Hametin Agrikultura Sustentável Timor Lorosae (HASATIL),1
FOKUPERS,The Judicial System Monitoring Programme (JSMP),1
FOKUPERS,Timor-Leste Coalition for Education (TLCE),1
"Forum Asia, Bangkok (Thailand)","Judicial System Monitoring Programme (JSMP), Dili (Timor- Leste)",1
"Forum Asia, Bangkok (Thailand)","La’o Hamutuk, Dili (Timor-Leste)",1
Fundasaun Codiva - Coalition for Diversity and Action,Fundasaun Mahein,1
Community Based Rehabilitation Network – Timor-Leste (CBRN-TL),Ra’es Hadomi Timor Oan (RHTO),1
Community Based Rehabilitation Network – Timor-Leste (CBRN-TL),"JU,S Jurídico Social",1
