Source,Target,Weight
"Human Rights Defenders e.V, Cologne (Germany)",Victim Educators Platform,2
Victim Educators Platform,"and Victim Laborers Platform, Warsaw (Poland)",2
"Human Rights Defenders e.V, Cologne (Germany)","and Victim Laborers Platform, Warsaw (Poland)",2
International Christian Foundation for Democracy,The Council of The Ethnic Peoples and Religions of Vietnam,1
International Christian Foundation for Democracy,National Youth Council of Nigeria,1
International Christian Foundation for Democracy,Plateau State Youth Council,1
International Christian Foundation for Democracy,Red Eagle Enterprises,1
International Christian Foundation for Democracy,Religious Freedom Institute,1
International Christian Foundation for Democracy,Russian Orthodox Autonomous Church of America,1
International Christian Foundation for Democracy,Southern Baptist Ethics & Religious Liberty Commission,1
International Christian Foundation for Democracy,The Association Against Religious Persecution,1
,International Association for Human Rights Advocacy (IAHRA GENEVA) Genève (Switzerland),1
International Christian Foundation for Democracy,Junior Sacerdotal Council of Caodai Religion,1
International Christian Foundation for Democracy,The Good Friday National Holiday Campaign,1
International Christian Foundation for Democracy,"and St. Charles Institute, Geneva (Switzerland)",1
International Coalition of Legal Organisations,International Observatory of Endangered Lawyers,1
International Coalition of Legal Organisations,Lawyers for Lawyers,1
International Coalition of Legal Organisations,Lawyers’ Rights Watch Canada,1
International Coalition of Legal Organisations,Norwegian Bar Association,1
International Christian Foundation for Democracy,Law and Liberty International,1
International Christian Foundation for Democracy,International Religious Freedom Roundtable,1
International Christian Foundation for Democracy,Jubilee Campaign,1
International Coalition of Legal Organisations,The Law Society of England and Wales,1
International Christian Foundation for Democracy,International Committee on Nigeria,1
International Christian Concern,"and St. Charles Institute, Geneva (Switzerland)",1
International Christian Concern,The Good Friday National Holiday Campaign,1
International Christian Concern,The Council of The Ethnic Peoples and Religions of Vietnam,1
International Christian Concern,The Association Against Religious Persecution,1
International Christian Concern,Southern Baptist Ethics & Religious Liberty Commission,1
International Christian Concern,Russian Orthodox Autonomous Church of America,1
International Christian Concern,Religious Freedom Institute,1
International Christian Concern,Red Eagle Enterprises,1
International Christian Concern,Plateau State Youth Council,1
International Christian Concern,National Youth Council of Nigeria,1
International Christian Concern,Law and Liberty International,1
International Christian Concern,Junior Sacerdotal Council of Caodai Religion,1
International Coalition of Legal Organisations,"Paris Bar, Human Rights Institute",1
International Committee on Nigeria,International Religious Freedom Roundtable,1
International Coalition of Legal Organisations,"UIA – International Association of Lawyers, London (United Kingdom of Great Britain and Northern Ireland)",1
International Observatory of Endangered Lawyers,Norwegian Bar Association,1
International Religious Freedom Roundtable,Southern Baptist Ethics & Religious Liberty Commission,1
International Religious Freedom Roundtable,Russian Orthodox Autonomous Church of America,1
International Religious Freedom Roundtable,Religious Freedom Institute,1
International Religious Freedom Roundtable,Red Eagle Enterprises,1
International Religious Freedom Roundtable,Plateau State Youth Council,1
International Religious Freedom Roundtable,National Youth Council of Nigeria,1
International Religious Freedom Roundtable,Law and Liberty International,1
International Religious Freedom Roundtable,Junior Sacerdotal Council of Caodai Religion,1
International Religious Freedom Roundtable,Jubilee Campaign,1
International Observatory of Human Rights (IOHR),The Press Emblem Campaign (PEC),1
International Observatory of Human Rights (IOHR),"London Advocacy (LA), London (United Kingdom of Great Britain and Northern Ireland )",1
International Observatory of Endangered Lawyers,"UIA – International Association of Lawyers, London (United Kingdom of Great Britain and Northern Ireland)",1
International Observatory of Endangered Lawyers,The Law Society of England and Wales,1
International Observatory of Endangered Lawyers,"Paris Bar, Human Rights Institute",1
International Observatory of Endangered Lawyers,Lawyers’ Rights Watch Canada,1
International Christian Concern,International Religious Freedom Roundtable,1
International Observatory of Endangered Lawyers,Lawyers for Lawyers,1
International Committee on Nigeria,"and St. Charles Institute, Geneva (Switzerland)",1
International Committee on Nigeria,The Good Friday National Holiday Campaign,1
International Committee on Nigeria,The Council of The Ethnic Peoples and Religions of Vietnam,1
International Committee on Nigeria,The Association Against Religious Persecution,1
