Source,Target,Weight
"ARTICLE 19, London (the United Kingdom of Great Britain and Northern Ireland)",Anti-corruption Research and Education Centre,1
Donbas-SOS,Public holding Group of Influence,1
Human Rights Information Centre,Kharkiv Institute for Social Researches,1
Human Rights Information Centre,Kalynove Grono,1
Human Rights Information Centre,International Charity Partnership for Every Child,1
Human Rights Information Centre,International Charitable Foundation AIDS Foundation East-West,1
Human Rights Information Centre,Human Rights Platform,1
"Human Rights House Foundation, Geneva (Switzerland)",the Crimean Human Rights Group,1
"Human Rights House Foundation, Geneva (Switzerland)",Ukrainian Helsinki Human Rights Union,1
"Human Rights House Foundation, Geneva (Switzerland)",People in Need,1
"Human Rights House Foundation, Geneva (Switzerland)",Human Rights Information Centre,1
Human Rights Centre Postup,Women’s Consortium of Ukraine,1
Human Rights Centre Postup,"Public Movement Faith, Hope and Love",1
Human Rights Centre Postup,"NGO Coalition Child’s Rights in Ukraine, Kyiv (Ukraine)",1
Human Rights Centre Postup,MART,1
Human Rights Centre Postup,Kharkiv Regional Foundation Public Alternative,1
Human Rights Centre Postup,Kharkiv Institute for Social Researches,1
Human Rights Centre Postup,Kalynove Grono,1
Human Rights Centre Postup,International Charity Partnership for Every Child,1
Human Rights Centre Postup,International Charitable Foundation AIDS Foundation East-West,1
Human Rights Centre Postup,Human Rights Information Centre,1
Green World Environmental Humanitarian Organization,Ukrainian National Assembly of People with Disabilities,1
Green World Environmental Humanitarian Organization,"Ukrainian Helsinki Human Rights Union, Kyiv (Ukraine)",1
Green World Environmental Humanitarian Organization,Ukrainian Coalition for Legal Aid,1
Green World Environmental Humanitarian Organization,Territory of Success,1
Green World Environmental Humanitarian Organization,Rights to Protection CF,1
"Gender Strategic Platform, Kyiv (Ukraine)",World Federation of Ukrainian Women’s Organizations,1
Human Rights Information Centre,Kharkiv Regional Foundation Public Alternative,1
Human Rights Information Centre,MART,1
Human Rights Information Centre,"NGO Coalition Child’s Rights in Ukraine, Kyiv (Ukraine)",1
Insight,National Council of Women of Ukraine,1
"Institute on Statelessness and Inclusion, Eindhoven (the Netherlands)",R2P,1
Institute of Open Religion,Ukrainian Council of Freethinkers and Believers,1
Institute for Social and Economic Research,Ukrainian Helsinki Human Rights Union,1
Institute for Social and Economic Research,Public organization Chaika,1
Institute for Social and Economic Research,Public holding Group of Influence,1
Institute for Social and Economic Research,Norwegian Refugee Council,1
Institute for Social and Economic Research,Luhansk Regional Women’s Legal Defense,1
Insight,World Federation of Ukrainian Women’s Organizations,1
Insight,Women’s Information Consultative Centre,1
Insight,Ukrainian National NGO Democracy Development Centre,1
Insight,Public Organization International School of Equal Opportunities,1
Human Rights Platform,Regional Press Development Institute,1
Human Rights Information Centre,People in Need,1
Human Rights Organization of Women-migrants Will to Live,Ukrainian Helsinki Human Rights Union,1
Human Rights Organization of Women-migrants Will to Live,Public organization Chaika,1
Human Rights Organization of Women-migrants Will to Live,Public holding Group of Influence,1
Human Rights Organization of Women-migrants Will to Live,Norwegian Refugee Council,1
Human Rights Organization of Women-migrants Will to Live,Luhansk Regional Women’s Legal Defense,1
Human Rights Organization of Women-migrants Will to Live,Institute for Social and Economic Research,1
Human Rights Information Centre,the Crimean Human Rights Group,1
Human Rights Information Centre,Women’s Consortium of Ukraine,1
Human Rights Information Centre,Ukrainian Helsinki Human Rights Union,1
Human Rights Information Centre,Regional Press Development Institute,1
Human Rights Information Centre,"Public Movement Faith, Hope and Love",1
"Gender Strategic Platform, Kyiv (Ukraine)",Women’s Information Consultative Centre,1
"Gender Strategic Platform, Kyiv (Ukraine)",Ukrainian National NGO Democracy Development Centre,1
"Gender Strategic Platform, Kyiv (Ukraine)",Public Organization International School of Equal Opportunities,1
Educational Human Rights House Chernihiv,Postup,1
Environmental Children’s Organisation Flora,Kharkiv Institute for Social Researches,1
Environmental Children’s Organisation Flora,Kalynove Grono,1
Environmental Children’s Organisation Flora,International Charity Partnership for Every Child,1
Environmental Children’s Organisation Flora,International Charitable Foundation AIDS Foundation East-West,1
Environmental Children’s Organisation Flora,Human Rights Information Centre,1
Environmental Children’s Organisation Flora,Human Rights Centre Postup,1
"Educational Human Rights House Chernihiv, Kolychivka (Ukraine)",Ukrainian Helsinki Human Rights Union,1
"Educational Human Rights House Chernihiv, Kolychivka (Ukraine)",Postup,1
"Educational Human Rights House Chernihiv, Kolychivka (Ukraine)",NGO Almenda,1
"Educational Human Rights House Chernihiv, Kolychivka (Ukraine)",MART,1
Educational Human Rights House Chernihiv,Ukrainian Helsinki Human Rights Union,1
Educational Human Rights House Chernihiv,NGO Almenda,1
Environmental Children’s Organisation Flora,MART,1
Educational Human Rights House Chernihiv,MART,1
Educational Human Rights House Chernihiv,"Educational Human Rights House Chernihiv, Kolychivka (Ukraine)",1
Eastern-Ukrainian Centre for Civic Initiatives,Vostok SOS,1
Eastern-Ukrainian Centre for Civic Initiatives,Mirny bereg,1
Eastern-Ukrainian Centre for Civic Initiatives,Luhansk Regional Human Rights Centre Alternatyva,1
Eastern-Ukrainian Centre for Civic Initiatives,"Justice for Peace in Donbas, Kyiv (Ukraine)",1
East Donbas Regional Development Agency,the Alternative Youth Centre,1
East Donbas Regional Development Agency,"Women’s International League for Peace and Freedom, Geneva (Switzerland)",1
East Donbas Regional Development Agency,Theatre for Dialogue,1
East Donbas Regional Development Agency,Gender Dnipro,1
Donbas-SOS,Ukrainian Helsinki Human Rights Union,1
