Source,Target,Weight
Minneapolis (United States of America),The Advocates for Human Rights,3
International Association of Democratic Lawyers,New York (United States of America),2
Amnesty International,Black Mamas Matter Alliance,2
Coral Gables (United States of America),"Human Rights Clinic, University of Miami School of Law",2
Coral Gables (United States of America),Miami Workers Center,2
Coral Gables (United States of America),University of Miami School of Law Human Rights Clinic,2
National Lawyers Guild,New York (United States of America),2
Pittsburgh (United States of America),Pittsburgh Human Rights City Alliance,2
Black Mamas Matter Alliance,National Advocates for Pregnant Women,2
Cincinnati (United States of America),Friends of the African Union,2
Amnesty International,National Advocates for Pregnant Women,2
International Association of Democratic Lawyers,National Lawyers Guild,2
Intersaber,Red Ciega,1
Infinity Building Economics/Black Political Action Committee,"The African Diaspora Dirctorate, Friends of African Union EDcorp",1
International Union Against Tuberculosis and Lung Disease,Southeast Asia Tobacco Control Alliance,1
International Union Against Tuberculosis and Lung Disease,Tanzania Tobacco Control Forum,1
International Union Against Tuberculosis and Lung Disease,The African American Tobacco Control Leadership Council,1
International Union Against Tuberculosis and Lung Disease,UBINIG- Policy Research for Development Alternatives,1
International Union Against Tuberculosis and Lung Disease,Washington D.C. (United States of America),1
Infinity Building Economics/Black Political Action Committee,Sons and Daughters of Africa,1
Infinity Building Economics/Black Political Action Committee,New Future Foundation,1
"International Volunteerism Organization for Women, Education, and Development",Istituto Internazionale Maria Ausiliatrice,1
"International Volunteerism Organization for Women, Education, and Development",Veyrier (Switzerland),1
Intersaber,La Araña Feminista,1
Intersaber,"Participación Activa y Social, por los Derechos de la Mujer y la Paz",1
Intersaber,Red Venezolana de Derechos Humanos,1
International Union Against Tuberculosis and Lung Disease,New Vois Association of the Phils Inc.,1
Intersaber,Rompiendo la Norma,1
Intersaber,Sures,1
Iowa City (United States of America),The Interdisciplinary Human Rights Initiative of the College of Arts and Letters at San Diego State University,1
Iowa City (United States of America),The International Refugee Assistance Project,1
Iowa City (United States of America),The Leitner Center for International Law and Justice at Fordham Law School,1
Iowa City (United States of America),The National Immigration Project of the National Lawyers Guild,1
Indigenous People’s Network,The Land and Water Sovereignty Campaign Project,1
Istituto Internazionale Maria Ausiliatrice,Veyrier (Switzerland),1
Jeewaka Foundation,New Vois Association of the Phils Inc.,1
Jeewaka Foundation,Public Health Advocacy Institute,1
Jeewaka Foundation,Southeast Asia Tobacco Control Alliance,1
Jeewaka Foundation,Tanzania Tobacco Control Forum,1
International Union Against Tuberculosis and Lung Disease,Public Health Advocacy Institute,1
International Union Against Tuberculosis and Lung Disease,Jeewaka Foundation,1
International Association of Democratic Lawyers,People’s Action Institute,1
"International Law Association, American Branch, Task Force on Immigrant Human Rights and Women’s Rights",Iowa City (United States of America),1
International Association of Democratic Lawyers,Rights and Democracy Institute,1
Institute on Statelessness and Inclusion,United Stateless,1
International Association of Machinists and Aerospace workers,International Transport Workers’ Federation,1
International Association of Machinists and Aerospace workers,London (United Kingdom of Great Britain and Northern Ireland),1
"International Human Rights Center of Loyola Law School, Los Angeles",Los Angeles (United States of America),1
International Human Rights Clinic of Seattle University School of Law,Seattle (United States of America),1
"International Human Rights Law Institute, Depaul University College of Law","International Law Association, American Branch, Subcommittee on U.S. Compliance with International Human Rights Law",1
"International Human Rights Law Institute, Depaul University College of Law",Just Planet,1
Infinity Building Economics/Black Political Action Committee,United Methodist Church,1
"International Human Rights Law Institute, Depaul University College of Law",Phoenix (United States of America),1
"International Law Association, American Branch, Subcommittee on U.S. Compliance with International Human Rights Law",Just Planet,1
"International Law Association, American Branch, Subcommittee on U.S. Compliance with International Human Rights Law",Phoenix (United States of America),1
"International Law Association, American Branch, Task Force on Immigrant Human Rights and Women’s Rights",The Interdisciplinary Human Rights Initiative of the College of Arts and Letters at San Diego State University,1
International Transport Workers’ Federation,London (United Kingdom of Great Britain and Northern Ireland),1
"International Law Association, American Branch, Task Force on Immigrant Human Rights and Women’s Rights",The International Refugee Assistance Project,1
"International Law Association, American Branch, Task Force on Immigrant Human Rights and Women’s Rights",The Leitner Center for International Law and Justice at Fordham Law School,1
"International Law Association, American Branch, Task Force on Immigrant Human Rights and Women’s Rights",The National Immigration Project of the National Lawyers Guild,1
International Mayan League,Tucson (United States of America),1
International Presentation Association,Loretto Community,1
International Presentation Association,Maryknoll,1
International Presentation Association,Religious of the sacred heart of Mary,1
International Presentation Association,The Congregation of our lady charity of the good,1
Jeewaka Foundation,The African American Tobacco Control Leadership Council,1
Infinity Building Economics/Black Political Action Committee,The Universal Negro Improvement Association and African Communities League,1
International Presentation Association,Vivat International,1
