Source,Target,Weight
10 GE.18-18654 Asociación de Esclerosis Múltiple de Uruguay — EMUR,"Alianza de Organizaciones por los Derechos de las Personas con Discapacidad en Uruguay (Asamblea Instituyente por Salud Mental, Desmanicomialización y Vida digna",1
"Centro de Investigación, Educación y Encuentro Popular Rebellato (CIEENPRE JUNTOS)",Unión Nacional de Ciegos de Uruguay — UNCU (Uruguay),1
Centro de Investigación y Desarrollo para la Persona Sorda - CINDE,Unión Nacional de Ciegos de Uruguay — UNCU (Uruguay),1
"Centro de Investigación, Educación y Encuentro Popular Rebellato (CIEENPRE JUNTOS)",Cotidiano Mujer,1
"Centro de Investigación, Educación y Encuentro Popular Rebellato (CIEENPRE JUNTOS)",Federación Autismo Uruguay - FAU,1
"Centro de Investigación, Educación y Encuentro Popular Rebellato (CIEENPRE JUNTOS)",Federación Uruguaya Asociaciones de Padres de Personas con Discapacidad Intelectual — FUAP,1
"Centro de Investigación, Educación y Encuentro Popular Rebellato (CIEENPRE JUNTOS)",Fundación Alejandra Forlán,1
"Centro de Investigación, Educación y Encuentro Popular Rebellato (CIEENPRE JUNTOS)",Fundación Bensadoun Laurent,1
"Centro de Investigación, Educación y Encuentro Popular Rebellato (CIEENPRE JUNTOS)",Grupo de Trabajo sobre Educación Inclusiva en Uruguay - GT-EI,1
"Centro de Investigación, Educación y Encuentro Popular Rebellato (CIEENPRE JUNTOS)",Instituto Interamericano sobre Discapacidad y Desarrollo Inclusivo - iiDi,1
"Centro de Investigación, Educación y Encuentro Popular Rebellato (CIEENPRE JUNTOS)",Juntos por un sueño — Comisión de Apoyo a personas con Discapacidad de Ciudad de la Costa,1
"Centro de Investigación, Educación y Encuentro Popular Rebellato (CIEENPRE JUNTOS)",Movimiento Estamos Todos En Acción — M.E.T.A — Uruguay,1
"Centro de Investigación, Educación y Encuentro Popular Rebellato (CIEENPRE JUNTOS)","Nacer, Crecer, Vivir — NACREVI",1
"Centro de Investigación, Educación y Encuentro Popular Rebellato (CIEENPRE JUNTOS)",Observatorio Uruguayo por los Derechos de las Personas con Discapacidad,1
"Centro de Investigación, Educación y Encuentro Popular Rebellato (CIEENPRE JUNTOS)",ProEdu Educación Inclusiva de Calidad,1
Cotidiano Mujer,Federación Autismo Uruguay - FAU,1
Centro de Investigación y Desarrollo para la Persona Sorda - CINDE,Observatorio Uruguayo por los Derechos de las Personas con Discapacidad,1
Cotidiano Mujer,Federación Uruguaya Asociaciones de Padres de Personas con Discapacidad Intelectual — FUAP,1
Cotidiano Mujer,Fundación Alejandra Forlán,1
Cotidiano Mujer,Fundación Bensadoun Laurent,1
Cotidiano Mujer,Grupo de Trabajo sobre Educación Inclusiva en Uruguay - GT-EI,1
Cotidiano Mujer,Instituto Interamericano sobre Discapacidad y Desarrollo Inclusivo - iiDi,1
Cotidiano Mujer,Juntos por un sueño — Comisión de Apoyo a personas con Discapacidad de Ciudad de la Costa,1
Cotidiano Mujer,Movimiento Estamos Todos En Acción — M.E.T.A — Uruguay,1
Cotidiano Mujer,"Nacer, Crecer, Vivir — NACREVI",1
Cotidiano Mujer,Observatorio Uruguayo por los Derechos de las Personas con Discapacidad,1
Cotidiano Mujer,ProEdu Educación Inclusiva de Calidad,1
Cotidiano Mujer,Unión Nacional de Ciegos de Uruguay — UNCU (Uruguay),1
Federación Autismo Uruguay - FAU,Federación Uruguaya Asociaciones de Padres de Personas con Discapacidad Intelectual — FUAP,1
Federación Autismo Uruguay - FAU,Fundación Alejandra Forlán,1
Centro de Investigación y Desarrollo para la Persona Sorda - CINDE,ProEdu Educación Inclusiva de Calidad,1
Centro de Investigación y Desarrollo para la Persona Sorda - CINDE,"Nacer, Crecer, Vivir — NACREVI",1
Centro de Archivos y Acceso a la Información Pública — CAinfo,Juntos por un sueño — Comisión de Apoyo a personas con Discapacidad de Ciudad de la Costa,1
Centro de Capacitación Humanizadora — CECAHU,Juntos por un sueño — Comisión de Apoyo a personas con Discapacidad de Ciudad de la Costa,1
Centro de Archivos y Acceso a la Información Pública — CAinfo,"Nacer, Crecer, Vivir — NACREVI",1
Centro de Archivos y Acceso a la Información Pública — CAinfo,Observatorio Uruguayo por los Derechos de las Personas con Discapacidad,1
Centro de Archivos y Acceso a la Información Pública — CAinfo,ProEdu Educación Inclusiva de Calidad,1
Centro de Archivos y Acceso a la Información Pública — CAinfo,Unión Nacional de Ciegos de Uruguay — UNCU (Uruguay),1
