Source,Target,Weight
Laboratorio de Paz,Provea,2
Gobiernatec,Provea,2
Codhez,Provea,2
Codhez,Laboratorio de Paz,2
Codhez,Gobiernatec,2
Gobiernatec,Laboratorio de Paz,2
Funcamama,Laboratorio de Paz,2
Codhez,Funcamama,2
Funcamama,Gobiernatec,2
Aula Abierta,Centro de Derechos Humanos de la Universidad Metropolitana (CDH-UNIMET),2
Funcamama,Provea,2
Cátedra de la Paz y Derechos Humanos Mons. Oscar A. Romero (Universidad de Los Andes),Fundapden,1
Cátedra de la Paz y Derechos Humanos Mons. Oscar A. Romero (Universidad de Los Andes),Fundación de derechos humanos de los llanos – Fundehullan,1
ConviteAC,Provea – Programa Venezolano de Educación Acción en Derechos Humanos,1
ConviteAC,Prepara Familia,1
ConviteAC,OVS – Observatorio Venezolano de la Salud,1
ConviteAC,MUV - Médicos Unidos de Venezuela Laboratorio de Paz (Venezuela),1
Cátedra de la Paz y Derechos Humanos Mons. Oscar A. Romero (Universidad de Los Andes),Laboratorio de Paz,1
Cátedra de la Paz y Derechos Humanos Mons. Oscar A. Romero (Universidad de Los Andes),Monitor Social A.C,1
ConviteAC,Funcamama – Fundación de Lucha contra el Cáncer,1
Cátedra de la Paz y Derechos Humanos Mons. Oscar A. Romero (Universidad de Los Andes),Mulier,1
Consejo Nacional de la Sexo Diversidad,Movimiento Sexo Diverso LGBTIQ+ (Venezuela),1
Cátedra de la Paz y Derechos Humanos Mons. Oscar A. Romero (Universidad de Los Andes),Médicos Unidos de Venezuela Capítulo Carabobo,1
Comité por una Radiotelevisión de Servicio Público,Un Mundo sin Mordaza. (Venezuela),1
Comité por una Radiotelevisión de Servicio Público,Transparencia Venezuela,1
Comité por una Radiotelevisión de Servicio Público,Instituto de Investigaciones de la Comunicación de la UCV (ININCO-UCV),1
Cátedra de la Paz y Derechos Humanos Mons. Oscar A. Romero (Universidad de Los Andes),ORPANAC (Venezuela),1
Comité por una Radiotelevisión de Servicio Público,Instituto Prensa y Sociedad Venezuela,1
Cátedra de la Paz y Derechos Humanos Mons. Oscar A. Romero (Universidad de Los Andes),Observatorio de Derechos Humanos de la Universidad de Los Andes,1
Comité por una Radiotelevisión de Servicio Público,Expresión Libre,1
Comité por una Radiotelevisión de Servicio Público,Espacio Público,1
Comisión para los Derechos Humanos del Estado Zulia (CODHEZ),Observatorio de Derechos Humanos de la Universidad de los Andes,1
Cátedra de la Paz y Derechos Humanos Mons. Oscar A. Romero (Universidad de Los Andes),Promedehum,1
