Source,Target,Weight
"Cairo Institute for Human Rights Studies (CIHRS), Geneva (Switzerland)","Gulf Centre for Human Rights (GCHR), Beirut (Lebanon)",1
"George Warren Brown School, Washington University, St.Louis (US)","Sana’a Center for Strategic Studies (Sana’a Center), Sana’a (Yemen)",1
"Gulf Centre for Human Rights (GCHR), Beirut (Lebanon)","Mwatana for Human Rights (Mwatana), City (Yemen)",1
"Gulf Centre for Human Rights (GCHR), Beirut (Lebanon)","The Columbia Law School Human Rights Clinic (the clinic), New York (US)",1
"Gulf Centre for Human Rights (GCHR), Lebanon?","World Alliance for Citizen (CIVICUS), Geneva (Switzerland)/ New York (US)/ Johannesburg (South Afrika)",1
"International Federation for Human Rights (FIDH), Geneva (Switzerland)","Mwatana for Human Rights (Mwatana), City (Yemen)",1
"International Federation for Human Rights (FIDH), Geneva (Switzerland)","The Columbia Law School Human Rights Clinic (the clinic), New York (US)",1
"Mwatana for Human Rights (Mwatana), City (Yemen)","The Columbia Law School Human Rights Clinic (the clinic), New York (US)",1
"Peace Track Initiative, Ontario (Canada)","Sawasiah Organization for Human Rights, Little Falls (US)",1
"Peace Track Initiative, Ontario (Canada)","To Be Foundation for Rights and Freedoms,?",1
"Peace Track Initiative, Ontario (Canada)","Women Solidarity Network, Awam Foundation, Arizona (US)",1
"Peace Track Initiative, Ontario (Canada)","Women’s International League for Peace and Freedom, Geneva (Switzerland)/ New York (US)",1
"Sawasiah Organization for Human Rights, Little Falls (US)","To Be Foundation for Rights and Freedoms,?",1
"Sawasiah Organization for Human Rights, Little Falls (US)","Women Solidarity Network, Awam Foundation, Arizona (US)",1
"Sawasiah Organization for Human Rights, Little Falls (US)","Women’s International League for Peace and Freedom, Geneva (Switzerland)/ New York (US)",1
"To Be Foundation for Rights and Freedoms,?","Women Solidarity Network, Awam Foundation, Arizona (US)",1
"To Be Foundation for Rights and Freedoms,?","Women’s International League for Peace and Freedom, Geneva (Switzerland)/ New York (US)",1
"Gulf Centre for Human Rights (GCHR), Beirut (Lebanon)","International Federation for Human Rights (FIDH), Geneva (Switzerland)",1
"Front Line Defenders, Dublin (Ireland)","World Alliance for Citizen (CIVICUS), Geneva (Switzerland)/ New York (US)/ Johannesburg (South Afrika)",1
"Cairo Institute for Human Rights Studies (CIHRS), Geneva (Switzerland)","International Federation for Human Rights (FIDH), Geneva (Switzerland)",1
"Front Line Defenders, Dublin (Ireland)","Gulf Centre for Human Rights (GCHR), Lebanon?",1
"Cairo Institute for Human Rights Studies (CIHRS), Geneva (Switzerland)","Mwatana for Human Rights (Mwatana), City (Yemen)",1
"Cairo Institute for Human Rights Studies (CIHRS), Geneva (Switzerland)","The Columbia Law School Human Rights Clinic (the clinic), New York (US)",1
"Columbia Law School Human Rights Clinic (The Clinic), New York (US)","George Warren Brown School, Washington University, St.Louis (US)",1
"Columbia Law School Human Rights Clinic (The Clinic), New York (US)","Sana’a Center for Strategic Studies (Sana’a Center), Sana’a (Yemen)",1
"Ejad Foundation for Development, Sana’a (Yemen)","Food for Humanity Foundation, Quebec (Canada)?",1
"Ejad Foundation for Development, Sana’a (Yemen)","Peace Track Initiative, Ontario (Canada)",1
"Ejad Foundation for Development, Sana’a (Yemen)","Sawasiah Organization for Human Rights, Little Falls (US)",1
"Ejad Foundation for Development, Sana’a (Yemen)","To Be Foundation for Rights and Freedoms,?",1
"Ejad Foundation for Development, Sana’a (Yemen)","Women Solidarity Network, Awam Foundation, Arizona (US)",1
"Ejad Foundation for Development, Sana’a (Yemen)","Women’s International League for Peace and Freedom, Geneva (Switzerland)/ New York (US)",1
"Food for Humanity Foundation, Quebec (Canada)?","Peace Track Initiative, Ontario (Canada)",1
"Food for Humanity Foundation, Quebec (Canada)?","Sawasiah Organization for Human Rights, Little Falls (US)",1
"Food for Humanity Foundation, Quebec (Canada)?","To Be Foundation for Rights and Freedoms,?",1
"Food for Humanity Foundation, Quebec (Canada)?","Women Solidarity Network, Awam Foundation, Arizona (US)",1
"Food for Humanity Foundation, Quebec (Canada)?","Women’s International League for Peace and Freedom, Geneva (Switzerland)/ New York (US)",1
"Women Solidarity Network, Awam Foundation, Arizona (US)","Women’s International League for Peace and Freedom, Geneva (Switzerland)/ New York (US)",1
